"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Plasma_01_1x_neg_080721_025,[Mass] Plasma_02_1x_neg_080721_19,[Mass] Plasma_03_1x_neg_080721_031,[Mass] Plasma_04_1x_neg_080721_026,[Mass] Plasma_05_1x_neg_080721_22,[Mass] Plasma_06_1x_neg_080721_033,[Mass] Plasma_07_1x_neg_080721_028,[Mass] Plasma_08_1x_neg_080721_027,[Mass] Plasma_09_1x_neg_080721_20,[Mass] Plasma_10_1x_neg_080721_21,[Mass] Plasma_11_1x_neg_080721_034,[Mass] Plasma_12_1x_neg_080721_032,[Mass] Plasma_PB_1x_neg_080721_093,[RT] Plasma_01_1x_neg_080721_025,[RT] Plasma_02_1x_neg_080721_19,[RT] Plasma_03_1x_neg_080721_031,[RT] Plasma_04_1x_neg_080721_026,[RT] Plasma_05_1x_neg_080721_22,[RT] Plasma_06_1x_neg_080721_033,[RT] Plasma_07_1x_neg_080721_028,[RT] Plasma_08_1x_neg_080721_027,[RT] Plasma_09_1x_neg_080721_20,[RT] Plasma_10_1x_neg_080721_21,[RT] Plasma_11_1x_neg_080721_034,[RT] Plasma_12_1x_neg_080721_032,[RT] Plasma_PB_1x_neg_080721_093,[Height] Plasma_01_1x_neg_080721_025,[Height] Plasma_02_1x_neg_080721_19,[Height] Plasma_03_1x_neg_080721_031,[Height] Plasma_04_1x_neg_080721_026,[Height] Plasma_05_1x_neg_080721_22,[Height] Plasma_06_1x_neg_080721_033,[Height] Plasma_07_1x_neg_080721_028,[Height] Plasma_08_1x_neg_080721_027,[Height] Plasma_09_1x_neg_080721_20,[Height] Plasma_10_1x_neg_080721_21,[Height] Plasma_11_1x_neg_080721_034,[Height] Plasma_12_1x_neg_080721_032,[Height] Plasma_PB_1x_neg_080721_093,[Score (MFE)] Plasma_01_1x_neg_080721_025,[Score (MFE)] Plasma_02_1x_neg_080721_19,[Score (MFE)] Plasma_03_1x_neg_080721_031,[Score (MFE)] Plasma_04_1x_neg_080721_026,[Score (MFE)] Plasma_05_1x_neg_080721_22,[Score (MFE)] Plasma_06_1x_neg_080721_033,[Score (MFE)] Plasma_07_1x_neg_080721_028,[Score (MFE)] Plasma_08_1x_neg_080721_027,[Score (MFE)] Plasma_09_1x_neg_080721_20,[Score (MFE)] Plasma_10_1x_neg_080721_21,[Score (MFE)] Plasma_11_1x_neg_080721_034,[Score (MFE)] Plasma_12_1x_neg_080721_032,[Score (MFE)] Plasma_PB_1x_neg_080721_093,[Score (Tgt)] Plasma_01_1x_neg_080721_025,[Score (Tgt)] Plasma_02_1x_neg_080721_19,[Score (Tgt)] Plasma_03_1x_neg_080721_031,[Score (Tgt)] Plasma_04_1x_neg_080721_026,[Score (Tgt)] Plasma_05_1x_neg_080721_22,[Score (Tgt)] Plasma_06_1x_neg_080721_033,[Score (Tgt)] Plasma_07_1x_neg_080721_028,[Score (Tgt)] Plasma_08_1x_neg_080721_027,[Score (Tgt)] Plasma_09_1x_neg_080721_20,[Score (Tgt)] Plasma_10_1x_neg_080721_21,[Score (Tgt)] Plasma_11_1x_neg_080721_034,[Score (Tgt)] Plasma_12_1x_neg_080721_032,[Score (Tgt)] Plasma_PB_1x_neg_080721_093,[Ions] Plasma_01_1x_neg_080721_025,[Ions] Plasma_02_1x_neg_080721_19,[Ions] Plasma_03_1x_neg_080721_031,[Ions] Plasma_04_1x_neg_080721_026,[Ions] Plasma_05_1x_neg_080721_22,[Ions] Plasma_06_1x_neg_080721_033,[Ions] Plasma_07_1x_neg_080721_028,[Ions] Plasma_08_1x_neg_080721_027,[Ions] Plasma_09_1x_neg_080721_20,[Ions] Plasma_10_1x_neg_080721_21,[Ions] Plasma_11_1x_neg_080721_034,[Ions] Plasma_12_1x_neg_080721_032,[Ions] Plasma_PB_1x_neg_080721_093,
PI 18:0_20:4,C47 H83 O13 P,886.5578,0.45,0,7.59,0.069,5143084,13,0,99.7,15.8,2,12,886.5576,886.5579,886.5576,886.5573,886.5580,886.5576,886.5577,886.5577,886.5577,886.5577,886.5580,886.5579,886.5590,7.588,7.590,7.587,7.591,7.587,7.581,7.591,7.586,7.583,7.591,7.584,7.581,7.650,4960129,6090826,4895009,7328252,6044069,5497049,5511429,4168762,5622440,6121826,5354082,5264273,1947,,,,,,,,,,,,,,99.62,99.36,99.68,99.60,99.32,99.74,99.48,99.66,99.69,99.50,99.39,99.52,45.13,8,8,9,10,10,9,9,11,11,12,8,7,2,
PC 16:0_18:2,C42 H80 N O8 P,757.5627,0.28,0,7.56,0.071,4380293,13,0,99.9,5.4,3,16,757.5628,757.5629,757.5629,757.5626,757.5624,757.5626,757.5628,757.5628,757.5631,757.5626,757.5630,757.5628,757.5623,7.562,7.557,7.565,7.558,7.559,7.559,7.563,7.564,7.561,7.563,7.559,7.548,7.494,3985106,4829269,4399835,5434647,4524123,4494820,5139791,4044031,4917778,5293821,5063435,4813534,3622,,,,,,,,,,,,,,99.61,99.51,99.44,99.82,99.89,99.79,99.59,99.59,99.31,99.71,99.44,99.34,80.41,13,12,12,10,11,11,12,16,11,12,13,14,3,
PC 18:0_18:2,C44 H84 N O8 P,785.5940,0.31,0,8.51,0.052,3668875,13,0,99.7,7.9,2,16,785.5940,785.5941,785.5941,785.5941,785.5939,785.5939,785.5941,785.5940,785.5940,785.5940,785.5943,785.5939,785.5933,8.507,8.510,8.507,8.511,8.507,8.507,8.511,8.505,8.503,8.516,8.507,8.502,8.465,2929760,4649649,3269839,4871131,4043289,3474964,4065142,2956285,4327503,4704072,4005242,4396463,2037,,,,,,,,,,,,,,99.62,99.34,99.45,99.30,99.64,99.66,99.29,99.63,99.69,99.04,99.27,99.72,71.74,13,13,13,15,15,15,13,16,13,14,13,11,2,
LPC 16:0/0:0,C24 H50 N O7 P,495.3330,0.28,0,2.35,0.004,2964334,12,1,99.8,0.2,5,8,495.3330,495.3332,495.3330,495.3331,495.3329,495.3332,495.3331,495.3331,495.3330,495.3327,495.3330,495.3331,,2.355,2.355,2.354,2.355,2.353,2.351,2.355,2.351,2.354,2.353,2.353,2.354,,2311636,2952025,2644210,4294447,3091583,2884226,3127876,2257318,2903052,3561253,3011450,2532940,,,,,,,,,,,,,,,99.55,99.23,99.50,99.28,99.71,99.19,99.36,99.50,99.61,99.82,99.50,99.38,,7,7,6,8,8,7,8,6,5,8,7,8,,
PC 16:0_22:6,C46 H80 N O8 P,805.5629,0.46,0,7.08,0.081,2650542,13,0,99.7,6.9,3,19,805.5628,805.5629,805.5628,805.5629,805.5629,805.5627,805.5628,805.5626,805.5629,805.5630,805.5630,805.5628,805.5641,7.085,7.084,7.084,7.083,7.084,7.085,7.087,7.090,7.083,7.086,7.086,7.077,7.008,2675778,2716056,2661711,3976824,2675719,2848730,2945055,2272163,2833235,3487646,2921734,2438909,3494,,,,,,,,,,,,,,99.61,99.55,99.63,99.50,99.49,99.69,99.55,99.61,99.43,99.33,99.35,99.57,75.22,16,14,14,19,14,16,15,13,13,14,15,17,3,
PC 16:0_20:4,C44 H80 N O8 P,781.5626,0.39,0,7.37,0.055,2557415,13,0,99.8,8.8,2,16,781.5628,781.5627,781.5628,781.5627,781.5626,781.5624,781.5626,781.5626,781.5628,781.5629,781.5629,781.5626,781.5617,7.371,7.364,7.369,7.367,7.368,7.369,7.373,7.376,7.366,7.370,7.371,7.363,7.321,2556772,2531811,2571753,4133562,2402545,2697799,2810331,2324523,2650898,3359279,2773377,2432016,1734,,,,,,,,,,,,,,99.55,99.31,99.44,99.46,99.66,99.73,99.77,99.79,99.34,99.40,99.45,99.31,68.78,13,13,15,14,14,15,16,12,15,14,14,15,2,
LPC 18:0/0:0,C26 H54 N O7 P,523.3643,0.20,0,3.57,0.009,1950423,12,1,99.8,0.1,5,9,523.3641,523.3643,523.3642,523.3643,523.3644,523.3643,523.3641,523.3642,523.3641,523.3644,523.3643,523.3643,,3.571,3.576,3.575,3.576,3.572,3.572,3.573,3.572,3.575,3.575,3.574,3.580,,1316400,2288461,1567196,2805940,2171398,1837443,2070136,1382153,1920609,2448959,1890579,1705805,,,,,,,,,,,,,,,99.84,99.61,99.67,99.59,99.43,99.63,99.80,99.70,99.79,99.49,99.67,99.48,,6,7,6,9,9,6,6,9,9,7,8,5,,
FA 18:2,C18 H32 O2,280.2406,2.62,0,3.77,0.095,1281965,13,0,99.8,18.9,1,12,280.2404,280.2404,280.2405,280.2405,280.2403,280.2404,280.2404,280.2403,280.2405,280.2405,280.2405,280.2405,280.2431,3.772,3.771,3.771,3.771,3.773,3.772,3.768,3.773,3.770,3.771,3.774,3.774,3.679,824710,942705,1091311,1518673,845084,1012168,1940946,1184597,1770812,1826203,1972342,1733951,2048,,,,,,,,,,,,,,99.12,99.48,99.39,99.77,99.44,99.45,99.84,99.53,99.69,99.68,99.68,99.81,35.25,9,10,10,10,10,9,10,8,11,12,12,10,1,
LPC 18:2/0:0,C26 H50 N O7 P,519.3330,0.22,0,1.83,0.006,1812813,12,1,99.8,0.1,5,10,519.3329,519.3328,519.3331,519.3331,519.3331,519.3330,519.3330,519.3331,519.3330,519.3329,519.3331,519.3328,,1.826,1.827,1.824,1.826,1.826,1.828,1.826,1.827,1.826,1.830,1.824,1.825,,1361131,1520391,1699688,3437800,1815351,1774120,1988479,1015064,1611886,2059655,1729522,1740679,,,,,,,,,,,,,,,99.68,99.78,99.45,99.45,99.44,99.51,99.64,99.47,99.60,99.60,99.51,99.79,,9,7,6,10,10,5,5,7,9,8,9,8,,
PC 16:0_18:1,C42 H82 N O8 P,759.5784,0.46,0,8.34,0.026,1791898,13,0,99.8,10.4,1,14,759.5783,759.5784,759.5783,759.5782,759.5783,759.5783,759.5782,759.5782,759.5784,759.5784,759.5783,759.5783,759.5795,8.338,8.337,8.337,8.340,8.340,8.339,8.344,8.343,8.341,8.343,8.345,8.333,8.359,1562461,1862634,1623640,2718337,1682739,1538109,2295364,1197210,2174323,2537211,2476896,1623860,1904,,,,,,,,,,,,,,99.74,99.69,99.72,99.85,99.76,99.71,99.74,99.71,99.66,99.54,99.60,99.55,63.24,9,14,10,13,11,10,13,11,13,13,10,11,1,
