Mouse,Temp,Tissue,Condition,Weight
1,RT,Liver,Liver_RT,25.42
2,RT,Liver,Liver_RT,25.63
3,RT,Liver,Liver_RT,24.58
4,RT,Liver,Liver_RT,24.46
5,RT,Liver,Liver_RT,26
6,RT,Liver,Liver_RT,26.94
7,Cold,Liver,Liver_Cold,23.91
8,Cold,Liver,Liver_Cold,26.69
9,Cold,Liver,Liver_Cold,23.86
10,Cold,Liver,Liver_Cold,26.46
11,Cold,Liver,Liver_Cold,26.01
12,Cold,Liver,Liver_Cold,23.82
1,RT,BAT,BAT_RT,11.53
2,RT,BAT,BAT_RT,12.89
3,RT,BAT,BAT_RT,12.51
4,RT,BAT,BAT_RT,13.32
5,RT,BAT,BAT_RT,12.63
6,RT,BAT,BAT_RT,11.62
7,Cold,BAT,BAT_Cold,11.79
8,Cold,BAT,BAT_Cold,11.9
9,Cold,BAT,BAT_Cold,11.37
10,Cold,BAT,BAT_Cold,12.53
11,Cold,BAT,BAT_Cold,11.76
12,Cold,BAT,BAT_Cold,12.43
1,RT,iWAT,iWAT_RT,16.78
2,RT,iWAT,iWAT_RT,13.44
3,RT,iWAT,iWAT_RT,14.87
4,RT,iWAT,iWAT_RT,14.26
5,RT,iWAT,iWAT_RT,16.18
6,RT,iWAT,iWAT_RT,14.84
7,Cold,iWAT,iWAT_Cold,16.23
8,Cold,iWAT,iWAT_Cold,14.04
9,Cold,iWAT,iWAT_Cold,15.18
10,Cold,iWAT,iWAT_Cold,15.05
11,Cold,iWAT,iWAT_Cold,16.15
12,Cold,iWAT,iWAT_Cold,15.48
1,RT,eWAT,eWAT_RT,14.63
2,RT,eWAT,eWAT_RT,14.58
3,RT,eWAT,eWAT_RT,14.29
4,RT,eWAT,eWAT_RT,14.95
5,RT,eWAT,eWAT_RT,16.43
6,RT,eWAT,eWAT_RT,15.06
7,Cold,eWAT,eWAT_Cold,14.96
8,Cold,eWAT,eWAT_Cold,16.91
9,Cold,eWAT,eWAT_Cold,14.27
10,Cold,eWAT,eWAT_Cold,13.26
11,Cold,eWAT,eWAT_Cold,14.5
12,Cold,eWAT,eWAT_Cold,14.7
1,RT,GSM,GSM_RT,13.25
2,RT,GSM,GSM_RT,15.25
3,RT,GSM,GSM_RT,15.82
4,RT,GSM,GSM_RT,15.97
5,RT,GSM,GSM_RT,14.73
6,RT,GSM,GSM_RT,15.18
7,Cold,GSM,GSM_Cold,15.59
8,Cold,GSM,GSM_Cold,15.57
9,Cold,GSM,GSM_Cold,15.95
10,Cold,GSM,GSM_Cold,14.67
11,Cold,GSM,GSM_Cold,13.96
12,Cold,GSM,GSM_Cold,14.58
1,RT,Lung,Lung_RT,23.09
2,RT,Lung,Lung_RT,23.55
3,RT,Lung,Lung_RT,23.61
4,RT,Lung,Lung_RT,23.27
5,RT,Lung,Lung_RT,25.43
6,RT,Lung,Lung_RT,23.66
7,Cold,Lung,Lung_Cold,23.89
8,Cold,Lung,Lung_Cold,24.47
9,Cold,Lung,Lung_Cold,26.01
10,Cold,Lung,Lung_Cold,26.7
11,Cold,Lung,Lung_Cold,25.3
12,Cold,Lung,Lung_Cold,25.28
1,RT,Heart,Heart_RT,13.76
2,RT,Heart,Heart_RT,15.27
3,RT,Heart,Heart_RT,14.35
4,RT,Heart,Heart_RT,15.47
5,RT,Heart,Heart_RT,14.25
6,RT,Heart,Heart_RT,15.56
7,Cold,Heart,Heart_Cold,16.25
8,Cold,Heart,Heart_Cold,14.34
9,Cold,Heart,Heart_Cold,14.65
10,Cold,Heart,Heart_Cold,16.34
11,Cold,Heart,Heart_Cold,13.85
12,Cold,Heart,Heart_Cold,14.67
1,RT,Intestine,Intestine_RT,24.86
2,RT,Intestine,Intestine_RT,26.43
3,RT,Intestine,Intestine_RT,26
4,RT,Intestine,Intestine_RT,24.97
5,RT,Intestine,Intestine_RT,24.51
6,RT,Intestine,Intestine_RT,24.41
7,Cold,Intestine,Intestine_Cold,25.25
8,Cold,Intestine,Intestine_Cold,24.2
9,Cold,Intestine,Intestine_Cold,23.99
10,Cold,Intestine,Intestine_Cold,24.51
11,Cold,Intestine,Intestine_Cold,25.39
12,Cold,Intestine,Intestine_Cold,26.64
1,RT,Kidney,Kidney_RT,25.14
2,RT,Kidney,Kidney_RT,25.78
3,RT,Kidney,Kidney_RT,26.61
4,RT,Kidney,Kidney_RT,24.28
5,RT,Kidney,Kidney_RT,24.83
6,RT,Kidney,Kidney_RT,24.32
7,Cold,Kidney,Kidney_Cold,26.15
8,Cold,Kidney,Kidney_Cold,26.13
9,Cold,Kidney,Kidney_Cold,25.36
10,Cold,Kidney,Kidney_Cold,23.66
11,Cold,Kidney,Kidney_Cold,26.86
12,Cold,Kidney,Kidney_Cold,24.83
1,RT,Plasma,Plasma_RT,100
2,RT,Plasma,Plasma_RT,100
3,RT,Plasma,Plasma_RT,100
4,RT,Plasma,Plasma_RT,100
5,RT,Plasma,Plasma_RT,100
6,RT,Plasma,Plasma_RT,100
7,Cold,Plasma,Plasma_Cold,100
8,Cold,Plasma,Plasma_Cold,100
9,Cold,Plasma,Plasma_Cold,100
10,Cold,Plasma,Plasma_Cold,100
11,Cold,Plasma,Plasma_Cold,100
12,Cold,Plasma,Plasma_Cold,100
