Name,Temp,Tissue,Condition,Weight,Cer_NS d18:1_22:0,Cer_NS d18:1_22:1,Cer_NS d18:1_23:0,Cer_NS d18:1_24:0,Cer_NS d18:1_24:1,Cer_NS d39:1,Cer_NS d41:2,Cer_NS d42:1,Cer_NS d42:3,Cer_NS d44:1,EtherPC 16:0e_16:0,EtherPC 16:0e_18:2,EtherPC 16:0e_20:4,EtherPC 16:0e_20:5,EtherPC 16:0e_22:6,EtherPC 16:1e_18:2,EtherPC 16:1e_20:4,EtherPC 16:1e_22:6,EtherPC 18:0e_16:0,EtherPC 18:0e_18:1,EtherPC 18:0e_20:4,EtherPC 18:0e_22:6,EtherPC 18:1e_16:0,EtherPC 18:1e_20:4,EtherPC 18:1e_22:6,EtherPC 38:2e,EtherPC 40:4e,EtherPE 16:0e_18:2,EtherPE 16:0e_22:5,EtherPE 16:0e_22:6,EtherPE 16:1e_18:1,EtherPE 16:1e_18:2,EtherPE 16:1e_20:4,EtherPE 16:1e_20:5,EtherPE 16:1e_22:4,EtherPE 16:1e_22:6,EtherPE 18:0e_18:1,EtherPE 18:0e_18:2,EtherPE 18:0e_20:4,EtherPE 18:0e_20:5,EtherPE 18:0e_22:4,EtherPE 18:0e_22:5,EtherPE 18:0e_22:6,EtherPE 18:1e_18:2,EtherPE 18:1e_18:2_2,EtherPE 18:1e_20:4,EtherPE 18:1e_20:5,EtherPE 18:1e_22:4,EtherPE 18:1e_22:5,EtherPE 18:1e_22:6,EtherPE 18:2e_18:1,EtherPE 18:2e_18:2,EtherPE 18:2e_20:4,EtherPE 18:2e_22:6,EtherPE 18:3e_18:2,EtherPE 36:4e,EtherPE 38:6e,FA 16:0,FA 17:1,FA 18:0,FA 18:1,FA 18:2,FA 18:3,FA 18:3_2,FA 19:1,FA 20:1,FA 20:2,FA 20:3,FA 22:4,FA 22:5,FAHFA 16:0_18:2,FAHFA 18:0_20:2,FAHFA 18:1_18:0,FAHFA 18:1_20:3,FAHFA 18:2_18:1,FAHFA 18:2_20:4,FAHFA 22:6_22:5,HexCer_NS d18:1_16:0,HexCer_NS d18:1_21:0,HexCer_NS d18:1_22:0,HexCer_NS d18:1_24:0,HexCer_NS d37:1,HexCer_NS d38:1,HexCer_NS d40:2,HexCer_NS d40:2_2,HexCer_NS d41:1,HexCer_NS d41:2,HexCer_NS d42:1,HexCer_NS d42:2,HexCer_NS d42:3,LPC 14:0/0:0,LPC 15:0/0:0,LPC 16:0/0:0,LPC 16:0/0:0_2,LPC 16:1/0:0,LPC 17:0/0:0,LPC 17:1/0:0,LPC 18:0/0:0,LPC 18:0/0:0_2,LPC 18:1/0:0,LPC 18:1/0:0_2,LPC 18:1/0:0(d7),LPC 18:2/0:0,LPC 18:2/0:0_2,LPC 18:3/0:0,LPC 18:3/0:0_2,LPC 19:0/0:0,LPC 20:0/0:0,LPC 20:1/0:0,LPC 20:2/0:0,LPC 20:3/0:0,LPC 20:3/0:0_2,LPC 20:4/0:0,LPC 20:4/0:0_2,LPC 20:5/0:0,LPC 20:5/0:0_2,LPC 22:0/0:0,LPC 22:1/0:0,LPC 22:5/0:0,LPC 22:6/0:0,LPC 22:6/0:0_2,LPC 23:0/0:0,LPC 24:0/0:0,LPC 24:1/0:0,LPE 16:0,LPE 18:0,LPE 18:1,LPE 18:1(d7),LPE 18:2,LPE 18:2_2,LPE 20:4,LPE 20:4_2,LPE 22:6,LPE 22:6_2,LPI 18:0,LPI 18:2,LPI 20:4,LPI 20:4_2,OxPC 16:0_18:3+1O,PC 14:0_16:0,PC 14:0_18:2,PC 14:0_20:4,PC 14:0_22:6,PC 15:0_18:1(d7),PC 15:0_18:2,PC 15:0_22:6,PC 16:0_16:0,PC 16:0_16:1,PC 16:0_18:0,PC 16:0_18:1,PC 16:0_18:2,PC 16:0_18:3,PC 16:0_18:3_2,PC 16:0_20:3,PC 16:0_20:4,PC 16:0_20:5,PC 16:0_22:4,PC 16:0_22:6,PC 16:1_18:2,PC 16:1_20:5,PC 16:1_22:6,PC 16:1_22:6_2,PC 16:2_18:2,PC 17:0_18:1,PC 17:0_18:2,PC 17:0_18:2_2,PC 17:0_20:3,PC 17:0_20:4,PC 17:0_20:4_2,PC 17:0_22:6,PC 17:0_22:6_2,PC 17:1_18:2,PC 18:0_18:0,PC 18:0_18:1,PC 18:0_18:2,PC 18:0_20:1,PC 18:0_20:3,PC 18:0_20:3_2,PC 18:0_20:4,PC 18:0_20:5,PC 18:0_22:4,PC 18:0_22:5,PC 18:0_22:5_2,PC 18:0_22:6,PC 18:1_18:2,PC 18:1_20:3,PC 18:1_20:4,PC 18:1_22:6,PC 18:2_18:2,PC 18:2_18:3,PC 18:2_18:4,PC 18:2_20:4,PC 18:2_20:5,PC 18:2_22:5,PC 18:2_22:6,PC 18:3_22:6,PC 19:0_18:1,PC 19:0_18:2,PC 19:0_18:2_2,PC 19:0_20:4,PC 19:0_22:6,PC 20:0_18:2,PC 20:0_20:4,PC 20:0_20:4_2,PC 20:0_22:6,PC 20:0_22:6_2,PC 20:1_18:2,PC 20:1_22:6,PC 20:2_20:4,PC 20:2_22:6,PC 20:3_22:6,PC 20:4_22:6,PC 20:5_22:6,PC 22:6_22:6,PC 33:1,PC 39:5,PE 15:0_18:1(d7),PE 16:0_18:1,PE 16:0_18:2,PE 16:0_18:3,PE 16:0_20:4,PE 16:0_20:5,PE 16:0_22:6,PE 16:1_18:2,PE 16:1_20:4,PE 16:1_22:6,PE 18:0_18:1,PE 18:0_18:1_2,PE 18:0_18:2,PE 18:0_18:2_2,PE 18:0_20:3,PE 18:0_20:4,PE 18:0_20:4_2,PE 18:0_22:5,PE 18:0_22:6,PE 18:1_18:1,PE 18:1_18:2,PE 18:1_20:4,PE 18:1_20:5,PE 18:1_22:6,PE 18:2_18:2,PE 18:2_20:4,PE 18:2_22:6,PE 22:3_22:6,PG 15:0_18:1(d7),PG 16:0_16:0,PG 16:0_18:2,PG 16:0_20:4,PG 16:0_22:5,PG 22:6_22:6,PI 15:0_18:1(d7),PI 16:0_18:1,PI 16:0_18:2,PI 16:0_20:3,PI 16:0_20:3_2,PI 16:0_20:4,PI 16:0_20:5,PI 16:0_22:6,PI 17:0_20:4,PI 18:0_18:1,PI 18:0_18:2,PI 18:0_20:3,PI 18:0_20:3_2,PI 18:0_20:4,PI 18:0_22:6,PI 18:1_18:2,PI 18:1_20:3,PI 18:1_20:4,PI 18:1_20:5,PI 18:1_22:6,PI 18:2_18:2,PI 19:0_20:4,PI 19:0_20:4_2,PI 20:0_20:4,PI 36:2,PI 38:4,PI 38:5,PI 38:6,PI 40:4,PI 40:5,PS 15:0_18:1(d7),PS 18:0_20:4,PS 18:2_20:4,PS 20:4_22:6,PS 40:8,SHexCer d34:2,SM d17:1_24:1,SM d18:1_18:1(d9),SM d18:1_22:1,SM d18:1_24:1,SM d18:2_16:0,SM d32:1,SM d34:0,SM d34:1,SM d36:1,SM d38:1,SM d38:2,SM d39:1,SM d40:0,SM d40:1,SM d40:2,SM d41:0,SM d41:1,SM d41:1_2,SM d41:2,SM d42:1,SM d42:1_2,SM d42:3,SM d43:1
1,RT,Plasma,Plasma_RT,100,301883,21893,1610,206849,213649,14988,10021,9155,65760,8932,29401,36031,94305,307367,41242,149795,245015,429355,4642,16219,66912,11174,38924,75507,52931,283959,34370,5743,270476,102549,21968,38209,150527,756018,19849,223350,63537,26549,59374,41120,7125,39098,121154,33638,5020,74402,303769,5016,34733,150859,33715,26019,74166,99611,174733,7568,74594,389648,3544,218814,516578,824710,57374,8877,3656,37445,5659,15486,17256,105533,42406,17745,38464,33634,52682,62229,41723,78162,23873,181364,68996,13354,33564,13121,17472,35866,15989,68733,122316,21591,15130,15492,432653,2311636,61598,39802,8460,1316400,171366,147018,473030,319459,1361131,730289,23816,25084,33495,68480,47411,18070,80748,67619,430671,241154,31780,18527,13711,12995,14228,346443,192424,NA,12435,7384,73016,60778,22472,58614,78048,35095,60930,27805,144264,25089,7994,9241,19085,13940,5543,339176,43450,25211,13052,970050,38633,250696,264551,101590,74521,1562461,3985106,84206,202706,682155,2556772,279964,14517,2675778,214749,13865,65896,21256,5714,24678,114397,471477,705770,99595,85081,15228,NA,115143,323147,457323,2929760,449599,430129,15650,1330031,61367,14449,50823,NA,914047,467716,59556,508578,241851,383707,108711,14104,248146,37033,212753,158249,7942,11528,91433,58902,22529,12527,111908,25453,32589,36037,11657,83681,204167,35290,4055,109841,53900,5689,11152,41885,24948,71703,14470,145815,NA,124920,283610,624735,57715,287275,8748,1594250,16929,4018860,63331,82331,423199,355218,120706,262047,5516,159766,246966,26335,433883,12801,165887,13147,121286,420859,119257,49799,301739,79005,6150,93818,32463,746707,135938,6822,451411,10828,71041,169884,7365,329238,334682,58171,4960129,173655,462796,24247,122390,7969,21878,42240,22039,123235,28211,74189,23706,229812,8129,26665,76054,29652,171019,42468,14045,16076,14122,59319,191418,59833,622083,137620,12194,194305,695891,173756,59738,12604,39150,93303,465295,97661,NA,154653,107215,8513,258337,51860,148225,8142
2,RT,Plasma,Plasma_RT,100,583466,23142,30963,479716,377596,27151,20484,16525,115323,8658,51006,82902,217018,434427,118763,291840,565178,499921,31533,35769,194451,19953,61406,63803,45868,361636,67787,28030,443749,174965,35194,80417,293103,1200059,44255,520218,78117,63090,116659,51949,14909,80927,201750,64396,11941,118788,717137,6421,25702,275771,25447,51032,140868,134632,171071,51032,139535,353476,2576,183014,543246,942705,63969,12044,6129,31140,6592,11842,16229,100933,35393,15419,42331,52356,55591,69313,9830,171639,47424,286265,142284,26058,66208,26649,26649,63597,32478,141126,200734,41048,17207,18847,464976,2952025,63948,56774,NA,2288461,230037,201008,492003,299585,1520391,1292456,26767,28030,56567,97190,68495,14755,38081,51768,281459,280411,27563,24616,19818,12593,13793,300180,255843,6007,21440,8130,134393,162303,29091,55499,94803,67582,51391,63061,206277,59136,10849,9398,25459,9233,4033,535528,56205,23305,10877,879458,NA,210963,431634,98573,113183,1862634,4829269,125369,205911,505172,2531811,330235,12726,2716056,254594,11583,46088,14642,12073,26461,161234,444161,644476,82659,100455,13590,8142,117197,481752,616273,4649649,575616,441531,20037,1721085,174042,28057,60703,71540,1302320,524096,55208,613733,252161,598896,154475,12871,186479,34230,295761,131664,8170,77956,154879,86177,22367,9176,158933,21180,42811,37233,29141,103387,209278,24547,27401,125636,33627,6314,8260,NA,15782,69202,39727,274386,15281,180338,364635,977817,95962,15840,12412,1930089,25237,4913068,180057,121385,774920,577601,173394,664221,16205,196536,520870,82019,485806,40838,259174,10738,215902,385009,144209,150706,404368,236474,6326,92949,24072,1692332,132182,6853,636123,22374,91967,193136,18652,481967,326843,37109,6090826,206541,1013577,NA,225838,13789,21551,27956,40510,144919,17688,94228,NA,260931,12785,22883,51753,33566,229215,42344,14213,6931,11372,71676,202021,54443,795952,197556,22467,405992,1104621,69040,92129,22110,63688,148397,690982,122650,30292,263581,193871,9911,431285,67248,184923,16193
3,RT,Plasma,Plasma_RT,100,361143,20985,15416,226491,226063,16155,18731,7802,57181,6404,35773,45156,141259,322119,59530,167942,269520,405206,NA,21062,145339,16782,49095,73625,24771,3192,51686,5546,268796,132180,19232,38489,152419,841049,30665,253697,53701,35039,67759,39810,8938,44626,166853,38476,NA,78210,352298,2208,18029,167919,37451,36689,75808,97870,186196,36689,75808,396829,4024,159087,628929,1091311,101021,15622,3905,37193,5405,16038,16073,141962,40674,12121,47458,55199,63287,76017,18873,86909,21798,179371,70422,14673,35051,20034,19877,39714,14292,70356,119588,19432,22151,16875,511678,2644210,87325,47711,5225,1567196,208633,175374,559850,281578,1699688,837440,31443,30881,37667,94585,49960,19583,82697,55764,480455,242029,50116,22381,17122,13658,12131,398934,190245,5064,15235,5740,93027,78226,22189,51998,95616,43943,69805,29291,171074,26474,8741,7010,18777,18619,3043,353174,52799,23892,13691,863976,21244,238730,264093,119111,83786,1623640,4399835,85878,191879,649829,2571753,378353,16003,2661711,228552,15186,88106,18410,11294,18539,136058,439655,630605,87042,92509,11309,2227,96910,376674,489337,3269839,436938,438495,9091,1354059,106711,24575,58344,56947,982874,456864,NA,550122,233020,437811,164196,14598,241579,45395,238481,163282,8576,13038,64964,15093,25621,15864,130046,43029,37637,39213,5600,81074,174328,11803,21307,88471,58809,8228,9267,2607,16698,69294,23128,180939,NA,153205,245907,691606,67203,16622,11433,1660914,16783,4392373,111129,80763,474625,380237,134896,293366,25929,155125,289433,14213,405074,15491,196182,9041,131513,369646,108178,40893,268268,65081,6376,87713,54284,935380,133563,15626,476831,20229,71668,196094,19841,342720,307483,50689,4895009,177390,515221,16084,120521,11215,18047,39316,22302,135131,19137,87528,16084,222523,11166,16534,58492,30094,191380,52897,1932,18790,15582,63249,173515,55792,610944,151219,15801,215119,757408,42871,62747,16784,55052,91601,535566,112855,12873,155460,145992,12479,295530,51024,158184,10723
4,RT,Plasma,Plasma_RT,100,733890,58567,29248,501554,513042,41128,33220,17817,161942,4549,52613,67742,259281,466972,134959,290432,651624,716277,8875,14162,226581,16107,67807,121257,43892,494399,80707,21994,410159,201587,43083,85283,268348,1549332,48898,601312,89532,75366,127744,87401,9605,77232,234810,72864,11612,130467,767029,7016,56988,324219,64682,67999,166514,190652,326499,67999,172496,446866,5263,204625,873882,1518673,135531,23902,4233,54378,13699,27412,22544,209102,53139,22344,74490,73487,86045,91929,31394,117455,56576,304924,147805,24420,70645,NA,NA,72429,33492,145105,230248,52991,34376,33554,980303,4294447,176281,84381,19241,2805940,414826,230611,1273376,313604,3437800,1246525,52909,86382,82434,205840,123465,37506,190087,92668,1068825,366554,100967,35325,27490,30029,19097,817103,279727,7802,31169,12269,200823,187089,52381,55004,212841,76641,234373,73211,368634,58044,21657,8418,27095,31171,8679,520714,93106,39129,21616,845788,46421,372603,394422,186071,122387,2718337,5434647,180692,271655,976883,4133562,482335,30828,3976824,395169,20898,125304,28630,9314,44248,195238,455154,637735,160198,121710,21043,15942,77156,18963,807491,4871131,762210,655099,1349,2071809,213655,24010,73089,78724,1334782,730472,119368,990656,335819,932926,248202,20932,353831,70485,789494,235068,19875,96361,174830,103546,NA,26167,211775,59537,41811,52752,57306,142771,375548,10051,26197,438360,93343,10322,12018,58627,18472,87164,NA,407211,6005,287133,311767,1341081,164652,38930,16745,2774121,22230,5461689,287591,132135,970266,703267,182088,714222,33189,282941,735113,78101,716476,47657,417255,14873,474633,487143,249975,73516,313735,195661,6891,103975,NA,3634387,179754,5649,1779840,36048,144727,255243,36108,796415,693532,110505,7328252,342488,2148918,27432,455937,13411,34955,72794,33059,155054,36553,78013,24372,699781,13049,40332,76538,41349,284030,85224,22919,22705,22323,102366,215232,95487,1061263,249620,22111,495116,1288741,74830,98106,22473,78404,139310,842798,170304,29807,274896,224769,18443,493046,83502,244039,NA
5,RT,Plasma,Plasma_RT,100,476516,15883,17113,402998,264459,19558,16648,10777,63642,6897,36565,56804,121250,415860,57087,163753,315896,370092,3815,23920,120735,15179,53068,60422,57389,334112,54291,8768,272406,113660,23480,52588,136122,892302,30516,285418,51139,37287,66376,51556,NA,49044,169526,45205,NA,70292,476122,3525,8948,196023,22850,36670,94039,97867,108516,36489,72112,347202,2720,176498,524647,845084,45757,11973,2565,29630,4971,9252,15204,108096,35238,16684,36544,40857,52408,69160,14824,136877,35470,226578,115792,19433,48378,6636,16510,54057,7883,116091,158082,43878,19799,22601,563097,3091583,45605,60228,6097,2171398,285479,163054,543944,299214,1815351,1009624,25722,25114,55235,107863,61225,20460,71843,55189,406747,260192,48367,27339,17923,9317,15370,444980,243167,5082,17835,7172,225750,122651,19257,43100,112804,70168,56781,42681,194482,44967,10717,6093,20406,9535,2784,441705,44996,24702,11018,934310,19846,188016,284327,99231,92516,1682739,4524123,95800,183604,579817,2402545,409902,13511,2675719,173135,15943,42056,19196,10014,33048,138773,465480,667031,93296,84779,16521,16521,98236,10759,567631,4043289,530136,458467,16303,1543338,158778,14810,47585,NA,1196514,425400,69521,488797,246204,595788,121689,14622,180325,43453,275955,135417,8993,61026,132022,64518,19610,14049,162474,28400,37191,40598,8999,86450,191716,NA,24748,116966,33070,7373,10158,12367,22431,73661,8633,189697,NA,131170,241430,690127,60736,5680,8030,1720285,15789,4622169,128677,79921,579402,453901,146410,382439,12763,152862,369285,29687,369662,NA,182067,8604,319079,432540,80259,49151,284767,166591,7079,95462,29100,1249613,132388,15804,583256,28129,77582,204002,25039,328507,309277,47386,6044069,191681,757939,12779,218886,10489,21838,29327,31944,142937,22159,74026,NA,242567,10489,27008,71858,12413,232592,50849,12863,12039,13669,57795,188590,49216,739114,172592,18674,260715,881633,58462,91149,19549,59975,109735,707498,133326,24799,202786,195570,11605,423984,77094,178321,13320
6,RT,Plasma,Plasma_RT,100,354086,16331,18032,229632,201612,20760,2596,6558,57092,7770,36594,55893,152861,300413,45756,164841,288036,407402,20108,23844,172106,16235,49785,63596,30337,294633,58797,15650,294334,164028,25869,42815,161525,885734,31052,276061,53747,42660,70917,49307,NA,37746,186285,35773,4066,70005,381634,3463,13523,180062,24805,36558,81121,107085,195667,33051,80245,333524,3952,168453,581573,1012168,82181,20056,5667,38098,8911,15339,15989,145007,36032,14508,46600,52655,61345,75923,10673,91927,29150,184232,83109,18435,39171,18938,14860,42600,12344,82768,121764,22946,21280,20294,560010,2884226,79791,59261,11004,1837443,245454,158874,561837,299240,1774120,889047,32200,36050,59743,115546,61466,18101,77613,55916,470325,261060,48228,27169,20171,14444,11050,391587,195214,5400,14795,9516,100240,96946,22260,57728,94934,53352,68454,27716,169287,29405,12128,8199,19986,14104,4125,373002,51258,24480,13711,948092,25459,292145,297284,104628,96445,1538109,4494820,98832,196526,628942,2697799,375548,17336,2848730,258104,13756,67276,20396,10520,30323,153500,470588,692072,97117,83982,17812,7820,106025,437328,481378,3474964,450991,451448,11677,1488291,159896,12304,52667,61564,1020920,482429,58158,486376,288564,514272,163787,13322,240850,51897,249882,185918,14401,37332,149841,71487,35906,9885,143712,46350,39516,36585,28213,89975,164239,10851,22480,124885,60808,9604,8027,24978,90202,76836,19400,179504,NA,134794,284020,724639,68652,16048,11889,1564679,20828,4561321,102048,63581,523271,472181,83670,339437,9365,158030,364741,49202,405887,18717,234628,17298,111193,428404,126462,59442,306080,121608,8260,96271,34162,1122104,129972,NA,538344,19292,86365,199722,20620,384157,319463,38714,5497049,198035,676978,14230,169077,9358,17687,44033,17337,138440,27622,85524,23717,257570,9358,19876,64299,35068,215674,61322,18497,20235,14469,80972,186287,60956,628893,159678,16261,234046,801340,51788,70166,17836,76681,90642,622599,150522,18698,157423,174321,17639,320024,58499,175939,5433
7,Cold,Plasma,Plasma_Cold,100,689635,39492,43407,458499,492847,43509,36346,32988,142396,10703,56271,85443,263479,380418,135550,283382,536577,443607,10463,39214,234394,21446,65712,92580,39468,394128,84363,30952,378062,282264,37308,82775,276322,945442,46265,490666,90436,77742,130295,75604,4111,82720,253128,19375,10967,128750,528549,7901,248429,266096,23247,63206,140912,171714,40119,63206,150467,466745,11138,188607,1206389,1940946,185491,26767,2973,70047,20297,39239,28069,237673,59204,17391,95180,81701,101151,99040,34109,127614,38025,234553,122260,19377,54149,NA,NA,55229,23851,122140,171865,42892,32892,30365,540741,3127876,124763,54609,10959,2070136,199339,273799,770198,325584,1988479,1424240,34435,37391,53844,151896,57358,10511,54383,60707,433785,335034,38987,27705,21991,19822,26405,340969,234189,5198,23465,9329,89845,97392,18156,60667,116915,117211,59965,50908,202776,33942,16219,12642,31292,21421,2801,475721,92011,31754,24057,944580,66416,288135,375748,152604,117889,2295364,5139791,99786,211073,665428,2810331,341575,27822,2945055,370924,19604,100648,17418,21608,37765,156612,474001,687243,97455,90263,9988,9988,109462,542010,705727,4065142,603855,463566,22374,1633160,105693,32652,55318,37554,1299200,631847,61200,648860,171093,726605,213674,19298,256264,57097,373533,163105,13377,60784,150857,100184,26728,11480,148029,31592,42486,34131,40324,101945,221841,NA,20256,156946,60940,6143,10826,25154,31814,73031,53107,248324,NA,149373,304356,706719,115203,19839,15511,2322154,20023,5068782,167341,135752,581323,645367,150109,458711,32250,210956,526988,53105,424196,52707,307296,NA,240817,441275,114721,70030,328994,143879,6184,99564,46692,1571579,122351,9147,794249,18670,79145,196466,21084,538110,346260,57905,5511429,212604,996588,12362,233703,8340,21165,44455,26685,151105,22503,88877,5403,289402,6910,22659,69257,37859,226415,65542,24951,27332,19254,84799,185484,70907,838158,209634,22068,412997,900086,66617,89041,19285,84344,115872,768036,153450,26584,187748,244052,16899,489701,84964,191176,13706
8,Cold,Plasma,Plasma_Cold,100,254034,26969,18392,181477,259739,13693,27159,17460,63755,7257,31758,44071,116144,271620,53153,87681,189095,244812,15087,17586,126033,15200,39645,64495,25052,275444,34277,8330,286100,79102,27723,33344,98603,480030,6855,185559,51448,26495,59461,31503,12260,37433,124802,31116,3704,66978,193903,7257,19878,124085,31491,30272,54984,63863,83834,16722,45642,400841,5659,133146,713165,1184597,141723,10148,3759,36446,8930,21391,18709,128725,49829,11312,62025,56336,70923,81416,13227,90316,21356,137579,62607,27572,32468,24285,24285,35033,15653,62803,116072,18415,18656,19170,335513,2257318,69157,36907,8240,1382153,114135,170239,380809,304333,1015064,943817,21684,17661,29486,59811,34072,8633,29870,46136,265801,283222,14451,14697,11746,12500,7650,184696,155559,5215,15128,5380,164795,43534,11283,49259,63461,54941,21126,28531,114367,20804,11192,7655,24112,7949,22935,314294,48487,22445,8526,953559,23366,207872,283145,91399,84327,1197210,4044031,80989,187066,570778,2324523,248520,10774,2272163,282806,19836,62484,10832,14258,18790,119145,458811,702689,81629,80613,NA,11411,100062,268882,408408,2956285,416331,390977,NA,1342832,129867,17887,45437,52716,869031,433185,43327,325714,227131,373314,119565,19640,174561,33374,141269,98082,8198,7740,99980,66583,27088,17748,124399,23001,29902,20104,21376,70468,117257,30314,17248,49942,34996,5476,5070,7548,10344,53753,8464,89510,9360,86941,304208,312512,57980,11134,8245,1213256,10560,4081008,63541,59912,276314,383745,129878,143421,12206,116594,228228,27236,244822,11409,145369,9155,109209,384092,39960,53417,311181,134763,16787,83798,34970,552371,96101,15760,297981,7539,45996,181933,NA,297223,209043,42449,4168762,127654,383798,14614,101762,7864,13732,25431,31136,116021,17969,78495,13512,136396,7738,19144,61382,17474,168614,37804,17585,18708,17353,61471,196451,59111,583602,126591,17648,139501,526268,42041,52627,10386,37007,70014,394643,78510,11749,114097,112074,12068,235894,47623,161224,5258
9,Cold,Plasma,Plasma_Cold,100,685053,25880,33474,437192,372527,41921,19693,20647,88740,8321,41477,57600,230225,326967,99676,216646,410358,352898,3011,35671,182595,15795,46833,78391,47551,301002,64970,18932,274304,255717,26810,66612,193119,761331,36313,468086,68023,51879,79778,64520,14096,59009,243210,42826,13240,86215,486507,9537,22121,250689,46519,64848,107914,128745,34897,65021,106853,442995,8846,184730,1018706,1770812,132247,25546,6596,61735,24728,32690,25127,201319,46352,17032,83811,68945,93222,92548,34821,95025,34491,186200,94774,18519,42917,19051,12735,47679,13692,95853,117700,26225,26107,31363,439688,2903052,92849,63037,8044,1920609,159533,273066,614994,305284,1611886,1460420,31256,30870,45917,140869,45671,13330,35584,59277,321540,305618,37235,27843,21224,13607,14374,268341,212631,NA,18366,5864,80532,96374,16717,52761,96845,86564,44725,52498,183545,33004,11322,9975,29046,14055,8025,362504,102650,31122,24608,863694,69991,286532,271076,126607,88829,2174323,4917778,101705,182432,608139,2650898,382857,7110,2833235,375946,16906,83590,21626,20855,48103,189684,444373,622261,112352,108695,11669,8001,89479,528186,748420,4327503,459444,493366,5022,1666896,129448,21668,66716,75591,1398385,630114,59313,456344,269450,721115,213661,16906,258240,65827,317932,189512,12719,63068,162949,88778,35065,18403,152494,22503,45123,40581,NA,92008,206467,5173,14692,121420,57877,6770,9938,54780,27911,78599,42484,211940,20125,134972,250449,590257,90001,15296,11900,2207568,18952,4990817,176967,91391,583259,694713,159395,394029,17346,203575,426347,32357,352645,56015,291700,16228,218269,383610,66785,55929,275970,108536,6644,91577,35841,1341606,121211,NA,687662,22797,75519,202146,23567,474181,326661,69519,5622440,194485,794874,NA,212533,4621,21200,43524,29754,155841,30626,92087,NA,239390,6360,23645,68984,41940,242401,82489,22080,23144,19238,70181,174951,48062,653688,188533,15506,359971,713110,281984,69818,20080,82803,95460,765203,143199,18439,178973,233377,26380,445384,75484,140664,15554
10,Cold,Plasma,Plasma_Cold,100,850954,49129,37248,488501,502213,48638,12563,21235,132880,6370,49020,66973,258626,411570,113981,266837,570616,526019,2472,47311,210845,28469,56702,106886,32020,404808,81458,29546,346836,292505,35010,47776,236494,1204548,35589,554420,88372,73747,135499,86256,12909,93983,242000,65314,18746,111132,699655,8635,21052,281738,65688,62693,141766,147015,198187,63493,153562,497782,7447,181143,1018845,1826203,224876,27121,3986,54450,18476,42641,30514,266089,58130,14087,77020,80790,93267,97363,13537,96016,49035,289839,117432,24796,61388,22306,16859,43536,29335,117515,166832,37141,31109,29249,602200,3561253,142932,60096,5271,2448959,228958,285710,826754,323871,2059655,1562026,47640,47315,56687,176721,66031,15764,66508,77510,481314,304269,53094,38316,24998,22265,13949,381159,275602,7382,25795,9726,121472,122483,23508,58143,125634,91440,81193,72111,232214,26214,19087,11230,40210,23309,6457,439740,111544,34592,28990,912021,41462,312938,356309,170434,116942,2537211,5293821,125276,176473,817699,3359279,409229,13995,3487646,487622,23372,131648,21864,25530,46705,158584,486102,657776,120496,105707,12498,3820,91010,625303,806688,4704072,623274,587332,NA,1978597,129847,28091,71988,68102,1466736,653626,78513,648611,330117,832071,286446,23285,326303,69235,564951,197428,14804,56831,147075,91993,28449,21171,167495,49893,42492,58978,5168,115034,307986,14653,23771,211672,79478,7746,11653,NA,38024,87302,50120,319894,NA,204956,288973,994871,150093,31709,18691,2593621,28616,5323911,226100,121011,785541,726272,171520,610485,23763,229129,623968,24248,525822,59682,346410,13956,291823,351682,149278,60071,308275,170760,7696,89717,46662,2112469,148512,6524,1226335,23446,92476,215346,27493,622418,470599,83681,6121826,235294,1197579,10905,269092,8724,17215,57906,29097,159906,35786,89077,15961,404351,9004,32718,74478,66028,267472,82425,22398,19627,22921,88028,179696,83825,802415,204877,20533,444624,1033674,64637,99023,25019,94685,151076,889533,187221,22559,268163,233003,23227,484866,78524,191047,16210
