"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] GSM_01_1x_neg_080721_094,[Mass] GSM_02_1x_neg_080721_082,[Mass] GSM_03_1x_neg_080721_088,[Mass] GSM_04_1x_neg_080721_090,[Mass] GSM_05_1x_neg_080721_089,[Mass] GSM_06_1x_neg_080721_096,[Mass] GSM_07_1x_neg_080721_095,[Mass] GSM_08_1x_neg_080721_083,[Mass] GSM_09_1x_neg_080721_084,[Mass] GSM_10_1x_neg_080721_081,[Mass] GSM_11_1x_neg_080721_099,[Mass] GSM_12_1x_neg_080721_087,[Mass] GSM_PB_1x_neg_080721_093,[RT] GSM_01_1x_neg_080721_094,[RT] GSM_02_1x_neg_080721_082,[RT] GSM_03_1x_neg_080721_088,[RT] GSM_04_1x_neg_080721_090,[RT] GSM_05_1x_neg_080721_089,[RT] GSM_06_1x_neg_080721_096,[RT] GSM_07_1x_neg_080721_095,[RT] GSM_08_1x_neg_080721_083,[RT] GSM_09_1x_neg_080721_084,[RT] GSM_10_1x_neg_080721_081,[RT] GSM_11_1x_neg_080721_099,[RT] GSM_12_1x_neg_080721_087,[RT] GSM_PB_1x_neg_080721_093,[Height] GSM_01_1x_neg_080721_094,[Height] GSM_02_1x_neg_080721_082,[Height] GSM_03_1x_neg_080721_088,[Height] GSM_04_1x_neg_080721_090,[Height] GSM_05_1x_neg_080721_089,[Height] GSM_06_1x_neg_080721_096,[Height] GSM_07_1x_neg_080721_095,[Height] GSM_08_1x_neg_080721_083,[Height] GSM_09_1x_neg_080721_084,[Height] GSM_10_1x_neg_080721_081,[Height] GSM_11_1x_neg_080721_099,[Height] GSM_12_1x_neg_080721_087,[Height] GSM_PB_1x_neg_080721_093,[Score (MFE)] GSM_01_1x_neg_080721_094,[Score (MFE)] GSM_02_1x_neg_080721_082,[Score (MFE)] GSM_03_1x_neg_080721_088,[Score (MFE)] GSM_04_1x_neg_080721_090,[Score (MFE)] GSM_05_1x_neg_080721_089,[Score (MFE)] GSM_06_1x_neg_080721_096,[Score (MFE)] GSM_07_1x_neg_080721_095,[Score (MFE)] GSM_08_1x_neg_080721_083,[Score (MFE)] GSM_09_1x_neg_080721_084,[Score (MFE)] GSM_10_1x_neg_080721_081,[Score (MFE)] GSM_11_1x_neg_080721_099,[Score (MFE)] GSM_12_1x_neg_080721_087,[Score (MFE)] GSM_PB_1x_neg_080721_093,[Score (Tgt)] GSM_01_1x_neg_080721_094,[Score (Tgt)] GSM_02_1x_neg_080721_082,[Score (Tgt)] GSM_03_1x_neg_080721_088,[Score (Tgt)] GSM_04_1x_neg_080721_090,[Score (Tgt)] GSM_05_1x_neg_080721_089,[Score (Tgt)] GSM_06_1x_neg_080721_096,[Score (Tgt)] GSM_07_1x_neg_080721_095,[Score (Tgt)] GSM_08_1x_neg_080721_083,[Score (Tgt)] GSM_09_1x_neg_080721_084,[Score (Tgt)] GSM_10_1x_neg_080721_081,[Score (Tgt)] GSM_11_1x_neg_080721_099,[Score (Tgt)] GSM_12_1x_neg_080721_087,[Score (Tgt)] GSM_PB_1x_neg_080721_093,[Ions] GSM_01_1x_neg_080721_094,[Ions] GSM_02_1x_neg_080721_082,[Ions] GSM_03_1x_neg_080721_088,[Ions] GSM_04_1x_neg_080721_090,[Ions] GSM_05_1x_neg_080721_089,[Ions] GSM_06_1x_neg_080721_096,[Ions] GSM_07_1x_neg_080721_095,[Ions] GSM_08_1x_neg_080721_083,[Ions] GSM_09_1x_neg_080721_084,[Ions] GSM_10_1x_neg_080721_081,[Ions] GSM_11_1x_neg_080721_099,[Ions] GSM_12_1x_neg_080721_087,[Ions] GSM_PB_1x_neg_080721_093,
PI 18:0_20:4,C47 H83 O13 P,886.5579,0.36,0,7.57,0.046,6840295,13,0,99.9,7.5,3,13,886.5581,886.5579,886.5579,886.5578,886.5581,886.5579,886.5575,886.5574,886.5580,886.5579,886.5577,886.5578,886.5587,7.567,7.567,7.565,7.569,7.568,7.558,7.565,7.559,7.568,7.568,7.565,7.569,7.523,7900660,6841843,6506243,7157367,7464975,7378241,7523442,7692608,7740257,8621876,6741642,7352736,1948,,,,,,,,,,,,,,99.25,99.41,99.50,99.55,99.27,99.40,99.86,99.81,99.24,99.47,99.67,99.63,73.17,11,9,10,13,10,11,11,11,8,9,12,10,3,
PC 16:0_22:6,C46 H80 N O8 P,805.5630,0.44,0,7.08,0.068,5781965,13,0,99.7,6.2,3,16,805.5628,805.5629,805.5629,805.5627,805.5629,805.5631,805.5628,805.5628,805.5630,805.5628,805.5630,805.5629,805.5641,7.083,7.083,7.083,7.083,7.083,7.079,7.080,7.081,7.082,7.083,7.085,7.082,7.016,6015878,5549300,6294128,5913433,6567071,6455602,6831393,6918695,6006206,6737645,5842578,6030308,3314,,,,,,,,,,,,,,99.55,99.42,99.48,99.70,99.48,99.29,99.67,99.53,99.47,99.58,99.45,99.47,77.74,14,15,13,15,12,15,13,14,11,13,13,16,3,
PE 18:0_22:6,C45 H78 N O8 P,791.5471,0.21,0,8.25,0.008,5512680,12,1,99.8,0.2,15,19,791.5472,791.5470,791.5472,791.5472,791.5468,791.5473,791.5472,791.5471,791.5473,791.5473,791.5470,791.5470,,8.254,8.252,8.249,8.246,8.251,8.251,8.250,8.248,8.249,8.253,8.251,8.251,,4947631,4723797,4671734,5091958,6974912,5102908,6415478,6278318,5306020,6901013,4736747,5001652,,,,,,,,,,,,,,,99.41,99.70,99.47,99.29,99.79,99.34,99.38,99.47,99.28,99.38,99.69,99.64,,16,16,15,18,16,18,17,17,17,15,18,19,,
PS 18:0_22:6,C46 H78 N O10 P,835.5370,0.13,0,7.41,0.014,3830350,12,1,99.6,0.3,13,19,835.5369,835.5369,835.5369,835.5370,835.5370,835.5371,835.5371,835.5367,835.5371,835.5371,835.5370,835.5369,,7.406,7.405,7.403,7.406,7.409,7.408,7.417,7.409,7.406,7.417,7.407,7.407,,3491037,3048789,3381786,3609676,4250865,3933272,4432602,4448383,3716922,4721713,3250847,3678315,,,,,,,,,,,,,,,99.57,99.53,99.44,99.42,99.08,99.34,99.01,99.48,99.41,98.58,99.57,99.60,,19,14,16,13,15,16,16,17,13,15,17,17,,
EtherPE 16:1e_22:6,C43 H74 N O7 P,747.5212,0.17,0,7.72,0.008,3490600,12,1,80.3,3.6,6,10,747.5212,747.5213,747.5213,747.5211,747.5209,747.5212,747.5214,747.5213,747.5213,747.5212,747.5213,747.5213,,7.724,7.722,7.721,7.721,7.723,7.721,7.727,7.718,7.722,7.725,7.722,7.722,,3442126,3127190,3203730,3228556,3756085,3589703,3990144,3730382,3311065,3938789,3054010,3515421,,,,,,,,,,,,,,,73.87,73.68,74.57,72.55,72.09,78.99,77.38,80.30,72.22,74.58,72.92,73.22,,10,10,8,9,6,8,9,10,9,8,9,9,,
PE 16:0_22:6,C43 H74 N O8 P,763.5156,1.08,0,7.32,0.023,2486553,13,0,99.8,11.7,2,19,763.5159,763.5157,763.5157,763.5159,763.5158,763.5161,763.5161,763.5159,763.5159,763.5158,763.5158,763.5159,763.5129,7.318,7.317,7.317,7.311,7.311,7.316,7.322,7.315,7.317,7.317,7.317,7.317,7.334,2827115,2347092,2579964,2498184,2728190,2721324,3015365,2743765,2353550,3276481,2482390,2750252,1522,,,,,,,,,,,,,,99.55,99.75,99.78,99.49,99.60,99.23,99.18,99.50,99.47,99.69,99.66,99.55,58.77,16,16,14,12,18,19,16,16,16,16,14,12,2,
PI 18:0_22:6,C49 H83 O13 P,910.5578,0.19,0,7.31,0.008,2482616,12,1,99.8,0.2,8,14,910.5578,910.5577,910.5576,910.5577,910.5579,910.5582,910.5580,910.5580,910.5579,910.5576,910.5576,910.5578,,7.311,7.305,7.306,7.306,7.306,7.307,7.309,7.303,7.306,7.308,7.309,7.307,,2238122,1932959,2444110,2293924,2758177,2559468,3032179,2870084,2227795,3073955,2012137,2348491,,,,,,,,,,,,,,,99.55,99.72,99.78,99.64,99.56,99.15,99.31,99.46,99.48,99.73,99.72,99.63,,12,11,10,13,12,11,11,13,8,9,14,13,,
PC 16:0_20:4,C44 H80 N O8 P,781.5626,0.38,0,7.35,0.025,3266100,13,0,98.3,7.8,2,20,781.5628,781.5627,781.5626,781.5627,781.5625,781.5628,781.5629,781.5626,781.5627,781.5628,781.5626,781.5626,781.5617,7.350,7.350,7.348,7.350,7.345,7.346,7.353,7.342,7.345,7.345,7.348,7.346,7.328,4136550,3184122,3259933,3295470,3126445,3675616,3841293,3735577,3362032,4023749,3181996,3634787,1734,,,,,,,,,,,,,,98.01,98.07,97.88,98.18,97.51,97.50,98.30,97.07,97.52,97.30,97.93,97.76,70.77,19,16,18,18,19,20,18,19,18,19,18,19,2,
PC 16:0_18:1,C42 H82 N O8 P,759.5785,0.45,0,8.31,0.059,1760160,13,0,99.8,12.1,1,14,759.5786,759.5783,759.5781,759.5784,759.5783,759.5784,759.5783,759.5782,759.5784,759.5783,759.5784,759.5784,759.5795,8.308,8.309,8.305,8.313,8.319,8.304,8.317,8.304,8.309,8.314,8.305,8.310,8.363,2098050,1852809,1768051,1901405,1727749,2002617,2035314,1859813,1837152,2038205,1724442,2034562,1925,,,,,,,,,,,,,,99.46,99.76,99.81,99.59,99.35,99.61,99.48,99.77,99.57,99.66,99.58,99.65,57.59,12,13,11,11,10,11,11,13,10,11,14,13,1,
PC 16:0_18:2,C42 H80 N O8 P,757.5628,0.61,0,7.56,0.061,1687561,13,0,99.8,10.4,2,10,757.5629,757.5626,757.5628,757.5627,757.5628,757.5628,757.5625,757.5625,757.5628,757.5628,757.5626,757.5626,757.5643,7.556,7.551,7.554,7.558,7.555,7.556,7.560,7.553,7.557,7.562,7.560,7.556,7.501,1914863,1889320,1463609,1924535,1832675,1685483,1629257,1720707,1993336,2381783,1642494,1857798,2439,,,,,,,,,,,,,,99.52,99.74,99.60,99.56,99.53,99.57,99.75,99.85,99.58,99.43,99.57,99.70,63.40,7,5,10,6,9,10,10,8,7,8,7,9,2,
