"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Liver_01_1x_neg_080721_053,[Mass] Liver_02_1x_neg_080721_063,[Mass] Liver_03_1x_neg_080721_050,[Mass] Liver_04_1x_neg_080721_062,[Mass] Liver_05_1x_neg_080721_065,[Mass] Liver_06_1x_neg_080721_057,[Mass] Liver_07_1x_neg_080721_058,[Mass] Liver_08_1x_neg_080721_059,[Mass] Liver_09_1x_neg_080721_056,[Mass] Liver_10_1x_neg_080721_051,[Mass] Liver_11_1x_neg_080721_052,[Mass] Liver_12_1x_neg_080721_064,[Mass] Liver_PB_1x_neg_080721_093,[RT] Liver_01_1x_neg_080721_053,[RT] Liver_02_1x_neg_080721_063,[RT] Liver_03_1x_neg_080721_050,[RT] Liver_04_1x_neg_080721_062,[RT] Liver_05_1x_neg_080721_065,[RT] Liver_06_1x_neg_080721_057,[RT] Liver_07_1x_neg_080721_058,[RT] Liver_08_1x_neg_080721_059,[RT] Liver_09_1x_neg_080721_056,[RT] Liver_10_1x_neg_080721_051,[RT] Liver_11_1x_neg_080721_052,[RT] Liver_12_1x_neg_080721_064,[RT] Liver_PB_1x_neg_080721_093,[Height] Liver_01_1x_neg_080721_053,[Height] Liver_02_1x_neg_080721_063,[Height] Liver_03_1x_neg_080721_050,[Height] Liver_04_1x_neg_080721_062,[Height] Liver_05_1x_neg_080721_065,[Height] Liver_06_1x_neg_080721_057,[Height] Liver_07_1x_neg_080721_058,[Height] Liver_08_1x_neg_080721_059,[Height] Liver_09_1x_neg_080721_056,[Height] Liver_10_1x_neg_080721_051,[Height] Liver_11_1x_neg_080721_052,[Height] Liver_12_1x_neg_080721_064,[Height] Liver_PB_1x_neg_080721_093,[Score (MFE)] Liver_01_1x_neg_080721_053,[Score (MFE)] Liver_02_1x_neg_080721_063,[Score (MFE)] Liver_03_1x_neg_080721_050,[Score (MFE)] Liver_04_1x_neg_080721_062,[Score (MFE)] Liver_05_1x_neg_080721_065,[Score (MFE)] Liver_06_1x_neg_080721_057,[Score (MFE)] Liver_07_1x_neg_080721_058,[Score (MFE)] Liver_08_1x_neg_080721_059,[Score (MFE)] Liver_09_1x_neg_080721_056,[Score (MFE)] Liver_10_1x_neg_080721_051,[Score (MFE)] Liver_11_1x_neg_080721_052,[Score (MFE)] Liver_12_1x_neg_080721_064,[Score (MFE)] Liver_PB_1x_neg_080721_093,[Score (Tgt)] Liver_01_1x_neg_080721_053,[Score (Tgt)] Liver_02_1x_neg_080721_063,[Score (Tgt)] Liver_03_1x_neg_080721_050,[Score (Tgt)] Liver_04_1x_neg_080721_062,[Score (Tgt)] Liver_05_1x_neg_080721_065,[Score (Tgt)] Liver_06_1x_neg_080721_057,[Score (Tgt)] Liver_07_1x_neg_080721_058,[Score (Tgt)] Liver_08_1x_neg_080721_059,[Score (Tgt)] Liver_09_1x_neg_080721_056,[Score (Tgt)] Liver_10_1x_neg_080721_051,[Score (Tgt)] Liver_11_1x_neg_080721_052,[Score (Tgt)] Liver_12_1x_neg_080721_064,[Score (Tgt)] Liver_PB_1x_neg_080721_093,[Ions] Liver_01_1x_neg_080721_053,[Ions] Liver_02_1x_neg_080721_063,[Ions] Liver_03_1x_neg_080721_050,[Ions] Liver_04_1x_neg_080721_062,[Ions] Liver_05_1x_neg_080721_065,[Ions] Liver_06_1x_neg_080721_057,[Ions] Liver_07_1x_neg_080721_058,[Ions] Liver_08_1x_neg_080721_059,[Ions] Liver_09_1x_neg_080721_056,[Ions] Liver_10_1x_neg_080721_051,[Ions] Liver_11_1x_neg_080721_052,[Ions] Liver_12_1x_neg_080721_064,[Ions] Liver_PB_1x_neg_080721_093,
PI 18:0_20:4,C47 H83 O13 P,886.5582,0.63,0,7.58,0.121,14647844,13,0,99.8,13.8,2,13,886.5586,886.5576,886.5576,886.5587,886.5579,886.5583,886.5576,886.5574,886.5580,886.5582,886.5582,886.5588,886.5592,7.576,7.567,7.579,7.578,7.577,7.570,7.579,7.573,7.578,7.576,7.570,7.577,7.458,15773152,14380054,15977380,15773081,16401167,15964748,16082133,15966194,15975500,16251977,15855899,16017387,3308,,,,,,,,,,,,,,98.37,99.72,99.60,98.14,99.40,99.06,99.68,99.85,99.32,99.18,99.14,97.91,51.81,10,10,7,10,9,13,10,12,10,11,10,10,2,
PE 18:0_20:4,C43 H78 N O8 P,767.5472,0.37,0,8.61,0.070,9737989,13,0,99.5,9.6,3,16,767.5474,767.5471,767.5477,767.5472,767.5471,767.5472,767.5468,767.5476,767.5468,767.5471,767.5472,767.5472,767.5476,8.602,8.588,8.605,8.605,8.614,8.608,8.612,8.611,8.605,8.611,8.608,8.604,8.544,10586611,9071187,10467008,10736383,11200297,10495485,10715045,10580882,10392131,10868024,10773831,10704874,2104,,,,,,,,,,,,,,98.96,99.13,98.30,99.10,98.84,99.20,99.30,98.51,99.47,98.87,98.95,99.21,65.59,14,14,15,16,12,13,16,13,11,15,14,16,3,
PI 16:0_18:2,C43 H79 O13 P,834.5264,0.23,0,6.86,0.010,8904356,12,1,99.9,0.2,10,18,834.5267,834.5262,834.5261,834.5266,834.5263,834.5267,834.5263,834.5266,834.5263,834.5264,834.5266,834.5264,,6.866,6.857,6.861,6.864,6.866,6.865,6.864,6.863,6.863,6.867,6.867,6.867,,10059695,6117722,11033736,10795886,10546073,9303843,9006967,9333460,6275680,9497744,8840220,6041257,,,,,,,,,,,,,,,99.27,99.79,99.89,99.39,99.68,99.34,99.76,99.39,99.77,99.61,99.45,99.54,,16,15,13,13,16,15,14,14,18,13,15,10,,
PI 18:1_18:2,C45 H81 O13 P,860.5422,0.24,0,6.89,0.012,7908282,12,1,99.7,0.2,10,14,860.5423,860.5419,860.5423,860.5425,860.5420,860.5420,860.5424,860.5421,860.5424,860.5424,860.5422,860.5421,,6.894,6.885,6.894,6.892,6.892,6.888,6.892,6.897,6.891,6.892,6.894,6.895,,8569982,5089050,8999011,9187496,7598667,7603729,8945305,9911395,6198903,8359878,8357235,6078743,,,,,,,,,,,,,,,99.45,99.72,99.29,99.14,99.74,99.71,99.23,99.45,99.33,99.21,99.50,99.54,,12,12,12,10,10,12,12,14,12,12,12,11,,
PE 16:0_22:6,C43 H74 N O8 P,763.5156,1.06,0,7.36,0.030,6546701,13,0,99.8,11.8,2,21,763.5159,763.5156,763.5161,763.5156,763.5157,763.5155,763.5157,763.5158,763.5160,763.5156,763.5159,763.5159,763.5129,7.358,7.338,7.358,7.358,7.365,7.354,7.356,7.364,7.353,7.362,7.360,7.353,7.335,6926888,8010159,7063519,6989390,7083058,7261885,6995122,6644573,6957116,6979471,7046841,7147568,1532,,,,,,,,,,,,,,99.50,98.99,99.35,99.78,99.53,99.78,99.75,99.34,99.42,99.67,99.46,99.56,58.54,15,17,19,21,18,14,16,20,16,18,15,19,2,
PE 18:0_22:6,C45 H78 N O8 P,791.5473,0.21,0,8.27,0.012,6603481,12,1,99.6,2.4,15,19,791.5473,791.5471,791.5472,791.5475,791.5475,791.5472,791.5471,791.5472,791.5472,791.5474,791.5470,791.5474,,8.268,8.263,8.270,8.271,8.271,8.270,8.271,8.275,8.275,8.273,8.272,8.275,,5615726,6605296,6090842,5823405,7266379,6641214,7134752,6167707,6813450,6904729,7056692,7121589,,,,,,,,,,,,,,,99.24,99.25,99.38,98.98,94.26,99.44,99.63,99.47,99.54,92.57,99.63,99.20,,19,18,18,18,17,16,15,16,15,16,16,18,,
PC 18:0_18:2,C44 H84 N O8 P,785.5939,0.38,0,8.60,0.140,10053410,13,0,90.3,7.1,1,19,785.5936,785.5943,785.5941,785.5940,785.5943,785.5936,785.5936,785.5938,785.5938,785.5940,785.5936,785.5937,785.5945,8.597,8.560,8.583,8.594,8.612,8.603,8.595,8.605,8.594,8.608,8.596,8.598,8.472,10836559,9885183,10898853,10998190,11347870,10932553,10974538,10958045,10745670,11052019,10954969,11107689,2195,,,,,,,,,,,,,,81.79,90.25,84.87,82.24,77.82,80.42,82.17,79.68,82.32,79.16,82.00,81.47,64.54,17,17,14,19,18,17,17,15,16,14,16,19,1,
PC 16:0_22:6,C46 H80 N O8 P,805.5630,0.56,0,7.08,0.072,5764998,13,0,99.6,6.0,3,18,805.5629,805.5631,805.5623,805.5628,805.5628,805.5633,805.5632,805.5628,805.5626,805.5632,805.5629,805.5625,805.5641,7.079,7.085,7.072,7.076,7.077,7.089,7.082,7.076,7.075,7.079,7.078,7.085,7.017,6527048,5185983,6516547,6407479,6450410,6366905,6316510,6622366,5713955,6542385,6122988,6169087,3314,,,,,,,,,,,,,,99.06,99.13,99.09,99.36,99.48,98.41,98.87,99.17,99.52,98.77,99.35,99.60,78.02,16,15,15,12,18,15,16,14,15,16,15,14,3,
PI 16:0_20:4,C45 H79 O13 P,858.5264,0.18,0,6.67,0.013,6193230,12,1,99.8,0.1,8,15,858.5266,858.5266,858.5264,858.5263,858.5265,858.5264,858.5264,858.5264,858.5263,858.5265,858.5262,858.5262,,6.664,6.666,6.660,6.663,6.658,6.665,6.666,6.668,6.667,6.666,6.665,6.671,,6262577,4418572,6647684,6765472,6376764,5918264,6518570,6221794,6103170,7110818,6567757,5407319,,,,,,,,,,,,,,,99.44,99.44,99.69,99.78,99.54,99.65,99.62,99.63,99.76,99.54,99.82,99.58,,10,12,10,13,12,13,15,11,14,8,11,13,,
PS 18:0_22:6,C46 H78 N O10 P,835.5368,0.64,0,7.45,0.082,5335451,13,0,99.7,9.8,2,16,835.5368,835.5365,835.5370,835.5365,835.5365,835.5368,835.5376,835.5368,835.5368,835.5375,835.5371,835.5374,835.5355,7.458,7.428,7.457,7.461,7.462,7.452,7.451,7.461,7.450,7.458,7.452,7.445,7.380,5324581,5342247,5588002,5348020,5798926,5754782,6143876,5592924,6287413,6036354,6188942,5951910,2891,,,,,,,,,,,,,,99.49,98.93,99.39,99.42,99.41,99.72,98.75,99.22,99.69,98.53,99.39,99.10,65.11,14,13,15,16,14,16,15,11,14,15,13,13,2,
