"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] GSM_01_30x_pos_080921_088,[Mass] GSM_02_30x_pos_080921_082,[Mass] GSM_03_30x_pos_080921_094,[Mass] GSM_04_30x_pos_080921_087,[Mass] GSM_05_30x_pos_080921_099,[Mass] GSM_06_30x_pos_080921_093,[Mass] GSM_07_30x_pos_080921_089,[Mass] GSM_08_30x_pos_080921_083,[Mass] GSM_09_30x_pos_080921_081,[Mass] GSM_10_30x_pos_080921_084,[Mass] GSM_11_30x_pos_080921_090,[Mass] GSM_12_30x_pos_080921_096,[Mass] PB_30x_pos_080921_095,[RT] GSM_01_30x_pos_080921_088,[RT] GSM_02_30x_pos_080921_082,[RT] GSM_03_30x_pos_080921_094,[RT] GSM_04_30x_pos_080921_087,[RT] GSM_05_30x_pos_080921_099,[RT] GSM_06_30x_pos_080921_093,[RT] GSM_07_30x_pos_080921_089,[RT] GSM_08_30x_pos_080921_083,[RT] GSM_09_30x_pos_080921_081,[RT] GSM_10_30x_pos_080921_084,[RT] GSM_11_30x_pos_080921_090,[RT] GSM_12_30x_pos_080921_096,[RT] PB_30x_pos_080921_095,[Height] GSM_01_30x_pos_080921_088,[Height] GSM_02_30x_pos_080921_082,[Height] GSM_03_30x_pos_080921_094,[Height] GSM_04_30x_pos_080921_087,[Height] GSM_05_30x_pos_080921_099,[Height] GSM_06_30x_pos_080921_093,[Height] GSM_07_30x_pos_080921_089,[Height] GSM_08_30x_pos_080921_083,[Height] GSM_09_30x_pos_080921_081,[Height] GSM_10_30x_pos_080921_084,[Height] GSM_11_30x_pos_080921_090,[Height] GSM_12_30x_pos_080921_096,[Height] PB_30x_pos_080921_095,[Score (MFE)] GSM_01_30x_pos_080921_088,[Score (MFE)] GSM_02_30x_pos_080921_082,[Score (MFE)] GSM_03_30x_pos_080921_094,[Score (MFE)] GSM_04_30x_pos_080921_087,[Score (MFE)] GSM_05_30x_pos_080921_099,[Score (MFE)] GSM_06_30x_pos_080921_093,[Score (MFE)] GSM_07_30x_pos_080921_089,[Score (MFE)] GSM_08_30x_pos_080921_083,[Score (MFE)] GSM_09_30x_pos_080921_081,[Score (MFE)] GSM_10_30x_pos_080921_084,[Score (MFE)] GSM_11_30x_pos_080921_090,[Score (MFE)] GSM_12_30x_pos_080921_096,[Score (MFE)] PB_30x_pos_080921_095,[Score (Tgt)] GSM_01_30x_pos_080921_088,[Score (Tgt)] GSM_02_30x_pos_080921_082,[Score (Tgt)] GSM_03_30x_pos_080921_094,[Score (Tgt)] GSM_04_30x_pos_080921_087,[Score (Tgt)] GSM_05_30x_pos_080921_099,[Score (Tgt)] GSM_06_30x_pos_080921_093,[Score (Tgt)] GSM_07_30x_pos_080921_089,[Score (Tgt)] GSM_08_30x_pos_080921_083,[Score (Tgt)] GSM_09_30x_pos_080921_081,[Score (Tgt)] GSM_10_30x_pos_080921_084,[Score (Tgt)] GSM_11_30x_pos_080921_090,[Score (Tgt)] GSM_12_30x_pos_080921_096,[Score (Tgt)] PB_30x_pos_080921_095,[Ions] GSM_01_30x_pos_080921_088,[Ions] GSM_02_30x_pos_080921_082,[Ions] GSM_03_30x_pos_080921_094,[Ions] GSM_04_30x_pos_080921_087,[Ions] GSM_05_30x_pos_080921_099,[Ions] GSM_06_30x_pos_080921_093,[Ions] GSM_07_30x_pos_080921_089,[Ions] GSM_08_30x_pos_080921_083,[Ions] GSM_09_30x_pos_080921_081,[Ions] GSM_10_30x_pos_080921_084,[Ions] GSM_11_30x_pos_080921_090,[Ions] GSM_12_30x_pos_080921_096,[Ions] PB_30x_pos_080921_095,
PC 16:0_22:6,C46 H80 N O8 P,805.5633,0.50,0,7.17,0.042,14827655,13,0,99.6,2.8,8,17,805.5634,805.5631,805.5637,805.5626,805.5635,805.5629,805.5632,805.5642,805.5633,805.5634,805.5630,805.5634,805.5631,7.170,7.171,7.177,7.174,7.173,7.171,7.172,7.170,7.177,7.175,7.167,7.173,7.134,16538545,13708937,16047064,15220235,16558332,16653118,16939505,17510758,16363316,17745087,13860530,15606289,7801,,,,,,,,,,,,,,99.15,99.62,98.77,99.46,98.71,99.42,99.50,97.98,98.94,98.86,99.42,98.93,89.28,15,16,15,17,13,15,14,16,15,16,15,14,8,
TG 16:0_18:1_18:2,C55 H100 O6,856.7530,0.40,0,14.08,0.031,6658039,13,0,99.7,0.5,15,20,856.7531,856.7528,856.7525,856.7530,856.7531,856.7529,856.7524,856.7531,856.7535,856.7535,856.7528,856.7532,856.7525,14.076,14.077,14.086,14.076,14.076,14.076,14.076,14.075,14.077,14.089,14.076,14.076,14.059,4253579,7039673,16760165,5105134,8601229,1662926,1172553,3386267,12040775,16959991,2565455,6985170,21592,,,,,,,,,,,,,,99.44,99.49,99.41,99.48,99.46,99.51,99.63,99.53,98.81,98.40,99.69,99.47,98.18,20,18,19,16,18,18,19,18,19,18,17,19,15,
TG 16:0_18:1_18:1,C55 H102 O6,858.7685,0.41,0,14.35,0.013,5775653,13,0,99.8,0.9,15,21,858.7687,858.7684,858.7689,858.7683,858.7693,858.7683,858.7683,858.7684,858.7687,858.7683,858.7685,858.7687,858.7679,14.350,14.350,14.347,14.349,14.348,14.347,14.348,14.346,14.350,14.349,14.350,14.349,14.338,3904879,6350691,13661826,4496884,6758588,1847114,1381214,3906013,10904865,12800214,2416512,6560035,94663,,,,,,,,,,,,,,99.43,99.68,99.28,99.83,98.72,99.68,99.51,99.63,99.54,99.71,99.62,99.60,96.55,21,19,15,17,21,18,17,17,16,17,19,18,16,
TG 18:1_18:1_18:2,C57 H102 O6,882.7685,0.44,0,14.06,0.018,5073346,13,0,99.7,2.2,11,21,882.7686,882.7684,882.7688,882.7685,882.7685,882.7683,882.7680,882.7684,882.7686,882.7690,882.7681,882.7691,882.7678,14.062,14.060,14.048,14.061,14.059,14.063,14.060,14.064,14.051,14.045,14.062,14.060,14.048,2814075,4528134,12764972,3178524,6713699,967301,874036,2022648,12031669,12514178,1727436,5797885,18946,,,,,,,,,,,,,,99.40,99.44,99.09,99.71,99.57,99.44,99.62,99.38,99.55,98.86,99.65,98.94,91.59,19,18,19,18,19,19,21,18,20,17,18,16,11,
PC 16:0_20:4,C44 H80 N O8 P,781.5631,0.69,0,7.46,0.045,6310739,13,0,99.7,4.6,10,15,781.5628,781.5636,781.5636,781.5626,781.5633,781.5636,781.5632,781.5639,781.5635,781.5628,781.5627,781.5633,781.5620,7.461,7.461,7.462,7.459,7.463,7.462,7.463,7.462,7.462,7.460,7.462,7.461,7.419,9175205,6083626,5919601,6556045,5525401,7310714,6741978,7462390,7083258,7951210,5312122,6913166,4898,,,,,,,,,,,,,,99.65,98.16,98.25,99.74,99.00,98.31,99.14,97.32,98.50,99.48,99.62,98.86,82.78,12,14,15,12,14,15,12,11,12,14,13,15,10,
TG 18:1_18:2_18:2,C57 H100 O6,880.7527,0.41,0,13.59,0.029,4974531,13,0,99.8,2.9,14,21,880.7526,880.7529,880.7531,880.7525,880.7528,880.7525,880.7525,880.7523,880.7528,880.7532,880.7525,880.7532,880.7520,13.593,13.594,13.598,13.593,13.591,13.593,13.594,13.592,13.591,13.596,13.593,13.593,13.569,2420915,3919647,14330826,2639830,6488002,788147,720908,1511429,11814098,13988373,1426744,4604654,15331,,,,,,,,,,,,,,99.59,99.52,99.06,99.77,99.57,99.49,99.37,99.74,99.63,99.06,99.61,99.25,89.16,18,19,17,20,18,17,21,18,17,18,17,19,14,
TG 16:0_18:2_18:2,C55 H98 O6,854.7371,0.37,0,13.60,0.032,4591070,13,0,99.6,1.3,14,20,854.7371,854.7373,854.7368,854.7370,854.7372,854.7369,854.7370,854.7368,854.7375,854.7374,854.7370,854.7374,854.7363,13.602,13.594,13.626,13.600,13.605,13.593,13.599,13.603,13.613,13.624,13.606,13.599,13.602,2147718,3814754,14192775,2507874,5077726,812736,596468,1443523,9080320,14768029,1281394,3946614,13979,,,,,,,,,,,,,,99.47,99.55,97.22,99.27,99.29,99.47,99.39,99.55,98.15,97.32,98.89,99.46,95.57,19,18,18,17,19,20,17,19,19,17,18,17,14,
PC 16:0_18:2,C42 H80 N O8 P,757.5632,0.29,0,7.65,0.054,5396131,13,0,99.5,5.2,6,15,757.5633,757.5633,757.5633,757.5628,757.5632,757.5631,757.5635,757.5630,757.5634,757.5631,757.5630,757.5631,757.5636,7.645,7.646,7.647,7.644,7.646,7.647,7.646,7.647,7.646,7.646,7.646,7.647,7.697,6759775,5266402,4180200,5792935,5601943,5671904,5047130,5782272,7579135,8368858,4322241,5766929,9983,,,,,,,,,,,,,,98.60,98.57,98.55,99.45,98.87,98.96,98.14,99.03,98.30,98.92,99.10,98.99,80.44,11,14,13,14,12,14,13,13,12,13,14,15,6,
TG 18:1_18:1_18:1,C57 H104 O6,884.7840,0.36,0,14.34,0.013,4266670,13,0,99.8,3.0,13,20,884.7841,884.7844,884.7840,884.7840,884.7843,884.7838,884.7837,884.7837,884.7842,884.7841,884.7839,884.7842,884.7831,14.342,14.344,14.341,14.344,14.344,14.342,14.342,14.345,14.343,14.343,14.344,14.343,14.332,2634547,3801001,10879547,2919760,5259488,1032332,962368,2255626,9961849,9173881,1617155,4894529,74638,,,,,,,,,,,,,,99.76,99.41,99.42,99.65,99.64,99.48,99.63,99.75,99.50,99.54,99.39,99.73,88.80,20,19,14,19,18,18,20,19,17,16,18,17,13,
PC 16:0_18:1,C42 H82 N O8 P,759.5788,0.24,0,8.38,0.008,5310559,12,1,99.7,0.2,11,16,759.5789,759.5787,759.5787,759.5787,759.5787,759.5787,759.5789,759.5791,759.5790,759.5785,759.5789,759.5789,,8.378,8.383,8.378,8.381,8.379,8.380,8.386,8.379,8.384,8.379,8.380,8.383,,6284669,4562762,4641064,5015650,4951119,5484551,5718752,5548228,5615372,6528812,3888628,5487109,,,,,,,,,,,,,,,99.10,99.65,99.70,99.59,99.61,99.51,99.26,99.05,99.34,99.70,99.16,99.36,,11,13,13,14,13,16,15,16,16,16,16,14,,
