"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Liver_01_45x_pos_080921_064,[Mass] Liver_02_45x_pos_080921_063,[Mass] Liver_03_45x_pos_080921_059,[Mass] Liver_04_45x_pos_080921_058,[Mass] Liver_05_45x_pos_080921_068,[Mass] Liver_06_45x_pos_080921_051,[Mass] Liver_07_45x_pos_080921_052,[Mass] Liver_08_45x_pos_080921_050,[Mass] Liver_09_45x_pos_080921_065,[Mass] Liver_10_45x_pos_080921_057,[Mass] Liver_11_45x_pos_080921_056,[Mass] Liver_12_45x_pos_080921_062,[Mass] PB_45x_pos_080921_053,[RT] Liver_01_45x_pos_080921_064,[RT] Liver_02_45x_pos_080921_063,[RT] Liver_03_45x_pos_080921_059,[RT] Liver_04_45x_pos_080921_058,[RT] Liver_05_45x_pos_080921_068,[RT] Liver_06_45x_pos_080921_051,[RT] Liver_07_45x_pos_080921_052,[RT] Liver_08_45x_pos_080921_050,[RT] Liver_09_45x_pos_080921_065,[RT] Liver_10_45x_pos_080921_057,[RT] Liver_11_45x_pos_080921_056,[RT] Liver_12_45x_pos_080921_062,[RT] PB_45x_pos_080921_053,[Height] Liver_01_45x_pos_080921_064,[Height] Liver_02_45x_pos_080921_063,[Height] Liver_03_45x_pos_080921_059,[Height] Liver_04_45x_pos_080921_058,[Height] Liver_05_45x_pos_080921_068,[Height] Liver_06_45x_pos_080921_051,[Height] Liver_07_45x_pos_080921_052,[Height] Liver_08_45x_pos_080921_050,[Height] Liver_09_45x_pos_080921_065,[Height] Liver_10_45x_pos_080921_057,[Height] Liver_11_45x_pos_080921_056,[Height] Liver_12_45x_pos_080921_062,[Height] PB_45x_pos_080921_053,[Score (MFE)] Liver_01_45x_pos_080921_064,[Score (MFE)] Liver_02_45x_pos_080921_063,[Score (MFE)] Liver_03_45x_pos_080921_059,[Score (MFE)] Liver_04_45x_pos_080921_058,[Score (MFE)] Liver_05_45x_pos_080921_068,[Score (MFE)] Liver_06_45x_pos_080921_051,[Score (MFE)] Liver_07_45x_pos_080921_052,[Score (MFE)] Liver_08_45x_pos_080921_050,[Score (MFE)] Liver_09_45x_pos_080921_065,[Score (MFE)] Liver_10_45x_pos_080921_057,[Score (MFE)] Liver_11_45x_pos_080921_056,[Score (MFE)] Liver_12_45x_pos_080921_062,[Score (MFE)] PB_45x_pos_080921_053,[Score (Tgt)] Liver_01_45x_pos_080921_064,[Score (Tgt)] Liver_02_45x_pos_080921_063,[Score (Tgt)] Liver_03_45x_pos_080921_059,[Score (Tgt)] Liver_04_45x_pos_080921_058,[Score (Tgt)] Liver_05_45x_pos_080921_068,[Score (Tgt)] Liver_06_45x_pos_080921_051,[Score (Tgt)] Liver_07_45x_pos_080921_052,[Score (Tgt)] Liver_08_45x_pos_080921_050,[Score (Tgt)] Liver_09_45x_pos_080921_065,[Score (Tgt)] Liver_10_45x_pos_080921_057,[Score (Tgt)] Liver_11_45x_pos_080921_056,[Score (Tgt)] Liver_12_45x_pos_080921_062,[Score (Tgt)] PB_45x_pos_080921_053,[Ions] Liver_01_45x_pos_080921_064,[Ions] Liver_02_45x_pos_080921_063,[Ions] Liver_03_45x_pos_080921_059,[Ions] Liver_04_45x_pos_080921_058,[Ions] Liver_05_45x_pos_080921_068,[Ions] Liver_06_45x_pos_080921_051,[Ions] Liver_07_45x_pos_080921_052,[Ions] Liver_08_45x_pos_080921_050,[Ions] Liver_09_45x_pos_080921_065,[Ions] Liver_10_45x_pos_080921_057,[Ions] Liver_11_45x_pos_080921_056,[Ions] Liver_12_45x_pos_080921_062,[Ions] PB_45x_pos_080921_053,
PC 16:0_18:2,C42 H80 N O8 P,757.5628,0.50,0,7.65,0.070,17826209,13,0,99.6,3.0,7,16,757.5624,757.5631,757.5632,757.5623,757.5627,757.5621,757.5632,757.5625,757.5626,757.5629,757.5631,757.5631,757.5629,7.669,7.648,7.662,7.670,7.619,7.628,7.645,7.651,7.655,7.638,7.630,7.669,7.600,19473683,18951750,19462082,19560177,19295976,19268536,19380022,19462072,19245505,19431785,19064780,19138424,5931,,,,,,,,,,,,,,98.38,99.06,98.17,98.22,97.98,99.25,98.87,99.62,99.40,99.22,98.64,97.57,88.42,12,11,13,16,7,11,10,11,14,13,14,14,10,
PC 16:0_22:6,C46 H80 N O8 P,805.5631,0.52,0,7.16,0.039,16602957,13,0,99.5,8.6,6,19,805.5627,805.5633,805.5636,805.5637,805.5626,805.5635,805.5636,805.5628,805.5632,805.5629,805.5628,805.5625,805.5630,7.164,7.169,7.169,7.154,7.160,7.163,7.164,7.164,7.169,7.167,7.165,7.165,7.130,18851480,13727904,18777457,18619295,18950931,17525285,18746767,19214384,17209754,18770637,18376741,17055548,12262,,,,,,,,,,,,,,98.87,99.11,98.26,98.14,99.25,99.00,98.56,99.11,98.70,98.92,99.43,99.53,68.88,16,17,16,14,16,17,16,17,19,17,17,16,6,
TG 16:0_18:1_18:2,C55 H100 O6,856.7525,0.55,0,14.08,0.013,17631790,13,0,99.9,0.9,13,22,856.7524,856.7523,856.7519,856.7521,856.7523,856.7536,856.7528,856.7529,856.7526,856.7530,856.7526,856.7526,856.7520,14.079,14.076,14.074,14.076,14.081,14.076,14.083,14.080,14.080,14.070,14.072,14.072,14.074,20003092,19638216,19938866,19342397,18683584,17701648,19257272,18856953,18165675,19596350,18987146,19005385,36689,,,,,,,,,,,,,,99.78,99.73,99.65,99.83,99.71,98.55,99.53,99.40,99.70,99.41,99.64,99.90,96.66,19,17,18,22,19,17,18,19,19,17,20,14,13,
PC 18:0_18:2,C44 H84 N O8 P,785.5945,1.33,0,8.60,0.017,17358544,13,0,99.6,5.7,6,15,785.5938,785.5942,785.5942,785.5939,785.5941,785.5945,785.5938,785.5938,785.5950,785.5947,785.5944,785.5939,785.5977,8.599,8.594,8.598,8.595,8.599,8.596,8.597,8.597,8.600,8.594,8.593,8.593,8.583,17816477,16158328,18261741,18523148,20810997,17013192,20024415,19405580,18981327,19925936,18987150,19746275,6516,,,,,,,,,,,,,,99.37,99.29,99.10,99.49,99.14,98.65,99.48,99.45,97.82,98.30,99.02,99.55,79.07,15,14,12,15,15,12,11,14,13,13,14,13,6,
TG 16:0_18:2_18:2,C55 H98 O6,854.7371,0.46,0,13.61,0.019,16925031,13,0,99.9,2.7,11,20,854.7370,854.7372,854.7373,854.7375,854.7363,854.7373,854.7376,854.7368,854.7367,854.7369,854.7375,854.7374,854.7366,13.607,13.604,13.602,13.610,13.607,13.609,13.611,13.612,13.602,13.615,13.611,13.605,13.595,19140409,18641940,19178313,18169045,18655107,17414597,18109489,18467370,16655769,19166461,18121104,18283622,22182,,,,,,,,,,,,,,99.79,99.72,99.49,99.39,99.90,99.45,99.25,99.75,99.92,99.68,99.41,99.43,90.01,17,16,17,16,20,15,18,18,17,18,17,18,11,
PC 16:0_20:4,C44 H80 N O8 P,781.5629,0.71,0,7.45,0.069,14509276,13,0,99.8,5.9,9,18,781.5628,781.5628,781.5636,781.5635,781.5626,781.5623,781.5625,781.5628,781.5633,781.5640,781.5630,781.5630,781.5620,7.456,7.457,7.449,7.451,7.452,7.454,7.455,7.454,7.454,7.453,7.457,7.451,7.388,17696594,10719640,17291489,17555124,16688817,15475710,16064507,17016807,14521604,16636605,15405903,13541822,5969,,,,,,,,,,,,,,99.45,99.41,97.70,98.19,99.34,99.81,99.66,99.28,98.63,97.04,99.13,99.05,78.53,16,15,16,14,13,15,15,16,17,18,15,18,9,
PC 16:0_18:1,C42 H82 N O8 P,759.5784,0.66,0,8.42,0.036,10745187,13,0,99.9,5.5,4,16,759.5788,759.5785,759.5779,759.5789,759.5783,759.5788,759.5778,759.5784,759.5783,759.5788,759.5791,759.5783,759.5773,8.417,8.415,8.416,8.416,8.420,8.417,8.419,8.423,8.415,8.422,8.420,8.420,8.388,11930874,7585577,11980216,13314416,11332525,9487494,13244192,11070352,12261373,13410586,13957458,10099348,13029,,,,,,,,,,,,,,99.02,99.55,99.87,99.35,99.66,98.97,99.83,99.46,99.72,98.94,98.91,99.60,80.19,16,15,14,13,13,13,15,13,16,14,16,15,4,
PC 18:0_20:4,C46 H84 N O8 P,809.5944,0.47,0,8.39,0.013,9426757,13,0,99.8,1.7,8,18,809.5943,809.5942,809.5937,809.5942,809.5942,809.5946,809.5941,809.5945,809.5943,809.5943,809.5946,809.5944,809.5954,8.393,8.394,8.391,8.390,8.389,8.395,8.389,8.395,8.388,8.388,8.390,8.392,8.382,10336359,7510129,10473356,9031135,11737434,10095116,10945709,11854365,9811044,10569183,9799070,10381168,3780,,,,,,,,,,,,,,99.32,99.52,99.81,99.41,99.31,99.00,99.47,99.07,99.47,99.18,99.00,99.43,93.47,13,16,16,14,17,11,16,14,18,15,17,16,8,
TG 16:0_18:1_18:1,C55 H102 O6,858.7683,0.41,0,14.35,0.014,12393011,13,0,99.9,0.3,16,21,858.7686,858.7679,858.7681,858.7689,858.7686,858.7685,858.7682,858.7683,858.7685,858.7682,858.7682,858.7684,858.7675,14.349,14.349,14.350,14.348,14.348,14.347,14.349,14.349,14.346,14.350,14.349,14.350,14.336,16051612,13345517,15797640,14573907,11596928,10601334,13804899,13040957,12050003,14563473,13105767,12454449,122667,,,,,,,,,,,,,,99.55,99.84,99.64,99.08,99.56,99.45,99.55,99.61,99.59,99.68,99.86,99.67,98.56,18,19,18,17,19,16,21,16,20,18,19,18,16,
PC 18:0_22:6,C48 H84 N O8 P,833.5938,0.43,0,8.10,0.051,9059872,13,0,99.9,6.7,7,20,833.5939,833.5944,833.5941,833.5936,833.5931,833.5937,833.5940,833.5939,833.5934,833.5938,833.5939,833.5938,833.5943,8.098,8.101,8.097,8.097,8.097,8.098,8.099,8.099,8.097,8.097,8.099,8.099,8.148,8391880,6557773,9260060,7822321,11937300,7919726,11937687,10580748,10266313,11396651,10918761,10776009,13118,,,,,,,,,,,,,,99.79,99.47,99.64,99.79,99.77,99.76,99.77,99.67,99.90,99.77,99.69,99.77,75.97,20,16,17,16,17,18,19,16,20,20,19,17,7,
