"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] PB_20x_pos_080921_037,[Mass] Plasma_01_20x_pos_080921_20,[Mass] Plasma_02_20x_pos_080921_22,[Mass] Plasma_03_20x_pos_080921_031,[Mass] Plasma_04_20x_pos_080921_025,[Mass] Plasma_05_20x_pos_080921_032,[Mass] Plasma_06_20x_pos_080921_028,[Mass] Plasma_07_20x_pos_080921_19,[Mass] Plasma_08_20x_pos_080921_033,[Mass] Plasma_09_20x_pos_080921_026,[Mass] Plasma_10_20x_pos_080921_21,[Mass] Plasma_11_20x_pos_080921_027,[Mass] Plasma_12_20x_pos_080921_034,[RT] PB_20x_pos_080921_037,[RT] Plasma_01_20x_pos_080921_20,[RT] Plasma_02_20x_pos_080921_22,[RT] Plasma_03_20x_pos_080921_031,[RT] Plasma_04_20x_pos_080921_025,[RT] Plasma_05_20x_pos_080921_032,[RT] Plasma_06_20x_pos_080921_028,[RT] Plasma_07_20x_pos_080921_19,[RT] Plasma_08_20x_pos_080921_033,[RT] Plasma_09_20x_pos_080921_026,[RT] Plasma_10_20x_pos_080921_21,[RT] Plasma_11_20x_pos_080921_027,[RT] Plasma_12_20x_pos_080921_034,[Height] PB_20x_pos_080921_037,[Height] Plasma_01_20x_pos_080921_20,[Height] Plasma_02_20x_pos_080921_22,[Height] Plasma_03_20x_pos_080921_031,[Height] Plasma_04_20x_pos_080921_025,[Height] Plasma_05_20x_pos_080921_032,[Height] Plasma_06_20x_pos_080921_028,[Height] Plasma_07_20x_pos_080921_19,[Height] Plasma_08_20x_pos_080921_033,[Height] Plasma_09_20x_pos_080921_026,[Height] Plasma_10_20x_pos_080921_21,[Height] Plasma_11_20x_pos_080921_027,[Height] Plasma_12_20x_pos_080921_034,[Score (MFE)] PB_20x_pos_080921_037,[Score (MFE)] Plasma_01_20x_pos_080921_20,[Score (MFE)] Plasma_02_20x_pos_080921_22,[Score (MFE)] Plasma_03_20x_pos_080921_031,[Score (MFE)] Plasma_04_20x_pos_080921_025,[Score (MFE)] Plasma_05_20x_pos_080921_032,[Score (MFE)] Plasma_06_20x_pos_080921_028,[Score (MFE)] Plasma_07_20x_pos_080921_19,[Score (MFE)] Plasma_08_20x_pos_080921_033,[Score (MFE)] Plasma_09_20x_pos_080921_026,[Score (MFE)] Plasma_10_20x_pos_080921_21,[Score (MFE)] Plasma_11_20x_pos_080921_027,[Score (MFE)] Plasma_12_20x_pos_080921_034,[Score (Tgt)] PB_20x_pos_080921_037,[Score (Tgt)] Plasma_01_20x_pos_080921_20,[Score (Tgt)] Plasma_02_20x_pos_080921_22,[Score (Tgt)] Plasma_03_20x_pos_080921_031,[Score (Tgt)] Plasma_04_20x_pos_080921_025,[Score (Tgt)] Plasma_05_20x_pos_080921_032,[Score (Tgt)] Plasma_06_20x_pos_080921_028,[Score (Tgt)] Plasma_07_20x_pos_080921_19,[Score (Tgt)] Plasma_08_20x_pos_080921_033,[Score (Tgt)] Plasma_09_20x_pos_080921_026,[Score (Tgt)] Plasma_10_20x_pos_080921_21,[Score (Tgt)] Plasma_11_20x_pos_080921_027,[Score (Tgt)] Plasma_12_20x_pos_080921_034,[Ions] PB_20x_pos_080921_037,[Ions] Plasma_01_20x_pos_080921_20,[Ions] Plasma_02_20x_pos_080921_22,[Ions] Plasma_03_20x_pos_080921_031,[Ions] Plasma_04_20x_pos_080921_025,[Ions] Plasma_05_20x_pos_080921_032,[Ions] Plasma_06_20x_pos_080921_028,[Ions] Plasma_07_20x_pos_080921_19,[Ions] Plasma_08_20x_pos_080921_033,[Ions] Plasma_09_20x_pos_080921_026,[Ions] Plasma_10_20x_pos_080921_21,[Ions] Plasma_11_20x_pos_080921_027,[Ions] Plasma_12_20x_pos_080921_034,
PC 16:0_18:2,C42 H80 N O8 P,757.5630,0.51,0,7.64,0.039,17118429,13,0,99.8,9.4,4,15,757.5629,757.5638,757.5627,757.5625,757.5633,757.5629,757.5632,757.5632,757.5634,757.5627,757.5631,757.5624,757.5631,7.673,7.645,7.638,7.649,7.635,7.641,7.644,7.641,7.645,7.638,7.639,7.645,7.643,13050,16282240,19575400,18242510,19853569,18854656,17151575,19577782,16400291,19265217,19524400,19379942,18418952,,,,,,,,,,,,,,66.32,97.70,99.39,99.77,98.58,99.40,98.95,98.82,98.44,99.44,98.99,99.72,98.95,4,12,15,12,15,14,14,14,13,12,13,13,12,
PC 18:0_18:2,C44 H84 N O8 P,785.5942,0.63,0,8.58,0.009,12391793,13,0,99.9,5.9,6,14,785.5950,785.5940,785.5947,785.5934,785.5937,785.5944,785.5938,785.5946,785.5945,785.5938,785.5943,785.5943,785.5935,8.575,8.583,8.581,8.582,8.581,8.583,8.583,8.583,8.583,8.581,8.582,8.582,8.582,6207,9527188,16496617,11881676,15799514,14148282,10690288,14478167,10348740,14713527,15521712,13637705,13843689,,,,,,,,,,,,,,78.67,99.67,98.57,99.89,99.84,99.15,99.77,98.73,99.00,99.70,99.23,99.32,99.88,6,11,14,11,12,11,13,13,11,12,14,13,13,
PC 16:0_22:6,C46 H80 N O8 P,805.5629,0.64,0,7.17,0.025,10603869,13,0,99.8,1.3,6,20,805.5624,805.5626,805.5625,805.5628,805.5638,805.5620,805.5629,805.5631,805.5630,805.5638,805.5626,805.5629,805.5626,7.144,7.168,7.168,7.170,7.168,7.167,7.169,7.167,7.169,7.169,7.169,7.168,7.169,11776,10111961,12056650,11602052,15289690,10897582,10233232,12255243,8710630,11201109,13955799,11667985,9856594,,,,,,,,,,,,,,95.30,99.85,99.72,99.44,97.62,99.81,99.30,99.48,99.34,98.22,99.69,99.34,99.70,6,13,16,20,13,16,17,18,16,15,18,15,16,
PC 16:0_20:4,C44 H80 N O8 P,781.5627,1.14,0,7.46,0.060,8382669,13,0,99.8,10.2,10,18,781.5599,781.5628,781.5629,781.5631,781.5622,781.5629,781.5632,781.5630,781.5632,781.5633,781.5630,781.5630,781.5628,7.401,7.460,7.459,7.460,7.459,7.457,7.460,7.460,7.461,7.460,7.460,7.456,7.459,6747,7993634,8567611,9139673,13335326,7930712,7854248,9862236,7646021,8796795,11193369,9526199,7122131,,,,,,,,,,,,,,63.78,99.62,99.49,99.27,99.82,99.50,99.03,99.32,98.99,98.94,99.34,99.23,99.66,10,13,14,16,14,17,18,15,15,13,15,15,14,
PC 16:0_18:1,C42 H82 N O8 P,759.5786,0.35,0,8.41,0.007,7590091,12,1,99.8,0.3,12,16,,759.5790,759.5781,759.5785,759.5788,759.5788,759.5785,759.5784,759.5784,759.5785,759.5789,759.5786,759.5788,,8.412,8.413,8.414,8.410,8.410,8.413,8.417,8.413,8.413,8.413,8.415,8.413,,5684970,8029336,6804230,10665589,6722811,5353426,9287308,4581537,8437216,9939264,9791107,5784303,,,,,,,,,,,,,,,98.89,99.81,99.74,99.34,99.23,99.66,99.72,99.66,99.57,99.30,99.48,99.48,,12,12,14,15,14,14,15,16,14,16,16,12,
LPC 16:0/0:0,C24 H50 N O7 P,495.3331,0.40,0,2.43,0.005,3825220,12,1,99.7,0.4,11,16,,495.3332,495.3331,495.3330,495.3329,495.3332,495.3336,495.3332,495.3331,495.3333,495.3330,495.3328,495.3331,,2.433,2.434,2.433,2.437,2.438,2.434,2.435,2.434,2.438,2.435,2.435,2.434,,2469378,4411091,3515308,6247068,4034547,3141441,4512162,2492255,3556972,4947204,4005493,2569725,,,,,,,,,,,,,,,99.43,99.50,99.48,99.72,99.45,98.39,99.09,99.54,99.00,99.49,99.71,99.61,,15,14,16,16,13,11,13,13,15,14,14,14,
PC 18:0_20:4,C46 H84 N O8 P,809.5942,0.31,0,8.39,0.029,5631673,13,0,99.7,3.7,6,18,809.5938,809.5944,809.5943,809.5940,809.5940,809.5944,809.5940,809.5943,809.5939,809.5941,809.5944,809.5947,809.5942,8.369,8.396,8.396,8.395,8.393,8.396,8.397,8.395,8.398,8.391,8.392,8.394,8.397,2742,4770871,6652137,5487527,7759362,5858316,5039538,6512081,5182788,6280061,7285747,6050463,6330116,,,,,,,,,,,,,,86.23,99.34,99.33,99.69,99.67,99.20,99.64,99.35,99.73,99.48,99.11,98.67,99.46,6,16,15,16,14,15,18,16,13,15,17,17,13,
PC 18:0_22:6,C48 H84 N O8 P,833.5939,1.08,0,8.10,0.064,3966202,13,0,99.9,6.1,4,19,833.5911,833.5939,833.5942,833.5943,833.5942,833.5940,833.5941,833.5945,833.5940,833.5944,833.5938,833.5944,833.5947,8.158,8.096,8.097,8.096,8.096,8.097,8.099,8.093,8.099,8.097,8.096,8.096,8.095,14331,2470683,5623515,3271890,5078020,4339579,2786439,4992033,2427835,5258317,5573367,4853913,4870714,,,,,,,,,,,,,,77.99,99.82,99.65,99.64,99.62,99.72,99.62,99.46,99.92,99.51,99.82,99.49,99.39,4,17,16,18,16,18,19,16,18,16,19,19,19,
TG 16:0_18:2_18:2,C55 H98 O6,854.7370,0.49,0,13.60,0.016,4337017,13,0,99.9,2.3,13,19,854.7359,854.7368,854.7374,854.7369,854.7376,854.7370,854.7371,854.7369,854.7367,854.7370,854.7374,854.7371,854.7372,13.591,13.606,13.605,13.606,13.607,13.605,13.605,13.605,13.604,13.603,13.605,13.604,13.602,4665,4490506,5937945,6980142,11400919,4193693,3821636,3432007,1304666,4114101,5711007,2141406,2848532,,,,,,,,,,,,,,91.44,99.89,99.36,99.76,99.10,99.79,99.70,99.89,99.80,99.72,99.41,99.65,99.52,13,15,17,17,16,17,15,18,16,19,16,17,19,
TG 16:0_18:1_18:2,C55 H100 O6,856.7526,0.17,0,14.07,0.004,4811577,12,1,99.9,0.1,17,21,,856.7525,856.7526,856.7526,856.7524,856.7526,856.7524,856.7526,856.7526,856.7526,856.7528,856.7526,856.7529,,14.078,14.075,14.077,14.076,14.074,14.075,14.076,14.074,14.074,14.074,14.074,14.077,,4645507,5739660,6939327,11482752,3509599,3154720,4078574,1564262,4423963,6511884,2538651,3150036,,,,,,,,,,,,,,,99.80,99.72,99.84,99.83,99.77,99.87,99.76,99.67,99.80,99.55,99.66,99.46,,18,19,19,17,20,19,21,19,18,21,20,21,
