"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Heart_01_1x_neg_081521_083,[Mass] Heart_02_1x_neg_081521_096,[Mass] Heart_03_1x_neg_081521_082,[Mass] Heart_04_1x_neg_081521_089,[Mass] Heart_05_1x_neg_081521_090,[Mass] Heart_06_1x_neg_081521_093,[Mass] Heart_07_1x_neg_081521_095,[Mass] Heart_08_1x_neg_081521_087,[Mass] Heart_09_1x_neg_081521_094,[Mass] Heart_10_1x_neg_081521_084,[Mass] Heart_11_1x_neg_081521_081,[Mass] Heart_12_1x_neg_081521_088,[Mass] Heart_PB_1x_neg_081521_064,[RT] Heart_01_1x_neg_081521_083,[RT] Heart_02_1x_neg_081521_096,[RT] Heart_03_1x_neg_081521_082,[RT] Heart_04_1x_neg_081521_089,[RT] Heart_05_1x_neg_081521_090,[RT] Heart_06_1x_neg_081521_093,[RT] Heart_07_1x_neg_081521_095,[RT] Heart_08_1x_neg_081521_087,[RT] Heart_09_1x_neg_081521_094,[RT] Heart_10_1x_neg_081521_084,[RT] Heart_11_1x_neg_081521_081,[RT] Heart_12_1x_neg_081521_088,[RT] Heart_PB_1x_neg_081521_064,[Height] Heart_01_1x_neg_081521_083,[Height] Heart_02_1x_neg_081521_096,[Height] Heart_03_1x_neg_081521_082,[Height] Heart_04_1x_neg_081521_089,[Height] Heart_05_1x_neg_081521_090,[Height] Heart_06_1x_neg_081521_093,[Height] Heart_07_1x_neg_081521_095,[Height] Heart_08_1x_neg_081521_087,[Height] Heart_09_1x_neg_081521_094,[Height] Heart_10_1x_neg_081521_084,[Height] Heart_11_1x_neg_081521_081,[Height] Heart_12_1x_neg_081521_088,[Height] Heart_PB_1x_neg_081521_064,[Score (MFE)] Heart_01_1x_neg_081521_083,[Score (MFE)] Heart_02_1x_neg_081521_096,[Score (MFE)] Heart_03_1x_neg_081521_082,[Score (MFE)] Heart_04_1x_neg_081521_089,[Score (MFE)] Heart_05_1x_neg_081521_090,[Score (MFE)] Heart_06_1x_neg_081521_093,[Score (MFE)] Heart_07_1x_neg_081521_095,[Score (MFE)] Heart_08_1x_neg_081521_087,[Score (MFE)] Heart_09_1x_neg_081521_094,[Score (MFE)] Heart_10_1x_neg_081521_084,[Score (MFE)] Heart_11_1x_neg_081521_081,[Score (MFE)] Heart_12_1x_neg_081521_088,[Score (MFE)] Heart_PB_1x_neg_081521_064,[Score (Tgt)] Heart_01_1x_neg_081521_083,[Score (Tgt)] Heart_02_1x_neg_081521_096,[Score (Tgt)] Heart_03_1x_neg_081521_082,[Score (Tgt)] Heart_04_1x_neg_081521_089,[Score (Tgt)] Heart_05_1x_neg_081521_090,[Score (Tgt)] Heart_06_1x_neg_081521_093,[Score (Tgt)] Heart_07_1x_neg_081521_095,[Score (Tgt)] Heart_08_1x_neg_081521_087,[Score (Tgt)] Heart_09_1x_neg_081521_094,[Score (Tgt)] Heart_10_1x_neg_081521_084,[Score (Tgt)] Heart_11_1x_neg_081521_081,[Score (Tgt)] Heart_12_1x_neg_081521_088,[Score (Tgt)] Heart_PB_1x_neg_081521_064,[Ions] Heart_01_1x_neg_081521_083,[Ions] Heart_02_1x_neg_081521_096,[Ions] Heart_03_1x_neg_081521_082,[Ions] Heart_04_1x_neg_081521_089,[Ions] Heart_05_1x_neg_081521_090,[Ions] Heart_06_1x_neg_081521_093,[Ions] Heart_07_1x_neg_081521_095,[Ions] Heart_08_1x_neg_081521_087,[Ions] Heart_09_1x_neg_081521_094,[Ions] Heart_10_1x_neg_081521_084,[Ions] Heart_11_1x_neg_081521_081,[Ions] Heart_12_1x_neg_081521_088,[Ions] Heart_PB_1x_neg_081521_064,
PE 18:0_22:6,C45 H78 N O8 P,791.5472,0.38,0,8.24,0.092,8426943,13,0,99.9,5.6,4,20,791.5472,791.5470,791.5470,791.5472,791.5471,791.5474,791.5471,791.5473,791.5474,791.5467,791.5474,791.5474,791.5480,8.223,8.238,8.245,8.251,8.247,8.239,8.233,8.244,8.251,8.245,8.243,8.246,8.159,6847808,9537598,9295919,9457149,9798360,8334926,8737236,9589637,9769742,9658117,8776804,9744326,2640,,,,,,,,,,,,,,98.35,99.60,99.73,99.51,99.67,99.15,99.29,99.47,99.23,99.89,99.32,99.34,79.53,17,17,15,15,17,20,19,18,15,18,18,16,4,
PI 18:0_20:4,C47 H83 O13 P,886.5578,0.44,0,7.55,0.041,7866919,13,0,99.8,3.1,4,14,886.5580,886.5585,886.5577,886.5577,886.5578,886.5581,886.5573,886.5576,886.5577,886.5578,886.5570,886.5581,886.5578,7.543,7.547,7.560,7.556,7.549,7.555,7.549,7.558,7.549,7.554,7.551,7.553,7.584,5500446,8109707,8629784,9568002,8890930,8747336,6802421,8469329,9593452,9537977,9484837,8930142,5594,,,,,,,,,,,,,,99.39,98.52,98.91,99.24,99.57,98.97,99.85,99.20,99.59,99.32,99.74,99.03,88.50,8,10,14,12,11,14,10,12,9,7,12,11,4,
PC 16:0_22:6,C46 H80 N O8 P,805.5629,0.27,0,7.06,0.025,6512554,13,0,99.8,3.7,3,19,805.5630,805.5629,805.5631,805.5627,805.5627,805.5629,805.5627,805.5629,805.5627,805.5630,805.5629,805.5628,805.5635,7.068,7.064,7.064,7.065,7.064,7.064,7.069,7.062,7.063,7.063,7.066,7.068,7.087,5468040,7068866,7357218,7485508,7449947,6297705,6314710,7513595,7459231,7459782,7190379,7594674,3547,,,,,,,,,,,,,,99.43,99.60,99.33,99.79,99.74,99.56,99.74,99.62,99.72,99.48,99.54,99.61,86.30,18,15,16,17,15,14,17,18,17,19,15,17,3,
PC 18:0_22:6,C48 H84 N O8 P,833.5943,0.67,0,7.98,0.033,5940177,13,0,99.8,9.6,3,17,833.5941,833.5943,833.5942,833.5939,833.5943,833.5941,833.5942,833.5943,833.5941,833.5939,833.5942,833.5940,833.5961,7.983,7.981,7.990,7.986,7.983,7.984,7.989,7.982,7.984,7.989,7.986,7.982,8.014,4443281,6287589,6652497,7001334,6812482,6132207,5777765,6900516,6898866,6882873,6631078,6797773,4054,,,,,,,,,,,,,,99.60,99.31,99.54,99.77,99.38,99.59,99.58,99.35,99.60,99.78,99.56,99.67,65.94,14,17,15,13,14,14,14,16,15,15,15,16,3,
EtherPE 16:1e_22:6,C43 H74 N O7 P,747.5211,0.65,0,7.72,0.030,6318109,13,0,88.5,8.8,3,12,747.5208,747.5212,747.5209,747.5210,747.5211,747.5208,747.5210,747.5211,747.5210,747.5210,747.5207,747.5210,747.5226,7.699,7.709,7.718,7.721,7.710,7.716,7.707,7.714,7.722,7.720,7.715,7.715,7.729,4518846,6632715,7563441,7247252,6570899,7887351,5804668,6826152,7050041,7608216,7182797,7234445,8597,,,,,,,,,,,,,,74.22,88.49,85.70,67.38,88.54,82.50,83.84,76.89,72.80,81.61,75.15,83.46,69.88,8,9,12,8,9,9,8,8,8,10,7,8,3,
EtherPE 18:1e_22:6,C45 H78 N O7 P,775.5523,0.48,0,8.64,0.016,5643418,13,0,99.0,3.6,3,13,775.5523,775.5523,775.5525,775.5519,775.5523,775.5526,775.5518,775.5527,775.5528,775.5525,775.5526,775.5523,775.5516,8.629,8.634,8.642,8.645,8.642,8.640,8.633,8.643,8.644,8.643,8.639,8.639,8.645,3320317,5669967,6778053,7215489,6701173,5042971,4801534,6790076,7026953,6932815,6469322,6611784,3982,,,,,,,,,,,,,,98.97,94.49,92.65,91.05,91.35,96.40,97.53,92.39,88.06,90.26,90.72,95.61,89.03,11,12,8,10,9,11,13,9,11,9,10,12,3,
PE 16:0_22:6,C43 H74 N O8 P,763.5157,0.83,0,7.31,0.025,5012245,13,0,99.9,7.2,3,17,763.5159,763.5155,763.5160,763.5158,763.5158,763.5164,763.5158,763.5161,763.5163,763.5157,763.5159,763.5155,763.5138,7.297,7.304,7.309,7.310,7.309,7.305,7.303,7.307,7.309,7.308,7.306,7.307,7.322,3122260,4823798,5565069,6304203,5758897,4546013,4757864,5305621,6651247,6431837,5794238,6095253,2896,,,,,,,,,,,,,,99.48,99.87,99.25,99.43,99.59,98.96,99.65,99.28,98.82,99.68,99.49,99.85,74.07,13,15,17,14,17,17,14,11,14,14,17,16,3,
PS 18:0_22:6,C46 H78 N O10 P,835.5371,0.34,0,7.40,0.035,4817117,13,0,99.3,1.5,5,19,835.5369,835.5374,835.5373,835.5373,835.5368,835.5369,835.5372,835.5372,835.5374,835.5369,835.5370,835.5374,835.5364,7.386,7.395,7.398,7.405,7.402,7.393,7.392,7.402,7.407,7.407,7.395,7.403,7.372,2604477,4591267,5540246,5819090,5314102,6067082,4147265,5579133,5965818,5796412,5460761,5731287,5596,,,,,,,,,,,,,,99.29,98.76,98.74,98.55,99.27,98.92,99.09,98.65,98.37,98.76,98.94,98.28,93.73,17,17,16,16,15,17,17,14,19,16,15,18,5,
PE 18:0_20:4,C43 H78 N O8 P,767.5472,0.42,0,8.54,0.031,4498796,13,0,99.9,0.8,4,17,767.5474,767.5473,767.5474,767.5468,767.5470,767.5472,767.5468,767.5475,767.5473,767.5476,767.5473,767.5474,767.5465,8.522,8.526,8.536,8.538,8.536,8.536,8.528,8.540,8.542,8.541,8.536,8.534,8.511,2507296,4442057,5145759,5709958,5220391,5058484,3574060,5148328,5742833,5619830,5098258,5207759,9340,,,,,,,,,,,,,,99.10,99.33,99.17,99.75,99.66,99.50,99.85,98.94,99.05,98.58,99.39,99.30,96.58,13,16,16,16,11,16,15,17,17,13,16,16,4,
PE 18:1_22:6,C45 H76 N O8 P,789.5316,0.32,0,7.38,0.047,6011947,13,0,98.0,2.1,6,22,789.5314,789.5317,789.5316,789.5318,789.5310,789.5314,789.5315,789.5317,789.5319,789.5317,789.5316,789.5318,789.5312,7.370,7.375,7.384,7.389,7.381,7.380,7.377,7.387,7.391,7.390,7.383,7.380,7.344,3631298,5941718,6963915,7147196,6820610,7400850,5124612,6843529,7306811,6994751,6891761,7083047,5219,,,,,,,,,,,,,,98.04,96.99,95.57,94.60,96.36,96.46,96.85,94.92,93.71,94.33,95.81,95.95,89.87,17,18,22,17,16,19,15,19,18,19,18,16,6,
