"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Heart_01_20x_pos_081321_090,[Mass] Heart_02_20x_pos_081321_083,[Mass] Heart_03_20x_pos_081321_092,[Mass] Heart_04_20x_pos_081321_086,[Mass] Heart_05_20x_pos_081321_096,[Mass] Heart_06_20x_pos_081321_089,[Mass] Heart_07_20x_pos_081321_101,[Mass] Heart_08_20x_pos_081321_085,[Mass] Heart_09_20x_pos_081321_102,[Mass] Heart_10_20x_pos_081321_097,[Mass] Heart_11_20x_pos_081321_095,[Mass] Heart_12_20x_pos_081321_091,[Mass] PB_20x_pos_081321_084,[RT] Heart_01_20x_pos_081321_090,[RT] Heart_02_20x_pos_081321_083,[RT] Heart_03_20x_pos_081321_092,[RT] Heart_04_20x_pos_081321_086,[RT] Heart_05_20x_pos_081321_096,[RT] Heart_06_20x_pos_081321_089,[RT] Heart_07_20x_pos_081321_101,[RT] Heart_08_20x_pos_081321_085,[RT] Heart_09_20x_pos_081321_102,[RT] Heart_10_20x_pos_081321_097,[RT] Heart_11_20x_pos_081321_095,[RT] Heart_12_20x_pos_081321_091,[RT] PB_20x_pos_081321_084,[Height] Heart_01_20x_pos_081321_090,[Height] Heart_02_20x_pos_081321_083,[Height] Heart_03_20x_pos_081321_092,[Height] Heart_04_20x_pos_081321_086,[Height] Heart_05_20x_pos_081321_096,[Height] Heart_06_20x_pos_081321_089,[Height] Heart_07_20x_pos_081321_101,[Height] Heart_08_20x_pos_081321_085,[Height] Heart_09_20x_pos_081321_102,[Height] Heart_10_20x_pos_081321_097,[Height] Heart_11_20x_pos_081321_095,[Height] Heart_12_20x_pos_081321_091,[Height] PB_20x_pos_081321_084,[Score (MFE)] Heart_01_20x_pos_081321_090,[Score (MFE)] Heart_02_20x_pos_081321_083,[Score (MFE)] Heart_03_20x_pos_081321_092,[Score (MFE)] Heart_04_20x_pos_081321_086,[Score (MFE)] Heart_05_20x_pos_081321_096,[Score (MFE)] Heart_06_20x_pos_081321_089,[Score (MFE)] Heart_07_20x_pos_081321_101,[Score (MFE)] Heart_08_20x_pos_081321_085,[Score (MFE)] Heart_09_20x_pos_081321_102,[Score (MFE)] Heart_10_20x_pos_081321_097,[Score (MFE)] Heart_11_20x_pos_081321_095,[Score (MFE)] Heart_12_20x_pos_081321_091,[Score (MFE)] PB_20x_pos_081321_084,[Score (Tgt)] Heart_01_20x_pos_081321_090,[Score (Tgt)] Heart_02_20x_pos_081321_083,[Score (Tgt)] Heart_03_20x_pos_081321_092,[Score (Tgt)] Heart_04_20x_pos_081321_086,[Score (Tgt)] Heart_05_20x_pos_081321_096,[Score (Tgt)] Heart_06_20x_pos_081321_089,[Score (Tgt)] Heart_07_20x_pos_081321_101,[Score (Tgt)] Heart_08_20x_pos_081321_085,[Score (Tgt)] Heart_09_20x_pos_081321_102,[Score (Tgt)] Heart_10_20x_pos_081321_097,[Score (Tgt)] Heart_11_20x_pos_081321_095,[Score (Tgt)] Heart_12_20x_pos_081321_091,[Score (Tgt)] PB_20x_pos_081321_084,[Ions] Heart_01_20x_pos_081321_090,[Ions] Heart_02_20x_pos_081321_083,[Ions] Heart_03_20x_pos_081321_092,[Ions] Heart_04_20x_pos_081321_086,[Ions] Heart_05_20x_pos_081321_096,[Ions] Heart_06_20x_pos_081321_089,[Ions] Heart_07_20x_pos_081321_101,[Ions] Heart_08_20x_pos_081321_085,[Ions] Heart_09_20x_pos_081321_102,[Ions] Heart_10_20x_pos_081321_097,[Ions] Heart_11_20x_pos_081321_095,[Ions] Heart_12_20x_pos_081321_091,[Ions] PB_20x_pos_081321_084,
PC 18:0_22:6,C48 H84 N O8 P,833.5946,0.63,0,8.01,0.053,17661247,13,0,99.8,8.8,5,21,833.5953,833.5946,833.5949,833.5945,833.5945,833.5943,833.5944,833.5952,833.5949,833.5949,833.5947,833.5945,833.5932,8.008,8.013,8.010,7.999,8.003,8.010,8.010,8.013,8.001,8.007,8.004,8.003,8.052,14357826,19255226,19965189,19989797,20189076,18604595,17520902,19604677,20083984,20341489,19935705,19737104,10646,,,,,,,,,,,,,,98.72,99.78,99.00,99.04,99.35,99.54,99.41,97.59,98.52,99.05,99.42,99.04,68.38,15,17,18,18,17,18,17,19,17,21,18,18,5,
PC 16:0_22:6,C46 H80 N O8 P,805.5631,0.46,0,7.08,0.023,17652986,13,0,99.7,1.7,8,20,805.5635,805.5626,805.5637,805.5625,805.5628,805.5629,805.5627,805.5631,805.5635,805.5632,805.5634,805.5632,805.5632,7.085,7.082,7.073,7.070,7.077,7.085,7.084,7.093,7.093,7.071,7.090,7.078,7.083,16016775,19312694,19843802,19721322,20042799,17860903,17927833,19544422,19686222,20016791,19816395,19688188,10684,,,,,,,,,,,,,,99.03,99.66,98.76,99.61,99.74,99.45,99.57,98.77,98.12,99.29,98.69,99.66,93.28,16,17,20,17,17,14,15,17,16,16,14,19,8,
PC 16:0_20:4,C44 H80 N O8 P,781.5630,0.25,0,7.37,0.009,8592074,12,1,99.4,0.3,12,18,781.5632,781.5628,781.5631,781.5631,781.5630,781.5631,781.5629,781.5633,781.5626,781.5629,781.5632,781.5632,,7.375,7.369,7.370,7.366,7.370,7.369,7.371,7.368,7.366,7.370,7.370,7.368,,4072121,7827160,10146900,10943514,8935172,8223818,6338274,8993011,10131882,10186173,8946127,8360748,,,,,,,,,,,,,,,99.24,99.38,98.68,98.59,99.03,98.84,99.28,98.45,99.30,99.01,98.67,98.62,,15,18,13,17,15,12,15,16,15,13,17,17,,
PC 16:0_18:2,C42 H80 N O8 P,757.5632,0.65,0,7.56,0.041,7135670,13,0,99.6,5.1,6,14,757.5631,757.5632,757.5634,757.5629,757.5632,757.5632,757.5629,757.5629,757.5626,757.5631,757.5633,757.5627,757.5646,7.562,7.560,7.559,7.555,7.560,7.558,7.561,7.558,7.558,7.560,7.559,7.558,7.595,2830109,7632696,8350215,10276867,8407626,7202817,4950875,6803224,9768985,9683995,9219310,7624058,12936,,,,,,,,,,,,,,99.32,98.74,98.44,99.24,98.76,98.82,99.37,99.25,99.64,99.02,98.60,99.60,81.13,13,12,14,13,12,14,14,12,12,14,14,13,6,
PC 18:0_20:4,C46 H84 N O8 P,809.5944,0.50,0,8.28,0.049,9045911,13,0,98.4,3.1,7,17,809.5943,809.5949,809.5943,809.5948,809.5943,809.5945,809.5945,809.5937,809.5940,809.5944,809.5943,809.5938,809.5952,8.291,8.275,8.277,8.271,8.271,8.298,8.286,8.275,8.274,8.274,8.278,8.271,8.319,4475408,8609803,11873785,12130284,10507683,11347074,6949699,9854765,11384205,11383070,9639593,9436750,4734,,,,,,,,,,,,,,98.40,94.70,95.80,93.70,95.01,98.09,97.32,96.67,95.76,95.48,96.40,95.57,86.36,17,13,15,12,14,15,13,16,12,11,11,14,7,
PE 18:0_22:6,C45 H78 N O8 P,791.5474,0.36,0,8.25,0.039,7524090,12,1,99.4,1.4,17,21,791.5471,791.5478,791.5477,791.5474,791.5473,791.5472,791.5477,791.5471,791.5471,791.5473,791.5476,791.5469,,8.266,8.248,8.266,8.249,8.248,8.283,8.255,8.264,8.251,8.252,8.244,8.248,,2996753,6919244,8472208,9812524,8461488,6870154,5276157,7496127,9354119,9090508,7862847,7676950,,,,,,,,,,,,,,,97.67,98.63,97.21,98.92,99.39,94.50,98.08,97.83,99.22,98.95,98.94,99.31,,19,21,18,20,18,17,21,20,20,17,19,20,,
PC 16:0_18:1,C42 H82 N O8 P,759.5786,0.54,0,8.32,0.049,5507512,13,0,99.8,4.1,6,18,759.5786,759.5786,759.5788,759.5786,759.5788,759.5788,759.5789,759.5789,759.5789,759.5785,759.5789,759.5783,759.5774,8.311,8.315,8.321,8.316,8.315,8.323,8.318,8.314,8.324,8.321,8.319,8.315,8.275,2700561,5407070,6114039,7204339,6513976,7107111,4475252,4959139,7302250,7019882,7332232,5450316,11496,,,,,,,,,,,,,,99.24,99.64,99.47,99.77,99.54,99.41,99.53,99.51,99.45,99.42,99.60,99.78,85.12,13,15,18,17,18,16,16,17,17,17,16,16,6,
PC 18:2_22:6,C48 H80 N O8 P,829.5627,0.92,0,6.40,0.079,5989009,13,0,99.9,13.8,1,19,829.5626,829.5631,829.5631,829.5624,829.5628,829.5632,829.5630,829.5626,829.5636,829.5630,829.5628,829.5627,829.5604,6.399,6.398,6.397,6.398,6.397,6.398,6.398,6.397,6.397,6.397,6.397,6.397,6.319,2541316,5468296,8334574,9735287,7787360,3143494,3996301,6862528,8153928,7803262,7337614,6667540,25619,,,,,,,,,,,,,,99.83,99.65,99.77,99.82,99.60,99.41,99.85,99.76,99.21,99.59,99.87,99.64,51.76,17,19,17,19,13,14,19,16,16,17,14,17,1,
PC 18:0_18:2,C44 H84 N O8 P,785.5941,0.67,0,8.51,0.020,5828938,13,0,99.7,8.2,6,15,785.5939,785.5944,785.5937,785.5943,785.5941,785.5941,785.5946,785.5942,785.5944,785.5944,785.5945,785.5942,785.5926,8.506,8.510,8.506,8.499,8.505,8.504,8.511,8.509,8.508,8.507,8.506,8.505,8.492,1887465,5361812,7613897,9199404,7167278,7463300,3437489,4921456,8532442,7669302,6776309,5740654,5399,,,,,,,,,,,,,,99.68,98.91,99.72,99.25,99.50,99.53,98.43,99.27,98.95,98.98,98.91,99.33,70.46,13,14,14,14,13,12,11,11,15,13,13,12,6,
TG 18:1_18:2_18:2,C57 H100 O6,880.7526,0.40,0,13.50,0.022,4406768,13,0,99.9,7.5,9,21,880.7531,880.7527,880.7526,880.7531,880.7531,880.7527,880.7524,880.7524,880.7524,880.7528,880.7525,880.7528,880.7519,13.497,13.498,13.497,13.496,13.497,13.497,13.500,13.497,13.497,13.500,13.496,13.499,13.478,4750845,7263638,9947505,11045597,6529738,7530903,696585,3001639,1326387,2641548,1138912,1403015,11677,,,,,,,,,,,,,,99.28,99.75,99.89,99.48,99.48,99.83,99.80,99.80,99.86,99.60,99.67,99.05,73.17,21,20,19,18,18,20,21,20,19,19,21,20,9,
