"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Intestine_01_1x_neg_081521_22,[Mass] Intestine_02_1x_neg_081521_028,[Mass] Intestine_03_1x_neg_081521_20,[Mass] Intestine_04_1x_neg_081521_026,[Mass] Intestine_05_1x_neg_081521_025,[Mass] Intestine_06_1x_neg_081521_031,[Mass] Intestine_07_1x_neg_081521_033,[Mass] Intestine_08_1x_neg_081521_19,[Mass] Intestine_09_1x_neg_081521_034,[Mass] Intestine_10_1x_neg_081521_21,[Mass] Intestine_11_1x_neg_081521_032,[Mass] Intestine_12_1x_neg_081521_027,[Mass] Intestine_PB_1x_neg_081521_064,[RT] Intestine_01_1x_neg_081521_22,[RT] Intestine_02_1x_neg_081521_028,[RT] Intestine_03_1x_neg_081521_20,[RT] Intestine_04_1x_neg_081521_026,[RT] Intestine_05_1x_neg_081521_025,[RT] Intestine_06_1x_neg_081521_031,[RT] Intestine_07_1x_neg_081521_033,[RT] Intestine_08_1x_neg_081521_19,[RT] Intestine_09_1x_neg_081521_034,[RT] Intestine_10_1x_neg_081521_21,[RT] Intestine_11_1x_neg_081521_032,[RT] Intestine_12_1x_neg_081521_027,[RT] Intestine_PB_1x_neg_081521_064,[Height] Intestine_01_1x_neg_081521_22,[Height] Intestine_02_1x_neg_081521_028,[Height] Intestine_03_1x_neg_081521_20,[Height] Intestine_04_1x_neg_081521_026,[Height] Intestine_05_1x_neg_081521_025,[Height] Intestine_06_1x_neg_081521_031,[Height] Intestine_07_1x_neg_081521_033,[Height] Intestine_08_1x_neg_081521_19,[Height] Intestine_09_1x_neg_081521_034,[Height] Intestine_10_1x_neg_081521_21,[Height] Intestine_11_1x_neg_081521_032,[Height] Intestine_12_1x_neg_081521_027,[Height] Intestine_PB_1x_neg_081521_064,[Score (MFE)] Intestine_01_1x_neg_081521_22,[Score (MFE)] Intestine_02_1x_neg_081521_028,[Score (MFE)] Intestine_03_1x_neg_081521_20,[Score (MFE)] Intestine_04_1x_neg_081521_026,[Score (MFE)] Intestine_05_1x_neg_081521_025,[Score (MFE)] Intestine_06_1x_neg_081521_031,[Score (MFE)] Intestine_07_1x_neg_081521_033,[Score (MFE)] Intestine_08_1x_neg_081521_19,[Score (MFE)] Intestine_09_1x_neg_081521_034,[Score (MFE)] Intestine_10_1x_neg_081521_21,[Score (MFE)] Intestine_11_1x_neg_081521_032,[Score (MFE)] Intestine_12_1x_neg_081521_027,[Score (MFE)] Intestine_PB_1x_neg_081521_064,[Score (Tgt)] Intestine_01_1x_neg_081521_22,[Score (Tgt)] Intestine_02_1x_neg_081521_028,[Score (Tgt)] Intestine_03_1x_neg_081521_20,[Score (Tgt)] Intestine_04_1x_neg_081521_026,[Score (Tgt)] Intestine_05_1x_neg_081521_025,[Score (Tgt)] Intestine_06_1x_neg_081521_031,[Score (Tgt)] Intestine_07_1x_neg_081521_033,[Score (Tgt)] Intestine_08_1x_neg_081521_19,[Score (Tgt)] Intestine_09_1x_neg_081521_034,[Score (Tgt)] Intestine_10_1x_neg_081521_21,[Score (Tgt)] Intestine_11_1x_neg_081521_032,[Score (Tgt)] Intestine_12_1x_neg_081521_027,[Score (Tgt)] Intestine_PB_1x_neg_081521_064,[Ions] Intestine_01_1x_neg_081521_22,[Ions] Intestine_02_1x_neg_081521_028,[Ions] Intestine_03_1x_neg_081521_20,[Ions] Intestine_04_1x_neg_081521_026,[Ions] Intestine_05_1x_neg_081521_025,[Ions] Intestine_06_1x_neg_081521_031,[Ions] Intestine_07_1x_neg_081521_033,[Ions] Intestine_08_1x_neg_081521_19,[Ions] Intestine_09_1x_neg_081521_034,[Ions] Intestine_10_1x_neg_081521_21,[Ions] Intestine_11_1x_neg_081521_032,[Ions] Intestine_12_1x_neg_081521_027,[Ions] Intestine_PB_1x_neg_081521_064,
PI 16:0_18:2,C43 H79 O13 P,834.5268,1.13,0,6.88,0.037,11639903,13,0,99.8,15.0,4,18,834.5264,834.5273,834.5267,834.5263,834.5266,834.5265,834.5266,834.5262,834.5263,834.5267,834.5265,834.5263,834.5298,6.882,6.885,6.877,6.882,6.877,6.877,6.878,6.877,6.874,6.873,6.883,6.881,6.910,13038477,12237988,12415708,12157755,13306657,11952942,13164048,11609906,12723117,12038130,13784684,12887893,1438,,,,,,,,,,,,,,99.60,98.18,99.34,99.73,99.51,99.64,99.52,99.85,99.73,99.33,99.49,99.76,47.81,16,14,15,13,17,18,16,15,16,15,15,15,4,
PI 18:0_20:4,C47 H83 O13 P,886.5578,0.35,0,7.58,0.023,11256734,13,0,100.0,2.2,4,15,886.5579,886.5582,886.5572,886.5577,886.5577,886.5578,886.5571,886.5580,886.5578,886.5581,886.5576,886.5579,886.5578,7.572,7.586,7.579,7.590,7.573,7.579,7.579,7.586,7.576,7.573,7.590,7.576,7.596,12237811,12093722,12111799,11863922,12625032,12393789,11746016,11709081,12226665,11436957,12918808,12968128,5822,,,,,,,,,,,,,,99.44,98.86,99.94,99.36,99.68,99.53,99.96,99.26,99.60,99.28,99.39,99.46,91.80,15,13,9,12,11,10,11,11,12,12,14,14,4,
PE 18:0_18:2,C41 H78 N O8 P,743.5469,0.52,0,8.78,0.016,8205636,13,0,99.8,1.2,6,19,743.5468,743.5469,743.5470,743.5473,743.5470,743.5471,743.5466,743.5469,743.5472,743.5464,743.5469,743.5472,743.5458,8.781,8.783,8.776,8.783,8.781,8.780,8.776,8.777,8.774,8.770,8.786,8.781,8.784,8727401,9258871,8501542,8868895,9320827,8843684,8604213,8203081,9000995,8416253,9434057,9489946,3505,,,,,,,,,,,,,,99.81,99.82,99.57,99.59,99.69,99.60,99.73,99.66,99.29,99.44,99.73,99.43,95.37,17,17,17,16,19,18,16,14,16,18,15,17,6,
PE 18:0_20:4,C43 H78 N O8 P,767.5472,0.41,0,8.59,0.079,6838935,13,0,99.8,3.6,4,18,767.5468,767.5469,767.5472,767.5472,767.5471,767.5473,767.5473,767.5473,767.5477,767.5474,767.5475,767.5474,767.5465,8.597,8.594,8.593,8.598,8.593,8.594,8.586,8.595,8.585,8.580,8.600,8.590,8.522,7625917,7189085,7439408,7665007,7219025,8045202,6966394,7888213,7263112,6487297,7621821,7486618,9065,,,,,,,,,,,,,,99.81,99.74,99.53,99.45,99.61,99.33,99.26,99.25,98.46,98.84,98.96,99.18,86.64,14,13,18,14,15,16,18,16,12,14,14,12,4,
PI 18:1_18:2,C45 H81 O13 P,860.5424,1.48,0,6.90,0.065,6922114,13,0,99.9,16.1,1,14,860.5421,860.5421,860.5417,860.5422,860.5422,860.5421,860.5423,860.5420,860.5420,860.5418,860.5424,860.5419,860.5466,6.904,6.907,6.897,6.905,6.899,6.900,6.902,6.899,6.896,6.895,6.905,6.897,6.960,7568359,7155694,6529414,6417022,8408875,6790918,8342737,6081934,8311421,8009429,8218019,8151816,1857,,,,,,,,,,,,,,99.65,99.51,99.93,99.46,99.58,99.72,99.38,99.81,99.75,99.87,99.29,99.81,44.20,14,13,13,13,14,13,12,13,13,11,12,13,1,
PC 18:0_18:2,C44 H84 N O8 P,785.5939,0.45,0,8.55,0.067,8602337,13,0,96.8,1.7,3,19,785.5939,785.5939,785.5938,785.5941,785.5935,785.5939,785.5942,785.5937,785.5941,785.5939,785.5945,785.5941,785.5931,8.552,8.555,8.543,8.559,8.548,8.561,8.555,8.556,8.540,8.541,8.561,8.551,8.494,9348088,9584705,9191285,9518331,9488464,9634808,8818158,9423749,9288844,8869587,9296019,9358322,10026,,,,,,,,,,,,,,94.68,94.14,96.58,93.18,95.74,92.83,93.89,94.13,96.77,96.64,92.18,94.75,92.26,15,19,17,19,18,14,17,18,15,15,15,16,3,
PI 18:0_18:2,C45 H83 O13 P,862.5578,0.36,0,7.76,0.017,5324991,13,0,99.9,7.8,2,14,862.5580,862.5583,862.5577,862.5576,862.5575,862.5582,862.5582,862.5576,862.5578,862.5578,862.5574,862.5575,862.5580,7.762,7.764,7.757,7.768,7.763,7.763,7.763,7.764,7.759,7.757,7.768,7.760,7.774,5814997,5937728,5375683,5576053,6088381,5490716,5874160,5537753,5660925,5428775,6421488,6015758,2475,,,,,,,,,,,,,,99.46,98.90,99.68,99.67,99.86,99.09,99.08,99.79,99.63,99.61,99.75,99.87,72.27,13,13,12,14,11,11,11,11,13,14,12,12,2,
PI 38:5,C47 H81 O13 P,884.5418,1.24,0,6.94,0.091,4770371,13,0,99.9,15.3,4,16,884.5424,884.5425,884.5418,884.5423,884.5418,884.5425,884.5416,884.5418,884.5422,884.5422,884.5421,884.5419,884.5383,6.937,6.940,6.933,6.944,6.938,6.939,6.939,6.938,6.930,6.934,6.944,6.936,7.021,6258159,4753605,4815237,3783237,7099238,4774136,5922616,2397126,5410672,5263210,5916901,5617665,3028,,,,,,,,,,,,,,99.32,99.18,99.79,99.40,99.84,99.14,99.92,99.89,99.33,99.43,99.61,99.74,46.87,11,16,12,14,15,14,13,16,14,14,14,12,4,
PS 18:0_22:6,C46 H78 N O10 P,835.5369,0.22,0,7.41,0.046,4840058,13,0,99.1,1.7,5,18,835.5368,835.5370,835.5369,835.5369,835.5371,835.5369,835.5370,835.5365,835.5373,835.5370,835.5369,835.5368,835.5368,7.415,7.419,7.414,7.425,7.417,7.412,7.418,7.429,7.412,7.406,7.425,7.415,7.384,5595971,5204989,5376392,4812951,5589557,5266751,5531812,4082560,5310740,5267067,5580767,5294933,6274,,,,,,,,,,,,,,97.84,98.71,98.10,99.12,98.95,99.05,98.45,98.16,98.30,98.39,97.83,99.09,92.79,12,14,16,16,17,18,18,16,16,15,18,16,5,
PG 22:6_22:6,C50 H75 O10 P,866.5106,0.71,0,5.14,0.136,4586116,13,0,99.8,16.3,1,17,866.5105,866.5102,866.5104,866.5106,866.5106,866.5100,866.5105,866.5103,866.5104,866.5103,866.5106,866.5106,866.5126,5.154,5.135,5.141,5.143,5.156,5.155,5.151,5.135,5.145,5.147,5.139,5.184,5.048,4492897,4716113,6018679,5505147,4783738,4494111,4876435,5370372,4423175,4209299,6269949,4456306,3294,,,,,,,,,,,,,,99.54,99.30,99.43,99.36,99.39,99.80,99.57,99.24,99.62,99.72,99.26,96.72,43.42,12,15,12,16,15,10,14,14,13,16,17,15,1,
