"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Intestine_01_45x_pos_081321_027,[Mass] Intestine_02_45x_pos_081321_20,[Mass] Intestine_03_45x_pos_081321_026,[Mass] Intestine_04_45x_pos_081321_033,[Mass] Intestine_05_45x_pos_081321_031,[Mass] Intestine_06_45x_pos_081321_19,[Mass] Intestine_07_45x_pos_081321_034,[Mass] Intestine_08_45x_pos_081321_22,[Mass] Intestine_09_45x_pos_081321_025,[Mass] Intestine_10_45x_pos_081321_038,[Mass] Intestine_11_45x_pos_081321_21,[Mass] Intestine_12_45x_pos_081321_032,[Mass] PB_45x_pos_081321_028,[RT] Intestine_01_45x_pos_081321_027,[RT] Intestine_02_45x_pos_081321_20,[RT] Intestine_03_45x_pos_081321_026,[RT] Intestine_04_45x_pos_081321_033,[RT] Intestine_05_45x_pos_081321_031,[RT] Intestine_06_45x_pos_081321_19,[RT] Intestine_07_45x_pos_081321_034,[RT] Intestine_08_45x_pos_081321_22,[RT] Intestine_09_45x_pos_081321_025,[RT] Intestine_10_45x_pos_081321_038,[RT] Intestine_11_45x_pos_081321_21,[RT] Intestine_12_45x_pos_081321_032,[RT] PB_45x_pos_081321_028,[Height] Intestine_01_45x_pos_081321_027,[Height] Intestine_02_45x_pos_081321_20,[Height] Intestine_03_45x_pos_081321_026,[Height] Intestine_04_45x_pos_081321_033,[Height] Intestine_05_45x_pos_081321_031,[Height] Intestine_06_45x_pos_081321_19,[Height] Intestine_07_45x_pos_081321_034,[Height] Intestine_08_45x_pos_081321_22,[Height] Intestine_09_45x_pos_081321_025,[Height] Intestine_10_45x_pos_081321_038,[Height] Intestine_11_45x_pos_081321_21,[Height] Intestine_12_45x_pos_081321_032,[Height] PB_45x_pos_081321_028,[Score (MFE)] Intestine_01_45x_pos_081321_027,[Score (MFE)] Intestine_02_45x_pos_081321_20,[Score (MFE)] Intestine_03_45x_pos_081321_026,[Score (MFE)] Intestine_04_45x_pos_081321_033,[Score (MFE)] Intestine_05_45x_pos_081321_031,[Score (MFE)] Intestine_06_45x_pos_081321_19,[Score (MFE)] Intestine_07_45x_pos_081321_034,[Score (MFE)] Intestine_08_45x_pos_081321_22,[Score (MFE)] Intestine_09_45x_pos_081321_025,[Score (MFE)] Intestine_10_45x_pos_081321_038,[Score (MFE)] Intestine_11_45x_pos_081321_21,[Score (MFE)] Intestine_12_45x_pos_081321_032,[Score (MFE)] PB_45x_pos_081321_028,[Score (Tgt)] Intestine_01_45x_pos_081321_027,[Score (Tgt)] Intestine_02_45x_pos_081321_20,[Score (Tgt)] Intestine_03_45x_pos_081321_026,[Score (Tgt)] Intestine_04_45x_pos_081321_033,[Score (Tgt)] Intestine_05_45x_pos_081321_031,[Score (Tgt)] Intestine_06_45x_pos_081321_19,[Score (Tgt)] Intestine_07_45x_pos_081321_034,[Score (Tgt)] Intestine_08_45x_pos_081321_22,[Score (Tgt)] Intestine_09_45x_pos_081321_025,[Score (Tgt)] Intestine_10_45x_pos_081321_038,[Score (Tgt)] Intestine_11_45x_pos_081321_21,[Score (Tgt)] Intestine_12_45x_pos_081321_032,[Score (Tgt)] PB_45x_pos_081321_028,[Ions] Intestine_01_45x_pos_081321_027,[Ions] Intestine_02_45x_pos_081321_20,[Ions] Intestine_03_45x_pos_081321_026,[Ions] Intestine_04_45x_pos_081321_033,[Ions] Intestine_05_45x_pos_081321_031,[Ions] Intestine_06_45x_pos_081321_19,[Ions] Intestine_07_45x_pos_081321_034,[Ions] Intestine_08_45x_pos_081321_22,[Ions] Intestine_09_45x_pos_081321_025,[Ions] Intestine_10_45x_pos_081321_038,[Ions] Intestine_11_45x_pos_081321_21,[Ions] Intestine_12_45x_pos_081321_032,[Ions] PB_45x_pos_081321_028,
PC 16:0_18:2,C42 H80 N O8 P,757.5632,0.62,0,7.56,0.065,16744059,13,0,99.7,10.6,5,17,757.5639,757.5634,757.5626,757.5632,757.5631,757.5628,757.5627,757.5632,757.5629,757.5638,757.5632,757.5632,757.5641,7.559,7.547,7.553,7.557,7.556,7.544,7.564,7.556,7.549,7.555,7.544,7.555,7.609,15989621,18653598,18087486,18919731,18385523,18320024,17792144,18763547,18387435,17481027,18613099,18266173,13362,,,,,,,,,,,,,,97.34,97.94,99.66,98.86,99.13,98.77,99.71,98.76,99.01,97.50,98.36,98.68,61.99,13,14,15,17,14,17,12,15,15,14,15,13,5,
PC 18:0_18:2,C44 H84 N O8 P,785.5944,0.43,0,8.50,0.050,17591092,13,0,99.6,7.4,8,16,785.5941,785.5942,785.5941,785.5939,785.5938,785.5945,785.5948,785.5949,785.5946,785.5946,785.5944,785.5945,785.5944,8.500,8.499,8.505,8.515,8.500,8.496,8.505,8.502,8.495,8.495,8.502,8.507,8.465,17906588,20250345,19038448,20175250,19329689,19562169,18332695,18666592,18515618,17818360,19746912,19334573,6963,,,,,,,,,,,,,,99.50,99.65,99.06,98.09,99.55,98.82,97.97,97.77,98.51,98.79,98.82,98.34,73.08,12,15,14,15,15,14,12,11,15,16,14,14,8,
TG 16:0_18:1_18:2,C55 H100 O6,856.7527,0.37,0,13.99,0.013,12034959,13,0,99.8,0.5,12,20,856.7532,856.7526,856.7527,856.7530,856.7529,856.7527,856.7529,856.7525,856.7524,856.7530,856.7528,856.7528,856.7519,13.989,13.987,13.996,13.999,13.996,13.994,13.993,13.988,13.992,13.990,13.993,13.986,13.988,15449242,4444695,16910598,17426107,13347860,15948146,14994835,7614026,13540249,15669544,13231774,7838661,38733,,,,,,,,,,,,,,99.33,99.83,99.72,99.31,99.38,99.61,99.62,99.60,99.77,99.59,99.25,99.51,97.81,19,20,20,20,18,19,17,20,19,18,19,18,12,
TG 16:0_18:1_18:1,C55 H102 O6,858.7685,0.47,0,14.30,0.011,11230420,13,0,99.9,1.1,14,21,858.7681,858.7680,858.7683,858.7690,858.7687,858.7681,858.7688,858.7687,858.7682,858.7690,858.7687,858.7687,858.7678,14.304,14.307,14.305,14.302,14.299,14.303,14.302,14.305,14.304,14.299,14.302,14.301,14.297,13858721,4637860,14937835,15550012,12952086,13926860,14008400,8271061,11887629,14241073,13855130,7755558,113235,,,,,,,,,,,,,,99.79,99.92,99.78,98.80,99.37,99.55,99.42,99.61,99.79,99.12,99.40,99.53,95.72,17,19,18,18,15,16,21,21,16,17,20,18,14,
PC 16:0_20:4,C44 H80 N O8 P,781.5631,0.51,0,7.37,0.015,8651938,13,0,99.8,2.5,8,19,781.5629,781.5632,781.5632,781.5634,781.5634,781.5633,781.5632,781.5630,781.5635,781.5630,781.5629,781.5632,781.5619,7.375,7.374,7.374,7.377,7.373,7.371,7.375,7.372,7.373,7.374,7.373,7.373,7.386,8041749,8599514,9709676,11101145,8820371,9218073,9046283,11370292,8868182,8007626,10350272,9338992,3025,,,,,,,,,,,,,,99.70,99.26,99.26,99.26,99.10,99.22,99.35,99.17,98.48,99.78,99.43,99.35,90.35,17,17,13,16,18,14,16,19,15,17,16,14,8,
TG 16:0_18:2_18:2,C55 H98 O6,854.7372,0.21,0,13.51,0.016,9324034,13,0,99.8,1.1,12,20,854.7373,854.7371,854.7372,854.7374,854.7368,854.7374,854.7373,854.7370,854.7372,854.7373,854.7372,854.7371,854.7370,13.519,13.507,13.520,13.522,13.513,13.523,13.516,13.508,13.510,13.519,13.511,13.507,13.513,11522768,3228710,14691098,14597949,8435041,12944559,10771037,5649235,10249274,11973652,11558180,5577196,13752,,,,,,,,,,,,,,99.12,99.65,99.37,99.07,99.75,98.97,99.30,99.78,99.55,99.08,99.57,99.63,95.50,18,19,18,16,18,14,20,17,19,16,17,17,12,
TG 18:1_18:1_18:1,C57 H104 O6,884.7841,0.39,0,14.30,0.011,8623374,13,0,99.9,1.0,14,22,884.7844,884.7836,884.7841,884.7842,884.7844,884.7840,884.7847,884.7840,884.7842,884.7844,884.7842,884.7842,884.7833,14.298,14.302,14.294,14.291,14.299,14.291,14.296,14.302,14.302,14.293,14.300,14.301,14.297,10477703,4155352,10534270,11637280,9662543,10246523,10839640,6060917,10085942,10325973,11277544,6760210,39979,,,,,,,,,,,,,,99.39,99.86,99.29,99.05,99.54,99.16,98.95,99.72,99.56,98.92,99.60,99.52,95.86,19,18,21,18,21,20,21,17,19,19,22,19,14,
TG 18:1_18:1_18:2,C57 H102 O6,882.7685,0.39,0,13.96,0.045,7726329,13,0,99.6,0.6,14,22,882.7689,882.7681,882.7686,882.7683,882.7687,882.7688,882.7687,882.7683,882.7685,882.7684,882.7687,882.7684,882.7676,13.950,13.994,13.957,13.949,13.968,13.955,13.959,13.968,13.964,13.956,13.954,13.986,13.977,9560236,2546465,10718854,12071585,7494132,10208960,9516020,4442508,8994022,9680017,10370521,4823693,15266,,,,,,,,,,,,,,97.74,98.97,98.85,98.05,99.28,98.44,98.93,99.64,99.21,98.87,98.26,99.42,97.72,21,18,20,18,21,18,20,22,22,21,20,20,14,
TG 18:1_18:2_18:2,C57 H100 O6,880.7526,0.41,0,13.49,0.024,8215049,13,0,99.8,2.5,13,22,880.7527,880.7525,880.7529,880.7532,880.7525,880.7524,880.7527,880.7527,880.7525,880.7527,880.7529,880.7529,880.7517,13.491,13.489,13.497,13.494,13.491,13.490,13.493,13.491,13.483,13.496,13.489,13.490,13.507,10458023,2348327,12340473,12999076,6812579,11457796,9773340,4413791,10063001,10184422,11081964,4851687,11160,,,,,,,,,,,,,,99.59,99.66,99.63,99.46,99.73,99.77,99.76,99.66,99.38,99.85,99.46,99.51,90.66,18,17,21,18,21,17,22,18,19,20,19,19,13,
TG 16:0_16:0_18:1,C53 H100 O6,832.7530,0.57,0,14.32,0.023,7075706,13,0,99.6,0.4,14,20,832.7535,832.7525,832.7531,832.7530,832.7531,832.7530,832.7534,832.7529,832.7531,832.7534,832.7534,832.7530,832.7517,14.315,14.309,14.316,14.314,14.316,14.319,14.314,14.316,14.312,14.316,14.318,14.312,14.297,8544791,2532823,10130043,10390881,8626626,8743412,8497103,5539761,6861078,8903683,8725237,4305738,183003,,,,,,,,,,,,,,98.89,99.52,99.10,99.07,99.58,99.38,99.30,99.64,99.33,99.09,99.25,99.49,98.06,17,17,16,17,16,18,20,15,17,16,15,15,14,
