"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Kidney_01_1x_neg_081521_050,[Mass] Kidney_02_1x_neg_081521_058,[Mass] Kidney_03_1x_neg_081521_053,[Mass] Kidney_04_1x_neg_081521_062,[Mass] Kidney_05_1x_neg_081521_052,[Mass] Kidney_06_1x_neg_081521_059,[Mass] Kidney_07_1x_neg_081521_063,[Mass] Kidney_08_1x_neg_081521_057,[Mass] Kidney_09_1x_neg_081521_056,[Mass] Kidney_10_1x_neg_081521_065,[Mass] Kidney_11_1x_neg_081521_051,[Mass] Kidney_12_1x_neg_081521_068,[Mass] Kidney_PB_1x_neg_081521_064,[RT] Kidney_01_1x_neg_081521_050,[RT] Kidney_02_1x_neg_081521_058,[RT] Kidney_03_1x_neg_081521_053,[RT] Kidney_04_1x_neg_081521_062,[RT] Kidney_05_1x_neg_081521_052,[RT] Kidney_06_1x_neg_081521_059,[RT] Kidney_07_1x_neg_081521_063,[RT] Kidney_08_1x_neg_081521_057,[RT] Kidney_09_1x_neg_081521_056,[RT] Kidney_10_1x_neg_081521_065,[RT] Kidney_11_1x_neg_081521_051,[RT] Kidney_12_1x_neg_081521_068,[RT] Kidney_PB_1x_neg_081521_064,[Height] Kidney_01_1x_neg_081521_050,[Height] Kidney_02_1x_neg_081521_058,[Height] Kidney_03_1x_neg_081521_053,[Height] Kidney_04_1x_neg_081521_062,[Height] Kidney_05_1x_neg_081521_052,[Height] Kidney_06_1x_neg_081521_059,[Height] Kidney_07_1x_neg_081521_063,[Height] Kidney_08_1x_neg_081521_057,[Height] Kidney_09_1x_neg_081521_056,[Height] Kidney_10_1x_neg_081521_065,[Height] Kidney_11_1x_neg_081521_051,[Height] Kidney_12_1x_neg_081521_068,[Height] Kidney_PB_1x_neg_081521_064,[Score (MFE)] Kidney_01_1x_neg_081521_050,[Score (MFE)] Kidney_02_1x_neg_081521_058,[Score (MFE)] Kidney_03_1x_neg_081521_053,[Score (MFE)] Kidney_04_1x_neg_081521_062,[Score (MFE)] Kidney_05_1x_neg_081521_052,[Score (MFE)] Kidney_06_1x_neg_081521_059,[Score (MFE)] Kidney_07_1x_neg_081521_063,[Score (MFE)] Kidney_08_1x_neg_081521_057,[Score (MFE)] Kidney_09_1x_neg_081521_056,[Score (MFE)] Kidney_10_1x_neg_081521_065,[Score (MFE)] Kidney_11_1x_neg_081521_051,[Score (MFE)] Kidney_12_1x_neg_081521_068,[Score (MFE)] Kidney_PB_1x_neg_081521_064,[Score (Tgt)] Kidney_01_1x_neg_081521_050,[Score (Tgt)] Kidney_02_1x_neg_081521_058,[Score (Tgt)] Kidney_03_1x_neg_081521_053,[Score (Tgt)] Kidney_04_1x_neg_081521_062,[Score (Tgt)] Kidney_05_1x_neg_081521_052,[Score (Tgt)] Kidney_06_1x_neg_081521_059,[Score (Tgt)] Kidney_07_1x_neg_081521_063,[Score (Tgt)] Kidney_08_1x_neg_081521_057,[Score (Tgt)] Kidney_09_1x_neg_081521_056,[Score (Tgt)] Kidney_10_1x_neg_081521_065,[Score (Tgt)] Kidney_11_1x_neg_081521_051,[Score (Tgt)] Kidney_12_1x_neg_081521_068,[Score (Tgt)] Kidney_PB_1x_neg_081521_064,[Ions] Kidney_01_1x_neg_081521_050,[Ions] Kidney_02_1x_neg_081521_058,[Ions] Kidney_03_1x_neg_081521_053,[Ions] Kidney_04_1x_neg_081521_062,[Ions] Kidney_05_1x_neg_081521_052,[Ions] Kidney_06_1x_neg_081521_059,[Ions] Kidney_07_1x_neg_081521_063,[Ions] Kidney_08_1x_neg_081521_057,[Ions] Kidney_09_1x_neg_081521_056,[Ions] Kidney_10_1x_neg_081521_065,[Ions] Kidney_11_1x_neg_081521_051,[Ions] Kidney_12_1x_neg_081521_068,[Ions] Kidney_PB_1x_neg_081521_064,
PE 18:2_20:4,C43 H74 N O8 P,763.5157,1.45,0,6.88,0.154,10465491,13,0,99.9,16.1,3,17,763.5169,763.5164,763.5158,763.5156,763.5155,763.5163,763.5162,763.5158,763.5162,763.5160,763.5151,763.5158,763.5123,6.873,6.874,6.877,6.870,6.874,6.874,6.876,6.880,6.880,6.875,6.875,6.882,7.024,10944317,10099780,11428646,9532717,12323049,12673961,13120539,10340369,11519926,10637830,11812531,11614923,2805,,,,,,,,,,,,,,98.35,99.14,99.89,99.70,99.82,99.14,99.32,99.73,99.84,99.46,99.86,99.79,44.14,16,15,17,15,14,14,16,17,13,14,14,14,3,
PI 18:0_20:4,C47 H83 O13 P,886.5579,0.58,0,7.55,0.039,11197901,13,0,99.6,3.0,4,12,886.5567,886.5575,886.5583,886.5572,886.5586,886.5579,886.5579,886.5578,886.5584,886.5582,886.5576,886.5582,886.5579,7.548,7.549,7.546,7.552,7.548,7.549,7.550,7.548,7.548,7.543,7.552,7.543,7.582,12261201,12109725,12676619,10952172,12244213,12033303,12039476,12513195,12143642,12029938,12145969,12416958,6312,,,,,,,,,,,,,,99.59,99.59,98.92,99.48,98.38,99.30,99.19,99.39,98.57,99.10,99.33,99.08,88.60,10,9,12,12,10,10,11,10,10,10,12,11,4,
PE 18:0_20:4,C43 H78 N O8 P,767.5472,0.39,0,8.57,0.078,9377250,13,0,99.7,3.4,4,18,767.5472,767.5472,767.5476,767.5471,767.5472,767.5468,767.5474,767.5472,767.5475,767.5473,767.5475,767.5472,767.5464,8.566,8.566,8.574,8.553,8.568,8.563,8.567,8.585,8.574,8.565,8.572,8.572,8.507,10513894,10295564,10522695,9409586,10473245,10334923,10238084,9575952,10400015,10333852,9477511,10319458,9475,,,,,,,,,,,,,,99.41,99.48,98.99,99.05,99.54,99.72,99.24,98.78,98.97,99.29,99.03,99.44,87.33,15,14,17,18,14,16,15,13,17,15,14,16,4,
PI 18:0_22:6,C49 H83 O13 P,910.5580,0.64,0,7.30,0.095,7886397,13,0,99.9,11.9,2,16,910.5578,910.5586,910.5576,910.5576,910.5586,910.5581,910.5590,910.5585,910.5571,910.5573,910.5580,910.5580,910.5573,7.297,7.299,7.300,7.295,7.297,7.298,7.299,7.303,7.303,7.292,7.296,7.301,7.208,8791202,8753074,9837779,6580289,8815779,8351683,8063476,9538028,9586337,7462479,8549810,8189773,3460,,,,,,,,,,,,,,99.38,98.20,99.39,99.59,98.28,99.08,97.32,98.00,99.30,99.87,99.21,99.03,58.04,10,15,13,16,13,11,11,11,10,13,12,16,2,
PC 16:0_22:6,C46 H80 N O8 P,805.5630,0.30,0,7.07,0.024,6046060,13,0,99.8,3.5,3,19,805.5631,805.5630,805.5632,805.5632,805.5629,805.5629,805.5631,805.5630,805.5624,805.5630,805.5629,805.5630,805.5634,7.063,7.065,7.061,7.067,7.068,7.064,7.070,7.064,7.069,7.069,7.067,7.070,7.085,6916630,6740709,6811320,6257730,6752223,6673806,6334527,6581862,6652034,6202793,6553147,6118051,3952,,,,,,,,,,,,,,99.06,99.25,98.86,99.00,99.42,99.30,99.15,99.24,99.82,99.45,99.42,99.38,87.07,17,16,16,14,13,18,19,16,18,17,17,18,3,
PS 18:0_22:6,C46 H78 N O10 P,835.5374,0.62,0,7.40,0.035,6077829,13,0,95.9,3.6,4,16,835.5372,835.5380,835.5378,835.5369,835.5374,835.5370,835.5375,835.5378,835.5376,835.5378,835.5370,835.5377,835.5361,7.399,7.398,7.403,7.387,7.398,7.391,7.389,7.405,7.403,7.390,7.396,7.401,7.370,6482239,6355449,6860684,5341017,7275353,6492450,5941934,6585106,7178807,6614298,6514777,7363332,6334,,,,,,,,,,,,,,94.50,93.17,89.24,95.92,90.04,93.70,87.93,85.46,88.24,90.89,88.81,86.01,90.65,12,13,11,14,13,13,14,11,16,12,13,14,4,
PI 18:0_20:3,C47 H85 O13 P,888.5734,0.70,0,7.95,0.022,5681482,13,0,99.7,3.8,4,19,888.5731,888.5736,888.5731,888.5735,888.5733,888.5736,888.5733,888.5733,888.5739,888.5741,888.5739,888.5736,888.5716,7.950,7.951,7.952,7.944,7.951,7.950,7.952,7.955,7.950,7.944,7.952,7.948,7.966,6727819,6693030,7347331,5119979,5733606,5791061,5472929,5942645,6651717,6224130,6068135,6084692,2201,,,,,,,,,,,,,,99.72,99.31,99.57,99.56,99.52,99.31,99.52,99.27,98.87,98.74,98.73,99.33,85.79,14,13,15,19,15,12,16,17,16,16,16,16,4,
PI 18:0_20:5,C47 H81 O13 P,884.5417,1.09,0,6.92,0.096,3847394,13,0,99.8,15.6,4,18,884.5420,884.5421,884.5421,884.5421,884.5418,884.5421,884.5419,884.5418,884.5418,884.5423,884.5421,884.5417,884.5386,6.918,6.920,6.921,6.911,6.918,6.919,6.920,6.924,6.919,6.913,6.917,6.921,7.007,2959654,4119556,3877917,2088216,5069681,3897161,3871327,3721425,4812386,5554621,4453361,5588255,2575,,,,,,,,,,,,,,99.70,99.58,99.50,99.60,99.81,99.60,99.70,99.61,99.83,99.32,99.63,99.80,45.82,17,15,14,13,15,15,15,13,18,14,12,13,4,
EtherPE 18:1e_22:6,C45 H78 N O7 P,775.5524,0.49,0,8.67,0.033,4728152,13,0,98.1,2.9,3,13,775.5527,775.5529,775.5525,775.5525,775.5523,775.5526,775.5523,775.5521,775.5525,775.5522,775.5522,775.5531,775.5516,8.666,8.665,8.671,8.649,8.667,8.663,8.666,8.674,8.669,8.663,8.671,8.672,8.641,5017900,5417411,5971261,4001704,5278999,4371028,4420816,4934371,6008759,5320740,5068668,5650412,3918,,,,,,,,,,,,,,97.75,97.12,97.67,97.06,97.28,97.21,97.30,98.12,96.57,97.80,97.43,96.29,87.49,10,9,13,13,10,13,9,13,13,11,13,13,3,
EtherPE 16:1e_20:4,C41 H74 N O7 P,723.5209,0.45,0,8.05,0.084,4530231,13,0,99.9,12.2,2,15,723.5206,723.5208,723.5210,723.5209,723.5209,723.5207,723.5207,723.5205,723.5208,723.5214,723.5210,723.5207,723.5217,8.051,8.049,8.053,8.037,8.050,8.051,8.051,8.055,8.056,8.045,8.054,8.054,7.972,4462045,4594929,5447177,3750148,4549761,5404821,5629518,5590360,4960236,4386544,5067931,5045458,4079,,,,,,,,,,,,,,99.84,99.63,99.54,99.01,99.55,99.76,99.75,99.85,99.64,98.59,99.41,99.77,57.29,13,14,13,14,15,11,14,12,13,14,12,14,2,
