"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Kidney_01_30x_pos_081321_059,[Mass] Kidney_02_30x_pos_081321_054,[Mass] Kidney_03_30x_pos_081321_060,[Mass] Kidney_04_30x_pos_081321_051,[Mass] Kidney_05_30x_pos_081321_064,[Mass] Kidney_06_30x_pos_081321_063,[Mass] Kidney_07_30x_pos_081321_052,[Mass] Kidney_08_30x_pos_081321_065,[Mass] Kidney_09_30x_pos_081321_053,[Mass] Kidney_10_30x_pos_081321_057,[Mass] Kidney_11_30x_pos_081321_069,[Mass] Kidney_12_30x_pos_081321_070,[Mass] PB_30x_pos_081321_066,[RT] Kidney_01_30x_pos_081321_059,[RT] Kidney_02_30x_pos_081321_054,[RT] Kidney_03_30x_pos_081321_060,[RT] Kidney_04_30x_pos_081321_051,[RT] Kidney_05_30x_pos_081321_064,[RT] Kidney_06_30x_pos_081321_063,[RT] Kidney_07_30x_pos_081321_052,[RT] Kidney_08_30x_pos_081321_065,[RT] Kidney_09_30x_pos_081321_053,[RT] Kidney_10_30x_pos_081321_057,[RT] Kidney_11_30x_pos_081321_069,[RT] Kidney_12_30x_pos_081321_070,[RT] PB_30x_pos_081321_066,[Height] Kidney_01_30x_pos_081321_059,[Height] Kidney_02_30x_pos_081321_054,[Height] Kidney_03_30x_pos_081321_060,[Height] Kidney_04_30x_pos_081321_051,[Height] Kidney_05_30x_pos_081321_064,[Height] Kidney_06_30x_pos_081321_063,[Height] Kidney_07_30x_pos_081321_052,[Height] Kidney_08_30x_pos_081321_065,[Height] Kidney_09_30x_pos_081321_053,[Height] Kidney_10_30x_pos_081321_057,[Height] Kidney_11_30x_pos_081321_069,[Height] Kidney_12_30x_pos_081321_070,[Height] PB_30x_pos_081321_066,[Score (MFE)] Kidney_01_30x_pos_081321_059,[Score (MFE)] Kidney_02_30x_pos_081321_054,[Score (MFE)] Kidney_03_30x_pos_081321_060,[Score (MFE)] Kidney_04_30x_pos_081321_051,[Score (MFE)] Kidney_05_30x_pos_081321_064,[Score (MFE)] Kidney_06_30x_pos_081321_063,[Score (MFE)] Kidney_07_30x_pos_081321_052,[Score (MFE)] Kidney_08_30x_pos_081321_065,[Score (MFE)] Kidney_09_30x_pos_081321_053,[Score (MFE)] Kidney_10_30x_pos_081321_057,[Score (MFE)] Kidney_11_30x_pos_081321_069,[Score (MFE)] Kidney_12_30x_pos_081321_070,[Score (MFE)] PB_30x_pos_081321_066,[Score (Tgt)] Kidney_01_30x_pos_081321_059,[Score (Tgt)] Kidney_02_30x_pos_081321_054,[Score (Tgt)] Kidney_03_30x_pos_081321_060,[Score (Tgt)] Kidney_04_30x_pos_081321_051,[Score (Tgt)] Kidney_05_30x_pos_081321_064,[Score (Tgt)] Kidney_06_30x_pos_081321_063,[Score (Tgt)] Kidney_07_30x_pos_081321_052,[Score (Tgt)] Kidney_08_30x_pos_081321_065,[Score (Tgt)] Kidney_09_30x_pos_081321_053,[Score (Tgt)] Kidney_10_30x_pos_081321_057,[Score (Tgt)] Kidney_11_30x_pos_081321_069,[Score (Tgt)] Kidney_12_30x_pos_081321_070,[Score (Tgt)] PB_30x_pos_081321_066,[Ions] Kidney_01_30x_pos_081321_059,[Ions] Kidney_02_30x_pos_081321_054,[Ions] Kidney_03_30x_pos_081321_060,[Ions] Kidney_04_30x_pos_081321_051,[Ions] Kidney_05_30x_pos_081321_064,[Ions] Kidney_06_30x_pos_081321_063,[Ions] Kidney_07_30x_pos_081321_052,[Ions] Kidney_08_30x_pos_081321_065,[Ions] Kidney_09_30x_pos_081321_053,[Ions] Kidney_10_30x_pos_081321_057,[Ions] Kidney_11_30x_pos_081321_069,[Ions] Kidney_12_30x_pos_081321_070,[Ions] PB_30x_pos_081321_066,
PC 16:0_22:6,C46 H80 N O8 P,805.5632,0.89,0,7.10,0.020,17566595,13,0,99.7,1.3,8,19,805.5638,805.5635,805.5633,805.5638,805.5623,805.5627,805.5634,805.5635,805.5636,805.5626,805.5635,805.5639,805.5615,7.095,7.095,7.104,7.098,7.112,7.095,7.092,7.096,7.092,7.102,7.101,7.096,7.100,19052154,19807521,19907833,17395025,19080039,19198472,19128058,19095432,19554788,18395185,18770223,18971264,9749,,,,,,,,,,,,,,98.23,98.61,98.90,98.47,99.42,99.47,98.63,99.00,98.14,99.66,98.64,98.24,94.45,18,19,19,17,15,18,19,18,16,18,17,18,8,
PC 16:0_18:2,C42 H80 N O8 P,757.5634,1.14,0,7.56,0.058,13501683,13,0,99.7,7.2,6,14,757.5630,757.5631,757.5635,757.5626,757.5629,757.5632,757.5636,757.5630,757.5633,757.5630,757.5630,757.5635,757.5661,7.563,7.560,7.561,7.566,7.564,7.565,7.561,7.566,7.564,7.565,7.563,7.563,7.619,13049770,15570998,15193077,11446668,15326200,14159774,14990194,15934804,15793363,13585057,14763843,15696230,11902,,,,,,,,,,,,,,99.14,99.04,98.27,99.65,99.45,98.69,98.06,99.22,98.77,99.16,99.24,98.19,73.69,13,13,12,14,11,13,14,11,14,14,12,13,6,
PC 16:0_16:0,C40 H80 N O8 P,733.5631,0.78,0,8.30,0.011,12200908,13,0,99.4,2.4,6,19,733.5634,733.5631,733.5634,733.5635,733.5631,733.5632,733.5637,733.5631,733.5628,733.5634,733.5630,733.5632,733.5613,8.299,8.295,8.298,8.297,8.296,8.301,8.298,8.298,8.298,8.302,8.291,8.293,8.292,12791418,14673877,14356566,11274628,13366616,12464768,12335203,14118473,13559401,12287643,13785001,13589201,9022,,,,,,,,,,,,,,99.12,98.99,98.76,98.21,98.99,99.23,98.02,98.90,99.40,98.54,98.82,98.65,90.35,15,19,16,15,16,18,18,17,17,16,18,18,6,
TG 16:0_18:1_18:2,C55 H100 O6,856.7528,0.62,0,14.00,0.057,8209026,13,0,99.9,5.6,14,23,856.7529,856.7531,856.7531,856.7528,856.7529,856.7523,856.7530,856.7539,856.7533,856.7529,856.7519,856.7526,856.7519,14.027,14.011,14.004,14.004,14.003,14.000,14.008,14.001,14.006,14.004,14.005,14.006,13.970,18162223,16940188,2679890,2131604,1841708,2081576,17109447,11354104,6286289,4945376,7505055,15665683,14204,,,,,,,,,,,,,,81.64,99.35,99.30,99.65,99.26,99.78,99.50,98.37,99.27,99.52,99.79,99.85,89.85,14,17,20,21,20,19,19,20,23,19,18,21,15,
PC 18:0_18:2,C44 H84 N O8 P,785.5941,0.76,0,8.53,0.023,13854874,13,0,99.2,7.8,4,15,785.5941,785.5941,785.5941,785.5940,785.5940,785.5941,785.5951,785.5943,785.5932,785.5941,785.5941,785.5951,785.5929,8.526,8.526,8.527,8.526,8.525,8.524,8.521,8.526,8.527,8.525,8.526,8.525,8.504,12611145,15989295,15513318,10565149,16577125,14707609,16004517,16768862,17241204,12417196,15037938,16674048,5963,,,,,,,,,,,,,,98.87,98.98,98.95,98.94,99.16,98.97,97.43,98.63,98.96,99.10,99.03,97.10,71.71,12,14,13,14,15,13,12,12,15,12,13,13,4,
PC 16:0_20:4,C44 H80 N O8 P,781.5631,0.38,0,7.39,0.007,9393609,13,0,99.6,2.1,6,18,781.5629,781.5635,781.5637,781.5629,781.5632,781.5631,781.5633,781.5631,781.5631,781.5631,781.5630,781.5633,781.5625,7.388,7.391,7.392,7.388,7.391,7.390,7.388,7.392,7.394,7.392,7.392,7.392,7.396,9303754,9982953,10859519,8019750,10950769,10499016,11742386,11459191,10385667,8288049,10699064,9923094,3707,,,,,,,,,,,,,,99.37,98.35,97.94,99.56,98.93,99.12,98.79,99.07,99.08,99.10,99.23,98.77,91.68,13,14,16,15,14,14,13,13,14,13,17,18,6,
PC 18:0_22:6,C48 H84 N O8 P,833.5942,0.61,0,8.02,0.050,9753799,13,0,99.6,3.1,7,21,833.5943,833.5943,833.5940,833.5945,833.5942,833.5943,833.5952,833.5948,833.5936,833.5940,833.5945,833.5944,833.5931,8.020,8.023,8.024,8.024,8.024,8.024,8.022,8.025,8.024,8.023,8.023,8.024,8.070,8952072,11234725,11872579,6584317,12458421,9705189,10248008,11722655,13243685,8527014,10518206,11720559,11966,,,,,,,,,,,,,,99.43,99.17,99.44,99.39,99.44,99.63,97.82,98.74,99.47,99.60,98.99,99.13,88.24,20,21,19,21,19,19,18,19,15,18,17,21,7,
TG 16:0_18:1_18:1,C55 H102 O6,858.7685,0.52,0,14.31,0.016,7236355,13,0,99.8,3.0,14,22,858.7687,858.7688,858.7682,858.7681,858.7683,858.7682,858.7688,858.7684,858.7686,858.7684,858.7687,858.7695,858.7676,14.298,14.306,14.313,14.311,14.313,14.313,14.309,14.313,14.312,14.311,14.311,14.311,14.298,19402721,15472620,2508574,2019728,1961734,1767823,15456980,8011125,4616017,3768114,6388888,12606662,91636,,,,,,,,,,,,,,98.95,99.67,99.80,99.75,99.68,99.71,99.04,99.72,99.53,99.75,99.53,98.15,89.01,18,19,19,20,21,18,21,18,20,17,20,22,14,
TG 16:0_18:2_18:2,C55 H98 O6,854.7373,0.54,0,13.53,0.054,7780938,13,0,99.8,2.8,12,24,854.7380,854.7375,854.7372,854.7371,854.7369,854.7372,854.7382,854.7371,854.7372,854.7370,854.7370,854.7378,854.7366,13.563,13.537,13.527,13.530,13.527,13.525,13.545,13.533,13.532,13.528,13.526,13.539,13.509,18628211,14091396,3480912,1907421,1776602,2232946,14968123,11373372,6078947,5033413,7873912,13692859,14090,,,,,,,,,,,,,,95.77,99.26,99.61,99.53,99.66,99.48,97.14,99.50,99.62,99.79,99.83,98.60,90.03,17,18,20,21,22,22,18,21,22,22,24,20,12,
SM d34:1,C39 H79 N2 O6 P,702.5682,1.08,0,7.35,0.076,7960441,13,0,99.6,7.4,6,22,702.5685,702.5686,702.5681,702.5681,702.5687,702.5685,702.5683,702.5682,702.5685,702.5684,702.5683,702.5683,702.5657,7.351,7.351,7.361,7.355,7.352,7.352,7.349,7.353,7.360,7.359,7.355,7.348,7.423,7692246,9610222,9732151,5948612,8944120,8051973,8286124,9673647,9475728,7411793,9035937,9619721,3460,,,,,,,,,,,,,,98.69,98.75,99.36,99.47,98.63,99.10,99.10,99.26,99.35,99.55,99.37,99.03,73.16,19,17,22,19,16,17,18,17,18,18,18,17,6,
