"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] BAT_01_1x_neg_081921_065,[Mass] BAT_02_1x_neg_081921_057,[Mass] BAT_03_1x_neg_081921_068,[Mass] BAT_04_1x_neg_081921_058,[Mass] BAT_05_1x_neg_081921_050,[Mass] BAT_06_1x_neg_081921_056,[Mass] BAT_07_1x_neg_081921_051,[Mass] BAT_08_1x_neg_081921_062,[Mass] BAT_09_1x_neg_081921_063,[Mass] BAT_10_1x_neg_081921_052,[Mass] BAT_11_1x_neg_081921_059,[Mass] BAT_12_1x_neg_081921_053,[Mass] BAT_PB_1x_neg_081921_064,[RT] BAT_01_1x_neg_081921_065,[RT] BAT_02_1x_neg_081921_057,[RT] BAT_03_1x_neg_081921_068,[RT] BAT_04_1x_neg_081921_058,[RT] BAT_05_1x_neg_081921_050,[RT] BAT_06_1x_neg_081921_056,[RT] BAT_07_1x_neg_081921_051,[RT] BAT_08_1x_neg_081921_062,[RT] BAT_09_1x_neg_081921_063,[RT] BAT_10_1x_neg_081921_052,[RT] BAT_11_1x_neg_081921_059,[RT] BAT_12_1x_neg_081921_053,[RT] BAT_PB_1x_neg_081921_064,[Height] BAT_01_1x_neg_081921_065,[Height] BAT_02_1x_neg_081921_057,[Height] BAT_03_1x_neg_081921_068,[Height] BAT_04_1x_neg_081921_058,[Height] BAT_05_1x_neg_081921_050,[Height] BAT_06_1x_neg_081921_056,[Height] BAT_07_1x_neg_081921_051,[Height] BAT_08_1x_neg_081921_062,[Height] BAT_09_1x_neg_081921_063,[Height] BAT_10_1x_neg_081921_052,[Height] BAT_11_1x_neg_081921_059,[Height] BAT_12_1x_neg_081921_053,[Height] BAT_PB_1x_neg_081921_064,[Score (MFE)] BAT_01_1x_neg_081921_065,[Score (MFE)] BAT_02_1x_neg_081921_057,[Score (MFE)] BAT_03_1x_neg_081921_068,[Score (MFE)] BAT_04_1x_neg_081921_058,[Score (MFE)] BAT_05_1x_neg_081921_050,[Score (MFE)] BAT_06_1x_neg_081921_056,[Score (MFE)] BAT_07_1x_neg_081921_051,[Score (MFE)] BAT_08_1x_neg_081921_062,[Score (MFE)] BAT_09_1x_neg_081921_063,[Score (MFE)] BAT_10_1x_neg_081921_052,[Score (MFE)] BAT_11_1x_neg_081921_059,[Score (MFE)] BAT_12_1x_neg_081921_053,[Score (MFE)] BAT_PB_1x_neg_081921_064,[Score (Tgt)] BAT_01_1x_neg_081921_065,[Score (Tgt)] BAT_02_1x_neg_081921_057,[Score (Tgt)] BAT_03_1x_neg_081921_068,[Score (Tgt)] BAT_04_1x_neg_081921_058,[Score (Tgt)] BAT_05_1x_neg_081921_050,[Score (Tgt)] BAT_06_1x_neg_081921_056,[Score (Tgt)] BAT_07_1x_neg_081921_051,[Score (Tgt)] BAT_08_1x_neg_081921_062,[Score (Tgt)] BAT_09_1x_neg_081921_063,[Score (Tgt)] BAT_10_1x_neg_081921_052,[Score (Tgt)] BAT_11_1x_neg_081921_059,[Score (Tgt)] BAT_12_1x_neg_081921_053,[Score (Tgt)] BAT_PB_1x_neg_081921_064,[Ions] BAT_01_1x_neg_081921_065,[Ions] BAT_02_1x_neg_081921_057,[Ions] BAT_03_1x_neg_081921_068,[Ions] BAT_04_1x_neg_081921_058,[Ions] BAT_05_1x_neg_081921_050,[Ions] BAT_06_1x_neg_081921_056,[Ions] BAT_07_1x_neg_081921_051,[Ions] BAT_08_1x_neg_081921_062,[Ions] BAT_09_1x_neg_081921_063,[Ions] BAT_10_1x_neg_081921_052,[Ions] BAT_11_1x_neg_081921_059,[Ions] BAT_12_1x_neg_081921_053,[Ions] BAT_PB_1x_neg_081921_064,
PI 18:0_20:4,C47 H83 O13 P,886.5578,0.66,0,7.56,0.066,8841471,13,0,100.0,6.5,3,16,886.5579,886.5574,886.5572,886.5572,886.5578,886.5575,886.5578,886.5575,886.5579,886.5581,886.5583,886.5575,886.5594,7.555,7.563,7.554,7.553,7.551,7.555,7.561,7.563,7.557,7.562,7.562,7.560,7.497,8810359,11273508,8982015,11228841,10071245,10099278,8836428,8569094,9571528,8671049,9286283,9534669,4839,,,,,,,,,,,,,,99.50,99.65,99.94,99.96,99.65,99.86,99.48,99.60,99.44,99.13,98.86,99.70,76.74,12,14,12,12,10,12,14,12,12,15,12,16,3,
PE 18:0_20:4,C43 H78 N O8 P,767.5469,0.47,0,8.56,0.072,6364909,13,0,99.8,2.4,4,17,767.5469,767.5468,767.5469,767.5473,767.5466,767.5473,767.5472,767.5472,767.5468,767.5468,767.5474,767.5469,767.5461,8.547,8.573,8.544,8.557,8.550,8.552,8.557,8.561,8.562,8.561,8.568,8.572,8.501,4187560,9177569,4623353,6456567,5469444,5794699,7109929,7815088,7805089,7411559,8736908,8150345,5712,,,,,,,,,,,,,,99.57,98.97,99.45,99.37,99.83,99.35,99.55,99.40,99.71,99.74,98.81,99.19,91.00,14,13,17,14,14,14,15,15,15,15,16,15,4,
PE 18:0_22:6,C45 H78 N O8 P,791.5470,0.65,0,8.25,0.053,5709364,13,0,99.8,9.9,4,19,791.5473,791.5470,791.5474,791.5469,791.5471,791.5471,791.5470,791.5472,791.5471,791.5469,791.5474,791.5471,791.5454,8.246,8.250,8.242,8.250,8.244,8.246,8.245,8.250,8.248,8.250,8.250,8.254,8.202,4583654,7005338,4935655,6336639,6400896,5582162,6118240,5313691,6104461,6315705,7723150,7798565,3584,,,,,,,,,,,,,,99.41,99.75,99.14,99.78,99.58,99.56,99.69,99.48,99.60,99.81,99.34,99.58,64.83,18,18,17,16,16,19,16,19,14,15,15,16,4,
PC 18:0_18:2,C44 H84 N O8 P,785.5939,0.46,0,8.52,0.072,8214030,13,0,98.1,4.0,3,18,785.5940,785.5942,785.5938,785.5940,785.5938,785.5942,785.5937,785.5937,785.5940,785.5937,785.5942,785.5938,785.5928,8.516,8.562,8.510,8.525,8.517,8.520,8.524,8.539,8.523,8.528,8.556,8.544,8.490,6757332,10270673,7477734,8907368,8372719,8661642,8935363,9439077,9128529,9203663,9994198,9625126,8971,,,,,,,,,,,,,,97.09,87.50,98.12,95.74,97.21,96.36,96.12,93.21,96.11,95.39,88.80,92.04,87.43,14,16,18,17,17,16,14,16,18,16,16,18,3,
PE 16:0_22:6,C43 H74 N O8 P,763.5158,0.38,0,7.31,0.010,5379448,12,1,99.8,0.4,15,19,763.5161,763.5157,763.5157,763.5155,763.5157,763.5162,763.5154,763.5158,763.5157,763.5160,763.5164,763.5160,,7.315,7.318,7.308,7.313,7.312,7.313,7.314,7.312,7.312,7.312,7.314,7.311,,2824109,6842563,4488979,5628765,4817250,4131236,5500109,5503995,5863889,6105997,6722135,6124351,,,,,,,,,,,,,,,99.12,99.51,99.73,99.77,99.67,99.09,99.83,99.55,99.72,99.40,98.56,99.34,,15,18,17,19,19,17,19,16,15,17,18,19,,
PI 18:1_18:2,C45 H81 O13 P,860.5424,1.43,0,6.87,0.126,4660830,13,0,99.9,20.6,1,13,860.5416,860.5418,860.5422,860.5418,860.5421,860.5422,860.5420,860.5423,860.5422,860.5423,860.5421,860.5420,860.5464,6.869,6.867,6.870,6.873,6.867,6.873,6.870,6.871,6.867,6.869,6.867,6.865,6.991,1019070,4435115,1478637,2024351,2722925,2149233,7650039,6839788,6056835,7893768,9490240,8828388,2406,,,,,,,,,,,,,,99.90,99.89,99.50,99.73,99.69,99.46,99.69,99.36,99.54,99.45,99.65,99.72,29.71,13,11,11,11,10,13,10,11,11,12,11,9,1,
PE 18:0_18:2,C41 H78 N O8 P,743.5467,0.55,0,8.74,0.122,3957085,13,0,99.9,9.7,5,18,743.5468,743.5467,743.5471,743.5467,743.5468,743.5469,743.5467,743.5470,743.5468,743.5467,743.5467,743.5466,743.5454,8.736,8.740,8.733,8.740,8.734,8.736,8.741,8.739,8.740,8.742,8.742,8.750,8.628,2387250,5757325,2900275,3949421,4001510,3678811,4213498,4386498,4354920,4656516,5369626,5782026,4432,,,,,,,,,,,,,,99.76,99.85,99.51,99.91,99.83,99.76,99.84,99.72,99.80,99.86,99.86,99.64,65.86,17,18,16,18,17,17,16,18,17,15,16,18,5,
PE 16:1_18:2,C39 H72 N O8 P,713.5000,0.33,0,6.89,0.011,3684079,13,0,99.9,9.5,1,19,713.5000,713.4997,713.5001,713.4996,713.5001,713.5001,713.5001,713.5001,713.5000,713.5005,713.4998,713.5001,713.4998,6.891,6.883,6.887,6.884,6.889,6.892,6.891,6.894,6.886,6.894,6.889,6.893,6.891,3547832,4401811,3431995,4798324,3627197,4522336,4224847,3393502,4246389,3788696,4011046,3893529,5529,,,,,,,,,,,,,,99.64,99.86,99.61,99.91,99.64,99.64,99.59,99.53,99.74,98.99,99.83,99.51,66.56,19,16,17,18,17,19,19,15,17,17,16,19,1,
PC 16:0_18:2,C42 H80 N O8 P,757.5627,0.64,0,7.55,0.031,3707346,13,0,99.9,3.2,3,18,757.5629,757.5628,757.5625,757.5624,757.5628,757.5627,757.5624,757.5628,757.5625,757.5628,757.5624,757.5625,757.5642,7.566,7.535,7.561,7.548,7.552,7.562,7.549,7.553,7.549,7.546,7.541,7.540,7.536,3148738,4165620,3603475,3999253,3977135,3432312,4314073,4258569,4101649,4431782,4261667,4496182,5055,,,,,,,,,,,,,,98.44,99.39,99.24,99.91,99.51,99.04,99.84,99.49,99.77,99.61,99.86,99.80,88.06,11,12,12,15,12,12,14,15,15,16,11,18,3,
PE 18:1_18:2,C41 H76 N O8 P,741.5312,0.26,0,7.85,0.016,4546993,13,0,99.9,1.8,5,20,741.5315,741.5312,741.5314,741.5313,741.5311,741.5314,741.5309,741.5309,741.5311,741.5315,741.5310,741.5311,741.5312,7.840,7.853,7.837,7.849,7.837,7.845,7.844,7.847,7.845,7.848,7.848,7.850,7.847,3008859,6644433,3607917,5003667,4204082,4330462,5101836,5121327,5043521,5382616,5926170,5732092,3936,,,,,,,,,,,,,,99.63,99.53,99.61,99.60,99.83,99.72,99.90,99.84,99.81,99.53,99.81,99.69,93.45,17,18,18,18,16,19,18,17,18,17,20,18,5,
