"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] BAT_01_70x_pos_081821_060,[Mass] BAT_02_70x_pos_081821_053,[Mass] BAT_03_70x_pos_081821_059,[Mass] BAT_04_70x_pos_081821_058,[Mass] BAT_05_70x_pos_081821_066,[Mass] BAT_06_70x_pos_081821_063,[Mass] BAT_07_70x_pos_081821_052,[Mass] BAT_08_70x_pos_081821_064,[Mass] BAT_09_70x_pos_081821_051,[Mass] BAT_10_70x_pos_081821_069,[Mass] BAT_11_70x_pos_081821_070,[Mass] BAT_12_70x_pos_081821_065,[Mass] PB_70x_pos_081821_054,[RT] BAT_01_70x_pos_081821_060,[RT] BAT_02_70x_pos_081821_053,[RT] BAT_03_70x_pos_081821_059,[RT] BAT_04_70x_pos_081821_058,[RT] BAT_05_70x_pos_081821_066,[RT] BAT_06_70x_pos_081821_063,[RT] BAT_07_70x_pos_081821_052,[RT] BAT_08_70x_pos_081821_064,[RT] BAT_09_70x_pos_081821_051,[RT] BAT_10_70x_pos_081821_069,[RT] BAT_11_70x_pos_081821_070,[RT] BAT_12_70x_pos_081821_065,[RT] PB_70x_pos_081821_054,[Height] BAT_01_70x_pos_081821_060,[Height] BAT_02_70x_pos_081821_053,[Height] BAT_03_70x_pos_081821_059,[Height] BAT_04_70x_pos_081821_058,[Height] BAT_05_70x_pos_081821_066,[Height] BAT_06_70x_pos_081821_063,[Height] BAT_07_70x_pos_081821_052,[Height] BAT_08_70x_pos_081821_064,[Height] BAT_09_70x_pos_081821_051,[Height] BAT_10_70x_pos_081821_069,[Height] BAT_11_70x_pos_081821_070,[Height] BAT_12_70x_pos_081821_065,[Height] PB_70x_pos_081821_054,[Score (MFE)] BAT_01_70x_pos_081821_060,[Score (MFE)] BAT_02_70x_pos_081821_053,[Score (MFE)] BAT_03_70x_pos_081821_059,[Score (MFE)] BAT_04_70x_pos_081821_058,[Score (MFE)] BAT_05_70x_pos_081821_066,[Score (MFE)] BAT_06_70x_pos_081821_063,[Score (MFE)] BAT_07_70x_pos_081821_052,[Score (MFE)] BAT_08_70x_pos_081821_064,[Score (MFE)] BAT_09_70x_pos_081821_051,[Score (MFE)] BAT_10_70x_pos_081821_069,[Score (MFE)] BAT_11_70x_pos_081821_070,[Score (MFE)] BAT_12_70x_pos_081821_065,[Score (MFE)] PB_70x_pos_081821_054,[Score (Tgt)] BAT_01_70x_pos_081821_060,[Score (Tgt)] BAT_02_70x_pos_081821_053,[Score (Tgt)] BAT_03_70x_pos_081821_059,[Score (Tgt)] BAT_04_70x_pos_081821_058,[Score (Tgt)] BAT_05_70x_pos_081821_066,[Score (Tgt)] BAT_06_70x_pos_081821_063,[Score (Tgt)] BAT_07_70x_pos_081821_052,[Score (Tgt)] BAT_08_70x_pos_081821_064,[Score (Tgt)] BAT_09_70x_pos_081821_051,[Score (Tgt)] BAT_10_70x_pos_081821_069,[Score (Tgt)] BAT_11_70x_pos_081821_070,[Score (Tgt)] BAT_12_70x_pos_081821_065,[Score (Tgt)] PB_70x_pos_081821_054,[Ions] BAT_01_70x_pos_081821_060,[Ions] BAT_02_70x_pos_081821_053,[Ions] BAT_03_70x_pos_081821_059,[Ions] BAT_04_70x_pos_081821_058,[Ions] BAT_05_70x_pos_081821_066,[Ions] BAT_06_70x_pos_081821_063,[Ions] BAT_07_70x_pos_081821_052,[Ions] BAT_08_70x_pos_081821_064,[Ions] BAT_09_70x_pos_081821_051,[Ions] BAT_10_70x_pos_081821_069,[Ions] BAT_11_70x_pos_081821_070,[Ions] BAT_12_70x_pos_081821_065,[Ions] PB_70x_pos_081821_054,
TG 16:0_18:1_18:2,C55 H100 O6,856.7527,0.37,0,14.02,0.048,12659616,13,0,99.9,2.6,10,22,856.7531,856.7525,856.7532,856.7527,856.7525,856.7525,856.7525,856.7532,856.7528,856.7526,856.7531,856.7527,856.7522,14.066,14.023,14.027,14.027,14.023,14.025,14.033,14.023,14.025,14.024,14.017,14.022,14.022,17515767,13665121,13605399,12582299,14139605,13943521,14555323,13015407,12277086,13341856,12914540,12993304,25789,,,,,,,,,,,,,,94.47,99.81,99.25,99.62,99.58,99.82,99.60,99.23,99.53,99.87,99.23,99.66,91.52,14,19,20,19,20,20,17,21,22,20,19,19,10,
PC 18:0_18:2,C44 H84 N O8 P,785.5941,0.57,0,8.48,0.010,11214907,13,0,99.8,1.8,7,15,785.5949,785.5938,785.5942,785.5945,785.5941,785.5942,785.5945,785.5942,785.5942,785.5942,785.5943,785.5931,785.5935,8.473,8.483,8.479,8.478,8.477,8.479,8.478,8.477,8.476,8.473,8.478,8.482,8.474,5136118,16306190,8723592,11489568,10799218,11492111,13138604,14083957,12279887,12760912,14695726,14878497,9419,,,,,,,,,,,,,,98.26,99.71,99.50,99.01,99.47,99.48,98.97,99.45,99.43,99.36,99.16,99.81,93.11,12,12,12,14,13,13,12,14,14,15,12,13,7,
TG 18:1_18:1_18:2,C57 H102 O6,882.7685,0.36,0,14.00,0.038,11245964,13,0,99.7,3.1,13,21,882.7687,882.7683,882.7685,882.7688,882.7687,882.7685,882.7683,882.7684,882.7686,882.7690,882.7687,882.7688,882.7677,13.966,13.999,14.002,14.004,13.998,14.002,13.999,14.000,14.001,14.001,13.999,13.999,14.000,16203399,13221611,11691987,11471909,12765341,11913741,13091760,11909432,10576685,10876066,10892435,11562745,20431,,,,,,,,,,,,,,94.79,99.62,99.41,99.02,99.16,99.67,99.57,99.69,99.51,99.08,99.37,98.98,89.10,17,17,17,18,19,20,19,19,19,20,20,21,13,
PC 16:0_18:2,C42 H80 N O8 P,757.5630,0.84,0,7.54,0.062,9920249,13,0,99.9,11.5,4,15,757.5628,757.5628,757.5633,757.5630,757.5623,757.5626,757.5630,757.5633,757.5624,757.5627,757.5629,757.5630,757.5648,7.535,7.538,7.540,7.536,7.536,7.537,7.535,7.535,7.538,7.533,7.535,7.540,7.594,4584742,14254586,8547817,11242079,10376363,9097898,12374115,11383838,10684275,11705610,12215262,12491047,5618,,,,,,,,,,,,,,99.59,99.53,98.85,99.24,99.85,99.78,99.23,98.64,99.81,99.61,99.26,99.18,59.46,15,13,11,15,14,12,13,13,11,15,11,14,4,
TG 16:0_18:1_18:1,C55 H102 O6,858.7682,1.75,0,14.33,0.016,10576562,13,0,99.8,4.5,15,22,858.7635,858.7690,858.7685,858.7693,858.7689,858.7686,858.7694,858.7682,858.7687,858.7683,858.7685,858.7683,858.7675,14.314,14.328,14.329,14.327,14.328,14.325,14.328,14.329,14.329,14.329,14.323,14.328,14.323,18784144,10260809,11993059,10911721,11286927,10629036,11983842,10363477,10365434,10942827,10261109,9646006,66918,,,,,,,,,,,,,,83.66,99.04,99.67,98.49,99.32,99.61,99.07,99.63,99.53,99.74,99.26,99.76,96.05,19,17,21,22,18,19,20,20,18,19,16,19,15,
TG 18:1_18:2_18:2,C57 H100 O6,880.7527,0.26,0,13.52,0.057,11139314,13,0,99.8,1.8,10,21,880.7530,880.7527,880.7525,880.7524,880.7528,880.7525,880.7529,880.7531,880.7529,880.7527,880.7528,880.7526,880.7525,13.562,13.521,13.525,13.523,13.523,13.523,13.525,13.523,13.523,13.523,13.522,13.521,13.505,18243292,13382816,10576931,10220680,13193807,12225423,12999182,11475004,9544919,10260231,10603560,12072270,12972,,,,,,,,,,,,,,94.63,99.60,99.81,99.76,99.46,99.79,99.61,99.24,99.53,99.64,99.59,99.67,94.95,10,20,16,17,21,17,16,17,20,19,21,17,12,
TG 18:1_18:1_18:1,C57 H104 O6,884.7841,0.44,0,14.32,0.025,10358156,13,0,99.8,7.6,11,22,884.7844,884.7840,884.7841,884.7841,884.7838,884.7840,884.7840,884.7841,884.7850,884.7839,884.7843,884.7839,884.7832,14.303,14.325,14.322,14.322,14.326,14.326,14.317,14.324,14.326,14.328,14.328,14.326,14.323,17481045,11297618,10508971,10472383,11279782,10366209,11350202,10948513,10349499,10058429,10201774,10290947,50663,,,,,,,,,,,,,,72.68,99.66,99.58,99.57,99.61,99.53,99.47,99.42,98.54,99.69,99.44,99.79,99.11,11,18,20,20,20,21,17,19,22,18,21,21,16,
TG 16:0_18:2_18:2,C55 H98 O6,854.7373,0.47,0,13.54,0.018,8377441,13,0,99.8,3.6,11,22,854.7383,854.7372,854.7368,854.7373,854.7374,854.7371,854.7372,854.7374,854.7370,854.7372,854.7370,854.7371,854.7379,13.551,13.538,13.540,13.539,13.538,13.545,13.543,13.541,13.539,13.540,13.540,13.538,13.533,14506132,9417908,8083094,6711680,9776449,9386254,9985460,8312823,6958488,8617848,8154350,8979522,16729,,,,,,,,,,,,,,98.15,99.62,99.79,99.55,99.45,99.45,99.45,99.42,99.69,99.56,99.85,99.73,86.62,11,18,19,19,20,17,18,18,18,17,20,22,11,
TG 16:0_16:0_18:1,C53 H100 O6,832.7530,0.39,0,14.34,0.022,5071537,13,0,99.9,0.7,14,20,832.7535,832.7534,832.7531,832.7531,832.7531,832.7529,832.7533,832.7525,832.7533,832.7525,832.7531,832.7528,832.7527,14.345,14.337,14.339,14.338,14.337,14.337,14.338,14.337,14.338,14.340,14.334,14.334,14.323,12923465,4148158,5613973,4840099,4993351,4886644,5450272,4534542,4704108,5245254,4548728,3944829,96562,,,,,,,,,,,,,,98.16,99.25,99.19,99.56,99.46,99.34,99.21,99.65,99.47,99.85,99.47,99.81,97.56,15,17,19,18,18,19,18,19,17,18,18,20,14,
PC 16:0_18:1,C42 H82 N O8 P,759.5788,1.46,0,8.31,0.013,4707665,13,0,99.9,4.5,11,17,759.5783,759.5780,759.5784,759.5787,759.5789,759.5783,759.5789,759.5785,759.5784,759.5784,759.5790,759.5786,759.5824,8.299,8.312,8.309,8.305,8.304,8.307,8.307,8.305,8.306,8.305,8.308,8.309,8.301,1854229,7148845,3535679,5561974,4357732,3887325,6581053,4579427,5547222,5770674,6622292,5740575,12622,,,,,,,,,,,,,,99.46,99.85,99.89,99.71,99.23,99.70,99.26,99.78,99.62,99.58,99.32,99.65,83.48,17,15,16,17,13,15,15,13,14,15,15,13,11,
