"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Lung_01_1x_neg_081921_026,[Mass] Lung_02_redo_1x_neg_081921_038,[Mass] Lung_03_1x_neg_081921_21,[Mass] Lung_04_1x_neg_081921_032,[Mass] Lung_05_1x_neg_081921_027,[Mass] Lung_06_1x_neg_081921_034,[Mass] Lung_07_1x_neg_081921_033,[Mass] Lung_08_1x_neg_081921_20,[Mass] Lung_09_1x_neg_081921_037,[Mass] Lung_10_1x_neg_081921_22,[Mass] Lung_11_1x_neg_081921_031,[Mass] Lung_12_1x_neg_081921_19,[Mass] Lung_PB_1x_neg_081921_064,[RT] Lung_01_1x_neg_081921_026,[RT] Lung_02_redo_1x_neg_081921_038,[RT] Lung_03_1x_neg_081921_21,[RT] Lung_04_1x_neg_081921_032,[RT] Lung_05_1x_neg_081921_027,[RT] Lung_06_1x_neg_081921_034,[RT] Lung_07_1x_neg_081921_033,[RT] Lung_08_1x_neg_081921_20,[RT] Lung_09_1x_neg_081921_037,[RT] Lung_10_1x_neg_081921_22,[RT] Lung_11_1x_neg_081921_031,[RT] Lung_12_1x_neg_081921_19,[RT] Lung_PB_1x_neg_081921_064,[Height] Lung_01_1x_neg_081921_026,[Height] Lung_02_redo_1x_neg_081921_038,[Height] Lung_03_1x_neg_081921_21,[Height] Lung_04_1x_neg_081921_032,[Height] Lung_05_1x_neg_081921_027,[Height] Lung_06_1x_neg_081921_034,[Height] Lung_07_1x_neg_081921_033,[Height] Lung_08_1x_neg_081921_20,[Height] Lung_09_1x_neg_081921_037,[Height] Lung_10_1x_neg_081921_22,[Height] Lung_11_1x_neg_081921_031,[Height] Lung_12_1x_neg_081921_19,[Height] Lung_PB_1x_neg_081921_064,[Score (MFE)] Lung_01_1x_neg_081921_026,[Score (MFE)] Lung_02_redo_1x_neg_081921_038,[Score (MFE)] Lung_03_1x_neg_081921_21,[Score (MFE)] Lung_04_1x_neg_081921_032,[Score (MFE)] Lung_05_1x_neg_081921_027,[Score (MFE)] Lung_06_1x_neg_081921_034,[Score (MFE)] Lung_07_1x_neg_081921_033,[Score (MFE)] Lung_08_1x_neg_081921_20,[Score (MFE)] Lung_09_1x_neg_081921_037,[Score (MFE)] Lung_10_1x_neg_081921_22,[Score (MFE)] Lung_11_1x_neg_081921_031,[Score (MFE)] Lung_12_1x_neg_081921_19,[Score (MFE)] Lung_PB_1x_neg_081921_064,[Score (Tgt)] Lung_01_1x_neg_081921_026,[Score (Tgt)] Lung_02_redo_1x_neg_081921_038,[Score (Tgt)] Lung_03_1x_neg_081921_21,[Score (Tgt)] Lung_04_1x_neg_081921_032,[Score (Tgt)] Lung_05_1x_neg_081921_027,[Score (Tgt)] Lung_06_1x_neg_081921_034,[Score (Tgt)] Lung_07_1x_neg_081921_033,[Score (Tgt)] Lung_08_1x_neg_081921_20,[Score (Tgt)] Lung_09_1x_neg_081921_037,[Score (Tgt)] Lung_10_1x_neg_081921_22,[Score (Tgt)] Lung_11_1x_neg_081921_031,[Score (Tgt)] Lung_12_1x_neg_081921_19,[Score (Tgt)] Lung_PB_1x_neg_081921_064,[Ions] Lung_01_1x_neg_081921_026,[Ions] Lung_02_redo_1x_neg_081921_038,[Ions] Lung_03_1x_neg_081921_21,[Ions] Lung_04_1x_neg_081921_032,[Ions] Lung_05_1x_neg_081921_027,[Ions] Lung_06_1x_neg_081921_034,[Ions] Lung_07_1x_neg_081921_033,[Ions] Lung_08_1x_neg_081921_20,[Ions] Lung_09_1x_neg_081921_037,[Ions] Lung_10_1x_neg_081921_22,[Ions] Lung_11_1x_neg_081921_031,[Ions] Lung_12_1x_neg_081921_19,[Ions] Lung_PB_1x_neg_081921_064,
PG 16:0_16:1,C38 H73 O10 P,720.4952,2.22,0,6.90,0.044,15050770,13,0,99.9,13.9,3,14,720.4944,720.4950,720.4944,720.4950,720.4946,720.4944,720.4946,720.4953,720.4948,720.4951,720.4949,720.4949,720.5004,6.897,6.902,6.900,6.902,6.898,6.896,6.902,6.901,6.899,6.892,6.895,6.896,6.858,15775409,16891538,16331084,16409588,16105721,16799057,13112429,15804921,17271886,17711304,16628803,16700200,118072,,,,,,,,,,,,,,99.89,99.07,99.86,99.10,99.74,99.90,99.57,98.76,99.37,99.15,99.29,99.37,51.31,14,13,14,11,14,14,11,13,12,11,11,12,3,
PI 18:0_20:4,C47 H83 O13 P,886.5579,0.69,0,7.55,0.061,9846415,13,0,99.9,6.4,3,15,886.5577,886.5573,886.5585,886.5585,886.5575,886.5577,886.5579,886.5575,886.5582,886.5575,886.5577,886.5573,886.5594,7.550,7.549,7.552,7.554,7.551,7.553,7.554,7.554,7.558,7.554,7.553,7.554,7.497,10311472,10830791,10383340,10888088,10541951,10659913,9719495,10822295,10813079,11242839,10917698,10867601,4839,,,,,,,,,,,,,,99.70,99.87,98.58,98.75,99.80,99.69,99.52,99.87,99.13,99.82,99.70,99.91,76.89,10,13,10,12,14,12,9,15,9,12,12,11,3,
PS 18:0_22:6,C46 H78 N O10 P,835.5371,0.27,0,7.40,0.032,7422921,13,0,97.8,0.7,4,18,835.5372,835.5372,835.5375,835.5371,835.5370,835.5369,835.5374,835.5368,835.5371,835.5369,835.5373,835.5369,835.5369,7.395,7.397,7.396,7.392,7.400,7.397,7.387,7.398,7.402,7.404,7.398,7.404,7.419,7956465,8364234,7857220,8076255,7729494,8292075,7588053,7806113,8300320,8438088,8004149,8081222,4289,,,,,,,,,,,,,,97.28,95.88,96.19,96.81,97.84,97.29,96.48,97.10,96.71,96.10,96.90,95.36,97.07,17,15,16,12,14,15,17,16,14,15,18,13,4,
PG 16:0_22:5,C44 H77 O10 P,796.5261,0.75,0,6.87,0.029,5610107,13,0,96.8,9.4,1,15,796.5258,796.5261,796.5261,796.5269,796.5255,796.5261,796.5262,796.5262,796.5267,796.5262,796.5267,796.5259,796.5245,6.864,6.863,6.866,6.867,6.865,6.867,6.863,6.868,6.866,6.864,6.867,6.863,6.892,6104101,6088839,6298169,5762748,6166204,6019908,5514686,6237190,6035872,6264500,6412056,6009177,17951,,,,,,,,,,,,,,95.78,96.37,96.66,94.76,96.80,96.05,96.29,96.08,95.02,95.90,94.02,96.64,64.48,14,14,14,14,14,14,14,15,15,14,10,13,1,
PG 16:0_20:4,C42 H75 O10 P,770.5107,1.55,0,6.86,0.007,5941623,13,0,99.8,11.4,2,14,770.5099,770.5102,770.5103,770.5107,770.5097,770.5102,770.5104,770.5103,770.5107,770.5105,770.5107,770.5103,770.5145,6.858,6.857,6.860,6.857,6.859,6.861,6.857,6.862,6.860,6.859,6.862,6.857,6.864,6353575,6552535,5955323,6210083,6577283,6389505,6387092,6842501,6262122,6304524,6820175,6463777,122615,,,,,,,,,,,,,,99.54,99.55,99.59,98.98,99.81,99.44,99.45,99.46,98.93,99.07,98.95,99.53,59.66,13,10,12,11,13,12,14,13,11,10,12,11,2,
EtherPE 16:1e_22:6,C43 H74 N O7 P,747.5222,2.11,0,7.75,0.023,6498454,13,0,83.1,7.4,2,13,747.5229,747.5232,747.5221,747.5232,747.5228,747.5225,747.5224,747.5229,747.5207,747.5237,747.5236,747.5206,747.5181,7.750,7.753,7.749,7.749,7.751,7.754,7.744,7.749,7.759,7.754,7.748,7.755,7.736,6848303,7145846,6539841,7120601,6898015,6861107,6434404,7214237,7439588,7497753,7351268,7118256,10692,,,,,,,,,,,,,,80.74,71.20,73.23,72.50,83.14,78.02,72.81,68.10,75.69,72.53,66.41,66.77,66.27,13,12,11,12,11,9,9,12,10,11,10,9,2,
EtherPE 16:1e_20:4,C41 H74 N O7 P,723.5212,2.49,0,8.07,0.101,4757400,13,0,99.9,22.1,1,16,723.5209,723.5205,723.5206,723.5208,723.5207,723.5208,723.5209,723.5206,723.5206,723.5208,723.5211,723.5206,723.5272,8.063,8.067,8.063,8.067,8.066,8.066,8.061,8.067,8.071,8.071,8.066,8.067,8.162,4903379,5161570,4795295,5295296,5159883,5220504,4416456,5450634,4912437,5835755,5393402,5299671,1927,,,,,,,,,,,,,,99.62,99.89,99.85,99.65,99.79,99.75,99.55,99.83,99.78,99.60,99.35,99.82,24.92,15,13,12,14,13,11,12,14,14,12,16,13,1,
PC 16:0_16:0,C40 H80 N O8 P,733.5625,0.30,0,8.28,0.038,4669155,13,0,99.5,10.4,3,14,733.5627,733.5626,733.5625,733.5625,733.5626,733.5626,733.5625,733.5625,733.5630,733.5626,733.5625,733.5624,733.5620,8.286,8.279,8.288,8.284,8.281,8.283,8.284,8.284,8.294,8.272,8.278,8.279,8.256,5134381,5213525,5179190,5140953,5231442,5205390,4596421,5093649,4949585,4980373,4798207,5174387,1520,,,,,,,,,,,,,,99.27,98.70,99.45,99.25,98.92,99.07,99.26,99.27,99.34,97.91,98.65,98.84,63.01,13,11,10,10,13,13,14,11,14,13,14,12,3,
PC 16:0_16:1,C40 H78 N O8 P,731.5470,0.27,0,7.49,0.008,4615901,12,1,99.9,0.2,8,12,731.5467,731.5472,731.5473,731.5469,731.5470,731.5468,731.5472,731.5470,731.5473,731.5470,731.5472,731.5471,,7.483,7.487,7.485,7.487,7.484,7.486,7.487,7.487,7.491,7.487,7.486,7.488,,4416962,4796731,4695232,4372723,4726554,4943947,3857966,4429889,4957692,4704955,4728179,4759986,,,,,,,,,,,,,,,99.86,99.35,99.34,99.58,99.67,99.50,99.27,99.52,98.95,99.48,99.32,99.35,,12,8,10,9,9,9,11,10,10,10,10,10,,
PE 18:0_22:6,C45 H78 N O8 P,791.5472,0.30,0,8.28,0.060,3491980,13,0,98.6,10.9,1,18,791.5471,791.5473,791.5471,791.5473,791.5471,791.5468,791.5468,791.5474,791.5477,791.5474,791.5475,791.5473,791.5471,8.280,8.285,8.282,8.279,8.287,8.289,8.273,8.284,8.287,8.289,8.284,8.290,8.334,3317624,3819708,3561333,3622736,3930621,3756076,3665601,3741065,4151133,4122934,3886676,3818282,1955,,,,,,,,,,,,,,97.23,98.38,98.55,97.84,97.15,98.43,98.65,98.56,97.93,98.42,97.93,98.07,60.65,16,18,16,18,15,17,16,16,15,17,18,18,1,
PC 16:0_18:2,C42 H80 N O8 P,757.5627,0.65,0,7.58,0.050,3675850,13,0,99.9,4.3,3,13,757.5625,757.5626,757.5629,757.5625,757.5626,757.5624,757.5628,757.5623,757.5630,757.5625,757.5627,757.5625,757.5642,7.583,7.583,7.585,7.582,7.584,7.585,7.580,7.582,7.586,7.582,7.581,7.582,7.536,3713255,4203066,3807799,3901951,4170111,4096127,3409561,4013005,4199728,4199148,3947767,4119012,5528,,,,,,,,,,,,,,99.75,99.73,99.36,99.77,99.63,99.71,99.64,99.86,99.17,99.83,99.69,99.82,84.32,12,12,13,13,13,13,11,11,13,12,12,11,3,
SM d42:2,C47 H93 N2 O6 P,812.6773,1.63,0,10.08,0.073,3725013,13,0,99.8,13.9,2,13,812.6779,812.6776,812.6776,812.6776,812.6774,812.6776,812.6777,812.6774,812.6775,812.6778,812.6777,812.6778,812.6729,10.078,10.074,10.076,10.078,10.077,10.077,10.079,10.076,10.077,10.079,10.073,10.073,10.145,3817018,4278268,3741516,4176009,3986463,4086986,3363731,4245939,3998582,4405136,4101019,4219909,4594,,,,,,,,,,,,,,99.57,99.70,99.74,99.80,99.85,99.78,99.74,99.82,99.84,99.66,99.55,99.49,51.58,10,11,11,11,11,12,13,12,11,12,12,9,2,
PE 16:0_22:6,C43 H74 N O8 P,763.5156,0.26,0,7.33,0.009,3562097,12,1,99.9,0.2,12,15,763.5155,763.5157,763.5156,763.5155,763.5157,763.5153,763.5156,763.5159,763.5157,763.5160,763.5154,763.5157,,7.327,7.331,7.329,7.331,7.333,7.330,7.326,7.331,7.335,7.332,7.330,7.331,,3238202,3553335,3509381,3562630,3816422,3521869,3119070,3690942,3601785,3856112,3626787,3648640,,,,,,,,,,,,,,,99.77,99.64,99.81,99.83,99.69,99.87,99.73,99.50,99.65,99.37,99.92,99.63,,13,14,14,14,14,12,13,13,14,14,13,15,,
PE 18:0_20:4,C43 H78 N O8 P,767.5469,0.40,0,8.56,0.068,3157666,13,0,99.9,2.9,4,16,767.5471,767.5468,767.5469,767.5470,767.5472,767.5470,767.5471,767.5470,767.5472,767.5470,767.5471,767.5467,767.5461,8.559,8.563,8.560,8.563,8.565,8.562,8.557,8.563,8.567,8.568,8.562,8.563,8.500,3400728,3363433,3146298,3370986,3532813,3725782,3423067,3569766,3793311,2668736,3575928,3473106,5712,,,,,,,,,,,,,,99.61,99.85,99.78,99.73,99.49,99.72,99.57,99.70,99.48,99.71,99.59,99.92,89.32,16,16,16,15,13,15,15,14,16,15,15,16,4,
PG 16:0_18:2,C40 H75 O10 P,746.5103,0.82,0,6.93,0.077,9742601,13,0,90.7,12.9,2,15,746.5097,746.5104,746.5102,746.5106,746.5090,746.5106,746.5105,746.5103,746.5106,746.5097,746.5106,746.5097,746.5114,6.936,6.930,6.933,6.935,6.932,6.928,6.941,6.929,6.933,6.926,6.934,6.930,6.864,9734148,11865146,9742649,10077273,10242085,10485711,7826852,11011046,11304113,11767993,10639060,11873662,84075,,,,,,,,,,,,,,90.17,88.30,89.76,88.89,89.06,86.78,90.74,88.47,89.26,88.08,89.56,89.13,49.28,15,11,9,14,10,9,13,13,10,9,9,11,2,
PS 18:0_18:1,C42 H80 N O10 P,789.5524,0.15,0,8.63,0.039,3032507,13,0,99.5,8.8,2,15,789.5526,789.5523,789.5524,789.5523,789.5526,789.5524,789.5524,789.5524,789.5525,789.5525,789.5523,789.5523,789.5522,8.620,8.630,8.633,8.627,8.621,8.623,8.615,8.635,8.628,8.636,8.624,8.641,8.654,3538084,3987824,3107537,3822885,2243970,3598117,2957869,2336537,3722476,4158093,3488345,2457930,2930,,,,,,,,,,,,,,97.06,98.55,98.86,98.24,97.25,97.63,96.47,99.01,98.30,98.99,97.83,99.48,67.97,14,14,13,15,14,15,14,15,15,15,14,14,2,
