"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] Lung_01_35x_pos_081821_026,[Mass] Lung_02_35x_pos_081821_034,[Mass] Lung_03_35x_pos_081821_19,[Mass] Lung_04_35x_pos_081821_027,[Mass] Lung_05_35x_pos_081821_031,[Mass] Lung_06_35x_pos_081821_028,[Mass] Lung_07_35x_pos_081821_21,[Mass] Lung_08_35x_pos_081821_22,[Mass] Lung_09_35x_pos_081821_037,[Mass] Lung_10_35x_pos_081821_025,[Mass] Lung_11_35x_pos_081821_033,[Mass] Lung_12_35x_pos_081821_20,[Mass] PB_35x_pos_081821_032,[RT] Lung_01_35x_pos_081821_026,[RT] Lung_02_35x_pos_081821_034,[RT] Lung_03_35x_pos_081821_19,[RT] Lung_04_35x_pos_081821_027,[RT] Lung_05_35x_pos_081821_031,[RT] Lung_06_35x_pos_081821_028,[RT] Lung_07_35x_pos_081821_21,[RT] Lung_08_35x_pos_081821_22,[RT] Lung_09_35x_pos_081821_037,[RT] Lung_10_35x_pos_081821_025,[RT] Lung_11_35x_pos_081821_033,[RT] Lung_12_35x_pos_081821_20,[RT] PB_35x_pos_081821_032,[Height] Lung_01_35x_pos_081821_026,[Height] Lung_02_35x_pos_081821_034,[Height] Lung_03_35x_pos_081821_19,[Height] Lung_04_35x_pos_081821_027,[Height] Lung_05_35x_pos_081821_031,[Height] Lung_06_35x_pos_081821_028,[Height] Lung_07_35x_pos_081821_21,[Height] Lung_08_35x_pos_081821_22,[Height] Lung_09_35x_pos_081821_037,[Height] Lung_10_35x_pos_081821_025,[Height] Lung_11_35x_pos_081821_033,[Height] Lung_12_35x_pos_081821_20,[Height] PB_35x_pos_081821_032,[Score (MFE)] Lung_01_35x_pos_081821_026,[Score (MFE)] Lung_02_35x_pos_081821_034,[Score (MFE)] Lung_03_35x_pos_081821_19,[Score (MFE)] Lung_04_35x_pos_081821_027,[Score (MFE)] Lung_05_35x_pos_081821_031,[Score (MFE)] Lung_06_35x_pos_081821_028,[Score (MFE)] Lung_07_35x_pos_081821_21,[Score (MFE)] Lung_08_35x_pos_081821_22,[Score (MFE)] Lung_09_35x_pos_081821_037,[Score (MFE)] Lung_10_35x_pos_081821_025,[Score (MFE)] Lung_11_35x_pos_081821_033,[Score (MFE)] Lung_12_35x_pos_081821_20,[Score (MFE)] PB_35x_pos_081821_032,[Score (Tgt)] Lung_01_35x_pos_081821_026,[Score (Tgt)] Lung_02_35x_pos_081821_034,[Score (Tgt)] Lung_03_35x_pos_081821_19,[Score (Tgt)] Lung_04_35x_pos_081821_027,[Score (Tgt)] Lung_05_35x_pos_081821_031,[Score (Tgt)] Lung_06_35x_pos_081821_028,[Score (Tgt)] Lung_07_35x_pos_081821_21,[Score (Tgt)] Lung_08_35x_pos_081821_22,[Score (Tgt)] Lung_09_35x_pos_081821_037,[Score (Tgt)] Lung_10_35x_pos_081821_025,[Score (Tgt)] Lung_11_35x_pos_081821_033,[Score (Tgt)] Lung_12_35x_pos_081821_20,[Score (Tgt)] PB_35x_pos_081821_032,[Ions] Lung_01_35x_pos_081821_026,[Ions] Lung_02_35x_pos_081821_034,[Ions] Lung_03_35x_pos_081821_19,[Ions] Lung_04_35x_pos_081821_027,[Ions] Lung_05_35x_pos_081821_031,[Ions] Lung_06_35x_pos_081821_028,[Ions] Lung_07_35x_pos_081821_21,[Ions] Lung_08_35x_pos_081821_22,[Ions] Lung_09_35x_pos_081821_037,[Ions] Lung_10_35x_pos_081821_025,[Ions] Lung_11_35x_pos_081821_033,[Ions] Lung_12_35x_pos_081821_20,[Ions] PB_35x_pos_081821_032,
PC 16:0_16:0,C40 H80 N O8 P,733.5628,0.36,0,8.25,0.024,15806365,13,0,99.8,2.1,7,20,733.5630,733.5627,733.5629,733.5631,733.5629,733.5631,733.5628,733.5630,733.5630,733.5625,733.5628,733.5628,733.5622,8.248,8.254,8.250,8.248,8.244,8.251,8.250,8.239,8.239,8.233,8.230,8.249,8.231,18265499,7453282,18016780,18069098,18091556,18221705,16323551,18181043,18276094,18364212,18076876,18130244,12813,,,,,,,,,,,,,,99.39,99.76,99.35,98.94,99.14,99.46,99.51,98.88,99.04,98.71,98.05,99.42,91.69,16,17,16,20,16,18,17,19,18,18,18,16,7,
PC 16:0_18:2,C42 H80 N O8 P,757.5629,0.43,0,7.52,0.039,11633790,13,0,99.9,7.2,7,18,757.5633,757.5628,757.5630,757.5628,757.5624,757.5631,757.5626,757.5631,757.5628,757.5626,757.5636,757.5633,757.5628,7.522,7.521,7.521,7.521,7.521,7.522,7.519,7.520,7.521,7.520,7.522,7.520,7.559,12560731,6316085,11352773,12852140,12660636,13520323,10364258,13969621,14780617,14731740,13893410,14225273,11668,,,,,,,,,,,,,,98.81,99.48,99.23,99.52,99.85,99.14,99.52,98.95,99.43,99.73,98.34,98.65,74.15,14,14,18,13,15,16,12,15,14,14,15,15,7,
TG 16:0_18:1_18:2,C55 H100 O6,856.7527,0.40,0,14.01,0.009,11358094,13,0,99.9,1.1,13,22,856.7526,856.7532,856.7525,856.7530,856.7530,856.7526,856.7526,856.7525,856.7531,856.7529,856.7527,856.7526,856.7519,14.009,14.011,14.007,14.008,14.008,14.009,14.009,14.004,14.008,14.009,14.007,14.008,14.014,8958694,14243884,11683691,13306122,8134763,10362982,14047912,15523918,15787045,16969702,13672013,4949052,15449,,,,,,,,,,,,,,99.88,99.31,99.82,99.41,99.55,99.68,99.83,99.83,99.28,99.61,99.63,99.79,95.60,20,21,21,21,20,19,21,19,21,20,20,22,13,
PC 16:0_16:1,C40 H78 N O8 P,731.5472,1.40,0,7.44,0.048,9974181,13,0,99.8,6.8,6,18,731.5472,731.5470,731.5474,731.5477,731.5472,731.5473,731.5479,731.5476,731.5471,731.5476,731.5472,731.5478,731.5439,7.442,7.443,7.442,7.441,7.442,7.444,7.443,7.443,7.443,7.443,7.445,7.442,7.397,10999517,1489743,10498018,11597690,10564392,12715720,7779121,11389619,13783220,13432776,12896093,12514674,3780,,,,,,,,,,,,,,99.40,99.77,99.23,98.43,99.31,99.35,98.57,99.01,99.52,98.99,99.41,98.33,75.34,13,18,13,11,13,11,16,13,14,12,13,11,6,
TG 16:0_18:1_18:1,C55 H102 O6,858.7684,0.48,0,14.32,0.009,10774918,13,0,99.8,0.5,15,22,858.7682,858.7683,858.7675,858.7682,858.7686,858.7685,858.7691,858.7687,858.7687,858.7684,858.7687,858.7682,858.7679,14.314,14.317,14.316,14.316,14.316,14.315,14.317,14.313,14.309,14.315,14.310,14.316,14.315,9237082,12954111,10524396,11739797,8324991,9565836,13558726,14488675,14233317,16276767,12803548,6312691,53998,,,,,,,,,,,,,,99.66,99.82,99.76,99.61,99.46,99.61,99.11,99.43,99.20,99.57,99.46,99.81,98.11,18,21,17,19,19,16,22,19,18,21,20,18,15,
PC 16:0_18:1,C42 H82 N O8 P,759.5787,0.72,0,8.30,0.073,8187078,13,0,99.8,6.9,9,17,759.5784,759.5785,759.5784,759.5785,759.5787,759.5786,759.5791,759.5784,759.5786,759.5786,759.5787,759.5786,759.5805,8.298,8.290,8.300,8.298,8.299,8.301,8.289,8.300,8.299,8.300,8.302,8.305,8.231,9027032,4415419,8372429,9432467,8411206,8915794,8027035,9533818,10495791,10333557,9976590,9481563,9316,,,,,,,,,,,,,,99.82,99.45,99.68,99.66,99.52,99.52,99.21,99.75,99.61,99.68,99.37,99.63,75.24,17,13,15,15,17,17,15,15,13,15,17,15,9,
TG 16:0_16:0_18:1,C53 H100 O6,832.7528,0.40,0,14.33,0.014,7238371,13,0,99.9,0.9,12,20,832.7529,832.7528,832.7526,832.7529,832.7529,832.7529,832.7535,832.7529,832.7529,832.7528,832.7531,832.7524,832.7521,14.324,14.329,14.326,14.323,14.325,14.325,14.328,14.327,14.326,14.329,14.325,14.321,14.315,6589771,7756630,7696558,7882045,5732269,6788905,8100317,10253649,8337153,11836357,8508190,4507593,109395,,,,,,,,,,,,,,99.37,99.62,99.65,99.65,99.65,99.86,99.24,99.34,99.21,99.41,99.48,99.54,96.49,20,17,18,17,19,18,18,17,16,18,17,18,12,
TG 18:1_18:1_18:1,C57 H104 O6,884.7839,0.35,0,14.32,0.017,7639350,13,0,99.9,0.5,14,22,884.7839,884.7840,884.7837,884.7838,884.7840,884.7841,884.7846,884.7840,884.7839,884.7838,884.7841,884.7838,884.7832,14.318,14.306,14.320,14.318,14.320,14.319,14.316,14.319,14.320,14.304,14.321,14.321,14.315,5670626,9551389,6152473,8186255,5543094,6366555,10655633,9311765,12290221,11449777,9444570,4647964,41235,,,,,,,,,,,,,,99.92,99.24,99.80,99.81,99.75,99.60,99.08,99.37,99.74,98.91,99.60,99.88,98.07,18,21,20,21,20,17,20,19,20,22,20,19,14,
TG 18:1_18:1_18:2,C57 H102 O6,882.7684,0.20,0,13.98,0.012,6943638,13,0,99.8,1.3,9,21,882.7681,882.7685,882.7683,882.7686,882.7687,882.7684,882.7682,882.7684,882.7683,882.7686,882.7686,882.7683,882.7683,13.986,13.985,13.987,13.986,13.991,13.989,13.984,13.982,13.983,13.978,13.984,13.990,13.980,4420981,10418619,5603838,7497662,4030519,5083564,10296663,9236290,12114186,11045339,8046351,2466952,6334,,,,,,,,,,,,,,99.75,99.44,99.67,99.64,99.42,99.71,99.67,99.40,99.62,99.04,99.50,99.71,94.92,20,20,20,20,17,19,21,20,18,20,19,20,9,
TG 16:0_18:2_18:2,C55 H98 O6,854.7371,0.41,0,13.52,0.006,6812749,13,0,99.9,0.8,11,21,854.7369,854.7372,854.7372,854.7373,854.7370,854.7370,854.7372,854.7375,854.7375,854.7372,854.7372,854.7369,854.7361,13.520,13.522,13.523,13.521,13.521,13.522,13.525,13.522,13.521,13.524,13.523,13.519,13.522,4207590,8728654,6571895,7864907,3666680,5531035,7532847,10910031,11559662,12106045,7995251,1881966,9175,,,,,,,,,,,,,,99.85,99.65,99.57,99.54,99.83,99.67,99.68,99.22,99.37,99.62,99.44,99.78,96.82,20,19,18,16,20,15,18,21,21,21,18,21,11,
