Name,Formula,Mass (avg),"RSD (Mass, ppm)",Saturated,RT (avg),RT (span),Height (avg),Found,Missed,"Score (Tgt, max)",%RSD (Tgt),Ions (min),Ions (max),[Mass] eWAT_01_150x_pos_082121_031,[Mass] eWAT_02_150x_pos_082121_034,[Mass] eWAT_03_150x_pos_082121_026,[Mass] eWAT_04_150x_pos_082121_21,[Mass] eWAT_05_150x_pos_082121_027,[Mass] eWAT_06_150x_pos_082121_19,[Mass] eWAT_07_150x_pos_082121_032,[Mass] eWAT_08_150x_pos_082121_025,[Mass] eWAT_09_150x_pos_082121_22,[Mass] eWAT_10_150x_pos_082121_037,[Mass] eWAT_11_150x_pos_082121_033,[Mass] eWAT_12_150x_pos_082121_028,[Mass] eWAT_PB_150x_pos_082121_038,[RT] eWAT_01_150x_pos_082121_031,[RT] eWAT_02_150x_pos_082121_034,[RT] eWAT_03_150x_pos_082121_026,[RT] eWAT_04_150x_pos_082121_21,[RT] eWAT_05_150x_pos_082121_027,[RT] eWAT_06_150x_pos_082121_19,[RT] eWAT_07_150x_pos_082121_032,[RT] eWAT_08_150x_pos_082121_025,[RT] eWAT_09_150x_pos_082121_22,[RT] eWAT_10_150x_pos_082121_037,[RT] eWAT_11_150x_pos_082121_033,[RT] eWAT_12_150x_pos_082121_028,[RT] eWAT_PB_150x_pos_082121_038,[Height] eWAT_01_150x_pos_082121_031,[Height] eWAT_02_150x_pos_082121_034,[Height] eWAT_03_150x_pos_082121_026,[Height] eWAT_04_150x_pos_082121_21,[Height] eWAT_05_150x_pos_082121_027,[Height] eWAT_06_150x_pos_082121_19,[Height] eWAT_07_150x_pos_082121_032,[Height] eWAT_08_150x_pos_082121_025,[Height] eWAT_09_150x_pos_082121_22,[Height] eWAT_10_150x_pos_082121_037,[Height] eWAT_11_150x_pos_082121_033,[Height] eWAT_12_150x_pos_082121_028,[Height] eWAT_PB_150x_pos_082121_038,[Score (MFE)] eWAT_01_150x_pos_082121_031,[Score (MFE)] eWAT_02_150x_pos_082121_034,[Score (MFE)] eWAT_03_150x_pos_082121_026,[Score (MFE)] eWAT_04_150x_pos_082121_21,[Score (MFE)] eWAT_05_150x_pos_082121_027,[Score (MFE)] eWAT_06_150x_pos_082121_19,[Score (MFE)] eWAT_07_150x_pos_082121_032,[Score (MFE)] eWAT_08_150x_pos_082121_025,[Score (MFE)] eWAT_09_150x_pos_082121_22,[Score (MFE)] eWAT_10_150x_pos_082121_037,[Score (MFE)] eWAT_11_150x_pos_082121_033,[Score (MFE)] eWAT_12_150x_pos_082121_028,[Score (MFE)] eWAT_PB_150x_pos_082121_038,[Score (Tgt)] eWAT_01_150x_pos_082121_031,[Score (Tgt)] eWAT_02_150x_pos_082121_034,[Score (Tgt)] eWAT_03_150x_pos_082121_026,[Score (Tgt)] eWAT_04_150x_pos_082121_21,[Score (Tgt)] eWAT_05_150x_pos_082121_027,[Score (Tgt)] eWAT_06_150x_pos_082121_19,[Score (Tgt)] eWAT_07_150x_pos_082121_032,[Score (Tgt)] eWAT_08_150x_pos_082121_025,[Score (Tgt)] eWAT_09_150x_pos_082121_22,[Score (Tgt)] eWAT_10_150x_pos_082121_037,[Score (Tgt)] eWAT_11_150x_pos_082121_033,[Score (Tgt)] eWAT_12_150x_pos_082121_028,[Score (Tgt)] eWAT_PB_150x_pos_082121_038,[Ions] eWAT_01_150x_pos_082121_031,[Ions] eWAT_02_150x_pos_082121_034,[Ions] eWAT_03_150x_pos_082121_026,[Ions] eWAT_04_150x_pos_082121_21,[Ions] eWAT_05_150x_pos_082121_027,[Ions] eWAT_06_150x_pos_082121_19,[Ions] eWAT_07_150x_pos_082121_032,[Ions] eWAT_08_150x_pos_082121_025,[Ions] eWAT_09_150x_pos_082121_22,[Ions] eWAT_10_150x_pos_082121_037,[Ions] eWAT_11_150x_pos_082121_033,[Ions] eWAT_12_150x_pos_082121_028,[Ions] eWAT_PB_150x_pos_082121_038
TG 15:0_18:1(d7)_15:0, C51 H89 D7 O6,811.7649,0.01,0,13.911,0.015,22909,12,1,100,0,1,3,811.7647,811.7647,811.7663,811.767,811.7633,811.7661,811.7651,811.7647,811.7654,811.7625,811.7639,811.7656,,13.916,13.913,13.918,13.911,13.908,13.904,13.909,13.916,13.903,13.912,13.912,13.913,,23676,24919,34175,20246,20813,19384,25206,14765,22313,27695,19253,22457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 18:1_18:1_18:2,C57 H102 O6,882.7686,0.41,0,13.94,0.024,16069026,13,0,99,0.4,14,22,882.7686,882.7688,882.7691,882.7688,882.7684,882.7689,882.7685,882.7685,882.7687,882.7687,882.7689,882.7685,882.7677,13.939,13.938,13.945,13.946,13.931,13.942,13.936,13.94,13.939,13.934,13.939,13.936,13.955,17577641,17087520,17013835,18539121,15288720,17409699,18423794,15154590,18621994,18057092,17754585,17879487,89263,,,,,,,,,,,,,,98.5,98.42,98.14,99,97.42,98.32,98.37,98.53,98.28,97.8,98.02,98.17,97.86,15,18,22,21,14,22,17,21,19,20,18,18,15
TG 16:0_18:1_18:1,C55 H102 O6,858.7687,0.45,0,14.3,0.014,17096723,13,0,99.5,0.4,14,20,858.7687,858.7688,858.7685,858.7687,858.7689,858.769,858.7686,858.7686,858.7691,858.7691,858.7689,858.7686,858.7676,14.298,14.29,14.292,14.298,14.3,14.299,14.3,14.298,14.29,14.286,14.292,14.293,14.295,18273832,18639483,18288901,18552147,18545518,18819606,18492282,18113518,18270565,19227796,18176895,18638021,218838,,,,,,,,,,,,,,99.54,98.77,99.04,99.54,98.61,99.07,99.53,99.32,99.12,98.06,98.77,99.08,98.82,16,17,18,18,18,18,17,16,20,17,17,16,14
TG 16:0_18:1_18:2,C55 H100 O6,856.753,0.4,0,14,0.034,17324950,13,0,99.7,0.5,12,20,856.7531,856.753,856.7527,856.7534,856.7529,856.7529,856.753,856.7537,856.753,856.7534,856.7529,856.7528,856.7524,13.989,14,13.99,13.997,14.004,13.986,13.998,13.996,13.978,14.001,14,13.969,13.977,18987623,18341987,19286258,19346141,18228244,19088456,17978064,18958042,18879296,18603704,18943563,18432821,150159,,,,,,,,,,,,,,99.42,98.62,99.67,98.57,98.57,99.7,99,98.51,99.57,98.39,98.62,99.18,99.48,16,19,16,20,18,19,20,17,16,20,19,17,12
TG 18:1_18:2_18:2,C57 H100 O6,880.7529,0.49,0,13.48,0.044,17324875,13,0,99.4,1.5,16,20,880.7531,880.753,880.7529,880.7528,880.7529,880.7535,880.7531,880.7531,880.7535,880.7528,880.753,880.7529,880.7517,13.485,13.497,13.481,13.472,13.462,13.478,13.506,13.481,13.482,13.481,13.485,13.489,13.475,18633150,18701167,18626833,18956228,19125806,17905612,18734396,18384323,19026568,19618397,18251573,19180332,78997,,,,,,,,,,,,,,98.66,99.24,98.6,97.86,95.85,97.82,99.43,98.85,98.13,98.68,99.18,99.15,94.17,19,16,17,18,16,16,20,16,17,16,16,18,16
TG 18:1_18:1_18:1,C57 H104 O6,884.7843,0.54,0,14.27,0.031,15247076,13,0,99.5,6.4,12,19,884.7844,884.7848,884.784,884.7845,884.7848,884.7844,884.7843,884.7838,884.7849,884.7843,884.7845,884.7846,884.7831,14.276,14.268,14.27,14.27,14.272,14.277,14.272,14.276,14.268,14.264,14.275,14.271,14.295,16362148,17577153,15471000,15897479,17925177,15218410,16607642,15691841,16351556,19158164,15481191,16337652,132581,,,,,,,,,,,,,,98.28,96.17,98.32,97.82,87.02,98.23,98.05,99.05,97.11,78.16,98.47,97.92,99.54,18,18,19,17,12,16,18,18,13,14,18,17,16
TG 16:0_18:2_18:2,C55 H98 O6,854.7374,0.49,0,13.52,0.048,17199781,13,0,99.7,1.1,12,20,854.7371,854.7374,854.7377,854.7377,854.7371,854.7378,854.7374,854.7371,854.7376,854.7373,854.7376,854.7376,854.7362,13.519,13.519,13.515,13.528,13.54,13.517,13.517,13.526,13.516,13.531,13.519,13.528,13.492,18728029,18465678,18954291,18843154,16458442,19169031,18511229,18712218,18701369,19575723,18690695,18712525,74781,,,,,,,,,,,,,,99.54,98.89,98.11,99.37,99.19,98.96,99.09,99.36,98.92,99.71,99.09,99.25,95.61,20,18,16,18,18,18,16,13,18,20,20,20,12
TG 16:1_18:1_18:2,C55 H98 O6,854.7371,0.55,0,13.42,0.105,14153154,8,5,99.6,8.3,12,20,854.737,854.737,854.7369,,,854.7378,854.737,,854.737,,854.7376,,854.7362,13.424,13.419,13.414,,,13.517,13.422,,13.416,,13.519,,13.492,14676341,16465262,14521763,,,18954807,15133380,,14702370,,18696723,,74594,,,,,,,,,,,,,,99.59,99.11,99.47,,,82.98,98.95,,99.46,,82.63,,88.65,18,18,19,,,18,18,,16,,20,,12
TG 18:1_18:2_18:3,C57 H98 O6,878.7372,0.54,0,12.99,0.027,17781088,13,0,99.8,1.4,12,21,878.7372,878.7371,878.7367,878.7374,878.7374,878.7375,878.7374,878.7371,878.7373,878.7373,878.7376,878.7375,878.7358,12.993,12.995,12.99,12.981,12.971,12.987,12.998,12.984,12.997,12.979,12.982,12.987,12.995,19098716,19866904,17914136,19820507,17771556,19544979,18867054,18646318,20420888,19600948,19738860,19832558,30726,,,,,,,,,,,,,,99.55,99.52,99.84,99,98.15,99.47,99.44,99.54,99.39,98.8,98.97,99.34,94.6,20,13,16,17,18,19,19,18,19,21,19,20,12
TG 16:0_16:0_18:2,C53 H98 O6,830.7376,0.37,0,14.02,0.026,12047350,13,0,99.8,0.5,12,17,830.7375,830.7378,830.738,830.738,830.7375,830.7379,830.7375,830.7375,830.7374,830.7376,830.7376,830.7373,830.7369,14.017,14.022,14.012,14.019,14.015,14.018,14.026,14.018,14.017,14.023,14.02,14.019,13.999,13463689,13944305,13458511,12141960,14132106,13084020,12250535,12341402,11583590,15118612,12108904,12915708,72213,,,,,,,,,,,,,,99.37,99.79,98.58,98.48,99.36,98.52,99.41,99.37,99.53,99.54,99.33,99.38,98.39,16,14,14,14,13,14,15,17,15,14,16,15,12
