Name,Formula,Mass (avg),"RSD (Mass, ppm)",Saturated,RT (avg),RT (span),Height (avg),Found,Missed,"Score (Tgt, max)",%RSD (Tgt),Ions (min),Ions (max),[Mass] iWAT_01_150x_pos_082121_065,[Mass] iWAT_02_150x_pos_082121_057,[Mass] iWAT_03_150x_pos_082121_051,[Mass] iWAT_04_150x_pos_082121_054,[Mass] iWAT_05_150x_pos_082121_066,[Mass] iWAT_06_150x_pos_082121_063,[Mass] iWAT_07_150x_pos_082121_058,[Mass] iWAT_08_150x_pos_082121_059,[Mass] iWAT_09_150x_pos_082121_052,[Mass] iWAT_10_150x_pos_082121_069,[Mass] iWAT_11_150x_pos_082121_053,[Mass] iWAT_12_150x_pos_082121_070,[Mass] iWAT_PB_150x_pos_082121_038,[RT] iWAT_01_150x_pos_082121_065,[RT] iWAT_02_150x_pos_082121_057,[RT] iWAT_03_150x_pos_082121_051,[RT] iWAT_04_150x_pos_082121_054,[RT] iWAT_05_150x_pos_082121_066,[RT] iWAT_06_150x_pos_082121_063,[RT] iWAT_07_150x_pos_082121_058,[RT] iWAT_08_150x_pos_082121_059,[RT] iWAT_09_150x_pos_082121_052,[RT] iWAT_10_150x_pos_082121_069,[RT] iWAT_11_150x_pos_082121_053,[RT] iWAT_12_150x_pos_082121_070,[RT] iWAT_PB_150x_pos_082121_038,[Height] iWAT_01_150x_pos_082121_065,[Height] iWAT_02_150x_pos_082121_057,[Height] iWAT_03_150x_pos_082121_051,[Height] iWAT_04_150x_pos_082121_054,[Height] iWAT_05_150x_pos_082121_066,[Height] iWAT_06_150x_pos_082121_063,[Height] iWAT_07_150x_pos_082121_058,[Height] iWAT_08_150x_pos_082121_059,[Height] iWAT_09_150x_pos_082121_052,[Height] iWAT_10_150x_pos_082121_069,[Height] iWAT_11_150x_pos_082121_053,[Height] iWAT_12_150x_pos_082121_070,[Height] iWAT_PB_150x_pos_082121_038,[Score (MFE)] iWAT_01_150x_pos_082121_065,[Score (MFE)] iWAT_02_150x_pos_082121_057,[Score (MFE)] iWAT_03_150x_pos_082121_051,[Score (MFE)] iWAT_04_150x_pos_082121_054,[Score (MFE)] iWAT_05_150x_pos_082121_066,[Score (MFE)] iWAT_06_150x_pos_082121_063,[Score (MFE)] iWAT_07_150x_pos_082121_058,[Score (MFE)] iWAT_08_150x_pos_082121_059,[Score (MFE)] iWAT_09_150x_pos_082121_052,[Score (MFE)] iWAT_10_150x_pos_082121_069,[Score (MFE)] iWAT_11_150x_pos_082121_053,[Score (MFE)] iWAT_12_150x_pos_082121_070,[Score (MFE)] iWAT_PB_150x_pos_082121_038,[Score (Tgt)] iWAT_01_150x_pos_082121_065,[Score (Tgt)] iWAT_02_150x_pos_082121_057,[Score (Tgt)] iWAT_03_150x_pos_082121_051,[Score (Tgt)] iWAT_04_150x_pos_082121_054,[Score (Tgt)] iWAT_05_150x_pos_082121_066,[Score (Tgt)] iWAT_06_150x_pos_082121_063,[Score (Tgt)] iWAT_07_150x_pos_082121_058,[Score (Tgt)] iWAT_08_150x_pos_082121_059,[Score (Tgt)] iWAT_09_150x_pos_082121_052,[Score (Tgt)] iWAT_10_150x_pos_082121_069,[Score (Tgt)] iWAT_11_150x_pos_082121_053,[Score (Tgt)] iWAT_12_150x_pos_082121_070,[Score (Tgt)] iWAT_PB_150x_pos_082121_038,[Ions] iWAT_01_150x_pos_082121_065,[Ions] iWAT_02_150x_pos_082121_057,[Ions] iWAT_03_150x_pos_082121_051,[Ions] iWAT_04_150x_pos_082121_054,[Ions] iWAT_05_150x_pos_082121_066,[Ions] iWAT_06_150x_pos_082121_063,[Ions] iWAT_07_150x_pos_082121_058,[Ions] iWAT_08_150x_pos_082121_059,[Ions] iWAT_09_150x_pos_082121_052,[Ions] iWAT_10_150x_pos_082121_069,[Ions] iWAT_11_150x_pos_082121_053,[Ions] iWAT_12_150x_pos_082121_070,[Ions] iWAT_PB_150x_pos_082121_038
TG 15:0_18:1(d7)_15:0,C51 H89 D7 O6,811.765,0.01,0,13.91,0.019,24956,12,1,100,0,1,3,811.7652,811.7659,811.7655,811.7661,811.7656,811.7652,811.7645,811.7645,811.7635,811.7665,811.7623,811.765,,13.911,13.923,13.93,13.913,13.912,13.914,13.922,13.928,13.915,13.916,13.924,13.915,,21659,25562,21167,23690,24727,20070,27446,26922,32114,22046,22706,31358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG 16:0_18:1_18:1,C55 H102 O6,858.7687,0.46,0,14.3,0.01,17234514,13,0,99.5,0.3,14,20,858.7686,858.7685,858.7692,858.7688,858.7683,858.769,858.7687,858.7685,858.7689,858.7688,858.7687,858.7689,858.7676,14.297,14.295,14.296,14.302,14.296,14.295,14.301,14.294,14.295,14.304,14.298,14.295,14.295,18764723,19015590,18446562,18932485,18492715,18968576,18677733,18618429,19053612,18840741,18455672,17563390,218462,,,,,,,,,,,,,,99.31,99.47,98.96,99.48,99.24,99.21,99.3,98.98,98.28,98.86,99.01,99.15,98.79,16,17,19,20,20,20,16,19,20,16,17,20,14
TG 18:2_18:2_18:2,C57 H98 O6,878.7371,0.57,0,12.99,0.02,18145466,13,0,99.6,4.3,10,21,878.7376,878.7371,878.7372,878.7375,878.737,878.7375,878.7373,878.7362,878.7369,878.7376,878.737,878.7376,878.736,12.984,12.985,12.992,12.977,12.974,12.987,12.991,12.98,12.985,12.994,12.989,12.989,12.991,17945695,20486298,18124373,20218655,19851976,20457998,19784147,19923518,20656140,20059762,20047258,18305454,29789,,,,,,,,,,,,,,99.28,99.39,99.6,98.27,98.38,99.14,99.39,98.85,99.51,98.53,99.27,99.15,84.06,15,18,15,19,18,21,16,18,19,16,17,19,10
TG 18:1_18:2_18:2,C57 H100 O6,880.753,0.61,0,13.48,0.027,17346607,13,0,99,1.6,12,20,880.7529,880.7525,880.7529,880.7532,880.7539,880.7534,880.7532,880.7524,880.7531,880.7532,880.753,880.7532,880.7517,13.476,13.483,13.484,13.493,13.483,13.479,13.485,13.466,13.466,13.469,13.482,13.48,13.471,18549803,19855248,19078615,19063734,17222365,19604343,18547742,19417089,16908601,18600161,19513429,19065781,78985,,,,,,,,,,,,,,97.77,98.75,98.5,98.99,97.34,97.73,98.12,96.55,95.79,96.28,98.26,97.78,93.15,20,20,20,18,12,19,19,18,20,19,19,17,16
TG 16:0_18:2_18:2,C55 H98 O6,854.7375,0.52,0,13.52,0.048,17247781,13,0,99.6,1.5,12,20,854.7377,854.7372,854.7377,854.7375,854.7377,854.7377,854.7378,854.7376,854.7375,854.7373,854.7372,854.738,854.7362,13.515,13.511,13.518,13.527,13.528,13.519,13.529,13.517,13.527,13.537,13.527,13.519,13.488,18186210,18951679,18929974,18608472,18426964,19055312,18555373,19494425,18781578,18356056,18921388,17878949,74782,,,,,,,,,,,,,,98.64,98.12,98.47,99.03,99.05,98.7,99.21,98.4,99.1,98.77,99.55,98.02,93.78,16,16,18,18,19,19,20,15,18,16,16,17,12
TG 18:0_18:1_18:1,C57 H106 O6,886.7996,0.67,0,14.47,0.011,14004706,13,0,99.7,1.1,13,19,886.8005,886.7991,886.7998,886.7989,886.799,886.7999,886.7998,886.7999,886.7994,886.8007,886.7991,886.7999,886.7989,14.469,14.474,14.47,14.47,14.473,14.471,14.474,14.464,14.471,14.471,14.475,14.474,14.469,16116021,15079622,10604699,16064920,15776827,15255925,14732943,15006728,16315866,17136057,14616833,15268663,86078,,,,,,,,,,,,,,98.09,99.62,99.43,99.55,99.58,99.14,99.29,98.98,99.47,97.36,99.59,99.67,96.28,15,16,16,17,14,17,18,16,15,17,19,16,13
TG 18:1_18:1_18:1,C57 H104 O6,884.7843,0.61,0,14.27,0.033,15941658,13,0,99,7.3,13,21,884.7844,884.7843,884.784,884.7855,884.7841,884.7839,884.7844,884.7842,884.7846,884.784,884.7846,884.7848,884.7831,14.264,14.273,14.274,14.268,14.273,14.267,14.279,14.292,14.296,14.297,14.275,14.273,14.295,16906843,17233018,16399534,16914050,18480105,18585672,16740966,16201186,16411857,17756636,17757004,17722108,132584,,,,,,,,,,,,,,98.91,98.87,98.95,97.77,82.61,98.91,98.41,93.82,94.89,77.3,98.39,98.31,96.44,13,17,21,14,14,17,19,16,15,14,15,20,16
TG 16:1_18:2_18:2,C55 H96 O6,852.7216,0.45,0,12.92,0.016,12998196,13,0,99.9,1.2,11,19,852.7215,852.7208,852.7215,852.722,852.7218,852.7213,852.7214,852.722,852.722,852.7211,852.7217,852.7221,852.7218,12.914,12.917,12.918,12.91,12.912,12.915,12.923,12.907,12.915,12.915,12.922,12.921,12.907,17810873,14857335,13126151,16429524,12796743,15750943,11785359,15062437,13536055,17819231,11203242,8779214,19443,,,,,,,,,,,,,,99.46,99.85,99.43,98.97,98.42,99.93,99.36,98.41,99.16,99.16,98.99,99.05,95.21,17,16,17,15,15,16,18,19,15,14,17,18,11
TG 16:0_18:1_18:2,C55 H100 O6,856.753,0.44,0,13.99,0.037,17233224,13,0,99.2,4.7,12,21,856.753,856.7539,856.753,856.7532,856.7532,856.7527,856.7531,856.7527,856.753,856.7526,856.7527,856.7532,856.7524,14.012,13.993,13.999,13.981,13.999,13.977,14.011,13.995,13.992,13.979,13.991,13.999,13.975,15815344,19486132,19191842,18717428,18280353,19326151,18658854,18832412,19363257,17868782,19554053,18787834,149482,,,,,,,,,,,,,,99.04,96.4,98.33,95.33,98.26,95.02,99.17,97.91,97.29,81.97,97.46,98.3,94.57,20,19,19,17,21,19,19,17,17,14,18,19,12
TG 16:0_16:1_18:2,C53 H96 O6,828.7219,0.64,0,13.43,0.033,12160310,13,0,99.5,1,13,20,828.7215,828.7222,828.722,828.722,828.722,828.7221,828.7222,828.722,828.7215,828.7224,828.7218,828.7221,828.7203,13.42,13.427,13.429,13.426,13.424,13.429,13.434,13.416,13.421,13.425,13.437,13.43,13.449,13336718,13009793,13287147,14649700,12850917,13909674,12541372,13966126,12151234,15115948,11937035,11298590,29776,,,,,,,,,,,,,,99.44,98.76,98.87,99.31,99.25,99.19,98.5,99.44,99.51,99.01,99.05,99.38,95.6,17,20,19,19,20,18,18,19,18,18,18,17,13
