"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] eWAT_01_1x_neg_082321_027,[Mass] eWAT_02_1x_neg_082321_22,[Mass] eWAT_03_1x_neg_082321_028,[Mass] eWAT_04_1x_neg_082321_037,[Mass] eWAT_05_1x_neg_082321_031,[Mass] eWAT_06_1x_neg_082321_21,[Mass] eWAT_07_1x_neg_082321_032,[Mass] eWAT_08_1x_neg_082321_026,[Mass] eWAT_09_1x_neg_082321_20,[Mass] eWAT_10_1x_neg_082321_034,[Mass] eWAT_11_1x_neg_082321_19,[Mass] eWAT_12_1x_neg_082321_033,[Mass] eWAT_PB_1x_neg_082321_025,[RT] eWAT_01_1x_neg_082321_027,[RT] eWAT_02_1x_neg_082321_22,[RT] eWAT_03_1x_neg_082321_028,[RT] eWAT_04_1x_neg_082321_037,[RT] eWAT_05_1x_neg_082321_031,[RT] eWAT_06_1x_neg_082321_21,[RT] eWAT_07_1x_neg_082321_032,[RT] eWAT_08_1x_neg_082321_026,[RT] eWAT_09_1x_neg_082321_20,[RT] eWAT_10_1x_neg_082321_034,[RT] eWAT_11_1x_neg_082321_19,[RT] eWAT_12_1x_neg_082321_033,[RT] eWAT_PB_1x_neg_082321_025,[Height] eWAT_01_1x_neg_082321_027,[Height] eWAT_02_1x_neg_082321_22,[Height] eWAT_03_1x_neg_082321_028,[Height] eWAT_04_1x_neg_082321_037,[Height] eWAT_05_1x_neg_082321_031,[Height] eWAT_06_1x_neg_082321_21,[Height] eWAT_07_1x_neg_082321_032,[Height] eWAT_08_1x_neg_082321_026,[Height] eWAT_09_1x_neg_082321_20,[Height] eWAT_10_1x_neg_082321_034,[Height] eWAT_11_1x_neg_082321_19,[Height] eWAT_12_1x_neg_082321_033,[Height] eWAT_PB_1x_neg_082321_025,[Score (MFE)] eWAT_01_1x_neg_082321_027,[Score (MFE)] eWAT_02_1x_neg_082321_22,[Score (MFE)] eWAT_03_1x_neg_082321_028,[Score (MFE)] eWAT_04_1x_neg_082321_037,[Score (MFE)] eWAT_05_1x_neg_082321_031,[Score (MFE)] eWAT_06_1x_neg_082321_21,[Score (MFE)] eWAT_07_1x_neg_082321_032,[Score (MFE)] eWAT_08_1x_neg_082321_026,[Score (MFE)] eWAT_09_1x_neg_082321_20,[Score (MFE)] eWAT_10_1x_neg_082321_034,[Score (MFE)] eWAT_11_1x_neg_082321_19,[Score (MFE)] eWAT_12_1x_neg_082321_033,[Score (MFE)] eWAT_PB_1x_neg_082321_025,[Score (Tgt)] eWAT_01_1x_neg_082321_027,[Score (Tgt)] eWAT_02_1x_neg_082321_22,[Score (Tgt)] eWAT_03_1x_neg_082321_028,[Score (Tgt)] eWAT_04_1x_neg_082321_037,[Score (Tgt)] eWAT_05_1x_neg_082321_031,[Score (Tgt)] eWAT_06_1x_neg_082321_21,[Score (Tgt)] eWAT_07_1x_neg_082321_032,[Score (Tgt)] eWAT_08_1x_neg_082321_026,[Score (Tgt)] eWAT_09_1x_neg_082321_20,[Score (Tgt)] eWAT_10_1x_neg_082321_034,[Score (Tgt)] eWAT_11_1x_neg_082321_19,[Score (Tgt)] eWAT_12_1x_neg_082321_033,[Score (Tgt)] eWAT_PB_1x_neg_082321_025,[Ions] eWAT_01_1x_neg_082321_027,[Ions] eWAT_02_1x_neg_082321_22,[Ions] eWAT_03_1x_neg_082321_028,[Ions] eWAT_04_1x_neg_082321_037,[Ions] eWAT_05_1x_neg_082321_031,[Ions] eWAT_06_1x_neg_082321_21,[Ions] eWAT_07_1x_neg_082321_032,[Ions] eWAT_08_1x_neg_082321_026,[Ions] eWAT_09_1x_neg_082321_20,[Ions] eWAT_10_1x_neg_082321_034,[Ions] eWAT_11_1x_neg_082321_19,[Ions] eWAT_12_1x_neg_082321_033,[Ions] eWAT_PB_1x_neg_082321_025,
FA 18:2,C18 H32 O2,280.2404,0.21,0,3.78,0.004,2868136,12,1,99.8,0.1,9,11,280.2404,280.2404,280.2402,280.2404,280.2403,280.2404,280.2403,280.2405,280.2403,280.2404,280.2404,280.2404,,3.778,3.781,3.781,3.781,3.780,3.782,3.782,3.781,3.777,3.781,3.779,3.779,,1974943,2418122,1234739,2363745,3041673,2472907,3514779,3190476,3853811,3051556,3595192,3705698,,,,,,,,,,,,,,,99.63,99.79,99.54,99.84,99.54,99.76,99.79,99.62,99.68,99.75,99.74,99.65,,10,10,9,11,10,11,11,10,10,10,11,9,,
FA 18:1,C18 H34 O2,282.2560,0.23,0,4.32,0.030,2213862,13,0,99.9,9.8,2,11,282.2561,282.2560,282.2559,282.2560,282.2560,282.2560,282.2561,282.2561,282.2560,282.2561,282.2560,282.2561,282.2560,4.318,4.320,4.315,4.320,4.319,4.321,4.316,4.320,4.317,4.319,4.319,4.319,4.346,1466747,1988303,834316,1744750,2316444,1937828,3194205,2793968,3408344,2603269,3070748,3419562,1724,,,,,,,,,,,,,,99.66,99.89,98.82,99.88,99.87,99.87,99.42,99.83,99.79,99.69,99.83,99.76,65.32,10,11,9,11,9,10,11,11,11,9,10,10,2,
PC 18:0_18:2,C44 H84 N O8 P,785.5940,0.14,0,8.49,0.013,2740178,12,1,99.8,0.1,7,15,785.5940,785.5940,785.5938,785.5941,785.5940,785.5938,785.5939,785.5939,785.5940,785.5940,785.5941,785.5941,,8.490,8.484,8.497,8.493,8.492,8.487,8.495,8.491,8.489,8.493,8.489,8.491,,2159722,2342334,1405607,2678715,3660020,2544197,3161572,2419806,3715396,2467040,2818871,3508863,,,,,,,,,,,,,,,99.66,99.66,99.73,99.65,99.77,99.85,99.76,99.83,99.71,99.72,99.61,99.63,,11,7,8,14,13,11,9,13,12,15,11,10,,
PI 18:0_20:4,C47 H83 O13 P,886.5576,0.14,0,7.57,0.017,2271215,12,1,99.9,0.1,7,11,886.5576,886.5573,886.5576,886.5576,886.5577,886.5576,886.5576,886.5574,886.5575,886.5577,886.5575,886.5577,,7.578,7.564,7.574,7.561,7.566,7.574,7.566,7.566,7.569,7.567,7.570,7.566,,1856545,1921092,907682,2646366,3870523,2101936,2629703,1468558,2701287,2098085,2141047,2911761,,,,,,,,,,,,,,,99.74,99.77,99.73,99.44,99.63,99.82,99.74,99.79,99.85,99.67,99.86,99.61,,8,8,10,9,8,11,8,7,10,8,8,11,,
PE 18:0_18:2,C41 H78 N O8 P,743.5468,0.08,0,8.72,0.008,1305179,12,1,99.9,0.1,13,16,743.5468,743.5467,743.5468,743.5468,743.5468,743.5467,743.5469,743.5469,743.5468,743.5467,743.5468,743.5468,,8.718,8.712,8.720,8.713,8.717,8.715,8.719,8.717,8.717,8.720,8.717,8.719,,952935,970497,561072,1204253,1952986,1314716,1429002,1130794,1755414,1214687,1216194,1959602,,,,,,,,,,,,,,,99.81,99.66,99.73,99.66,99.80,99.71,99.71,99.74,99.82,99.88,99.73,99.84,,14,14,13,14,14,13,13,15,14,16,14,15,,
PC 16:0_18:2,C42 H80 N O8 P,757.5628,1.42,0,7.56,0.027,1238465,13,0,99.9,13.1,1,12,757.5624,757.5623,757.5626,757.5625,757.5626,757.5625,757.5624,757.5625,757.5625,757.5625,757.5623,757.5626,757.5663,7.562,7.551,7.563,7.555,7.556,7.552,7.560,7.561,7.553,7.562,7.554,7.556,7.536,1026519,1092852,919639,1291295,1562165,1514667,1412073,1326325,1649140,1317462,1446593,1538132,3187,,,,,,,,,,,,,,99.76,99.91,99.70,99.83,99.78,99.78,99.84,99.80,99.85,99.71,99.87,99.73,54.29,8,8,8,9,10,9,8,10,8,9,8,12,1,
SM d21:1_13:0,C39 H79 N2 O6 P,702.5679,0.20,0,7.34,0.012,1095806,12,1,99.8,0.4,10,14,702.5680,702.5676,702.5676,702.5679,702.5680,702.5680,702.5680,702.5680,702.5679,702.5678,702.5678,702.5680,,7.350,7.342,7.346,7.338,7.343,7.341,7.343,7.344,7.341,7.345,7.342,7.345,,1008392,896804,599267,1147640,1424344,1105338,1033801,1169789,1170951,949702,1258679,1384979,,,,,,,,,,,,,,,99.80,99.75,99.53,99.46,98.23,99.54,99.65,99.63,99.61,99.78,99.66,99.66,,13,12,13,11,11,10,10,13,11,14,10,12,,
PE 18:0_22:6,C45 H78 N O8 P,791.5468,0.22,0,8.22,0.010,892552,12,1,99.8,0.2,13,18,791.5469,791.5465,791.5464,791.5468,791.5468,791.5467,791.5469,791.5468,791.5469,791.5467,791.5470,791.5469,,8.223,8.215,8.225,8.217,8.216,8.214,8.223,8.216,8.222,8.224,8.216,8.218,,407942,612331,255793,606376,1017080,663250,1295021,915534,1530023,903907,1138425,1364953,,,,,,,,,,,,,,,99.55,99.17,99.82,99.33,99.46,99.26,99.56,99.40,99.63,99.76,99.19,99.36,,16,13,15,17,18,15,16,15,17,18,14,17,,
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6061,0.83,0,7.82,0.012,803368,13,0,99.9,9.9,3,14,752.6063,752.6063,752.6061,752.6063,752.6063,752.6062,752.6063,752.6064,752.6061,752.6063,752.6061,752.6062,752.6040,7.817,7.814,7.821,7.811,7.816,7.819,7.822,7.816,7.815,7.823,7.815,7.818,7.813,926236,904447,1008426,867182,672907,793261,893838,900455,854004,879709,907576,832700,3043,,,,,,,,,,,,,,99.58,99.78,99.93,99.66,99.87,99.94,99.81,99.84,99.86,99.89,99.88,99.87,65.01,8,10,10,10,11,11,13,11,10,11,14,12,3,
EtherPE 16:1e_22:6,C43 H74 N O7 P,747.5206,0.23,0,7.71,0.018,885943,12,1,99.5,0.4,9,14,747.5207,747.5206,747.5202,747.5207,747.5208,747.5204,747.5206,747.5208,747.5206,747.5206,747.5206,747.5206,,7.717,7.703,7.713,7.705,7.716,7.708,7.706,7.701,7.703,7.706,7.699,7.712,,746315,686462,426368,1059995,1087298,713425,1103487,978459,1043001,803772,1117429,865315,,,,,,,,,,,,,,,98.61,99.11,98.77,99.28,98.09,98.64,99.52,99.35,99.17,99.28,99.27,98.61,,12,11,9,13,9,13,12,14,13,10,11,9,,
