"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] iWAT_01_1x_neg_082321_063,[Mass] iWAT_02_1x_neg_082321_053,[Mass] iWAT_03_1x_neg_082321_064,[Mass] iWAT_04_1x_neg_082321_056,[Mass] iWAT_05_1x_neg_082321_052,[Mass] iWAT_06_1x_neg_082321_065,[Mass] iWAT_07_1x_neg_082321_050,[Mass] iWAT_08_1x_neg_082321_058,[Mass] iWAT_09_1x_neg_082321_062,[Mass] iWAT_10_1x_neg_082321_059,[Mass] iWAT_11_1x_neg_082321_068,[Mass] iWAT_12_1x_neg_082321_057,[Mass] iWAT_PB_1x_neg_082321_025,[RT] iWAT_01_1x_neg_082321_063,[RT] iWAT_02_1x_neg_082321_053,[RT] iWAT_03_1x_neg_082321_064,[RT] iWAT_04_1x_neg_082321_056,[RT] iWAT_05_1x_neg_082321_052,[RT] iWAT_06_1x_neg_082321_065,[RT] iWAT_07_1x_neg_082321_050,[RT] iWAT_08_1x_neg_082321_058,[RT] iWAT_09_1x_neg_082321_062,[RT] iWAT_10_1x_neg_082321_059,[RT] iWAT_11_1x_neg_082321_068,[RT] iWAT_12_1x_neg_082321_057,[RT] iWAT_PB_1x_neg_082321_025,[Height] iWAT_01_1x_neg_082321_063,[Height] iWAT_02_1x_neg_082321_053,[Height] iWAT_03_1x_neg_082321_064,[Height] iWAT_04_1x_neg_082321_056,[Height] iWAT_05_1x_neg_082321_052,[Height] iWAT_06_1x_neg_082321_065,[Height] iWAT_07_1x_neg_082321_050,[Height] iWAT_08_1x_neg_082321_058,[Height] iWAT_09_1x_neg_082321_062,[Height] iWAT_10_1x_neg_082321_059,[Height] iWAT_11_1x_neg_082321_068,[Height] iWAT_12_1x_neg_082321_057,[Height] iWAT_PB_1x_neg_082321_025,[Score (MFE)] iWAT_01_1x_neg_082321_063,[Score (MFE)] iWAT_02_1x_neg_082321_053,[Score (MFE)] iWAT_03_1x_neg_082321_064,[Score (MFE)] iWAT_04_1x_neg_082321_056,[Score (MFE)] iWAT_05_1x_neg_082321_052,[Score (MFE)] iWAT_06_1x_neg_082321_065,[Score (MFE)] iWAT_07_1x_neg_082321_050,[Score (MFE)] iWAT_08_1x_neg_082321_058,[Score (MFE)] iWAT_09_1x_neg_082321_062,[Score (MFE)] iWAT_10_1x_neg_082321_059,[Score (MFE)] iWAT_11_1x_neg_082321_068,[Score (MFE)] iWAT_12_1x_neg_082321_057,[Score (MFE)] iWAT_PB_1x_neg_082321_025,[Score (Tgt)] iWAT_01_1x_neg_082321_063,[Score (Tgt)] iWAT_02_1x_neg_082321_053,[Score (Tgt)] iWAT_03_1x_neg_082321_064,[Score (Tgt)] iWAT_04_1x_neg_082321_056,[Score (Tgt)] iWAT_05_1x_neg_082321_052,[Score (Tgt)] iWAT_06_1x_neg_082321_065,[Score (Tgt)] iWAT_07_1x_neg_082321_050,[Score (Tgt)] iWAT_08_1x_neg_082321_058,[Score (Tgt)] iWAT_09_1x_neg_082321_062,[Score (Tgt)] iWAT_10_1x_neg_082321_059,[Score (Tgt)] iWAT_11_1x_neg_082321_068,[Score (Tgt)] iWAT_12_1x_neg_082321_057,[Score (Tgt)] iWAT_PB_1x_neg_082321_025,[Ions] iWAT_01_1x_neg_082321_063,[Ions] iWAT_02_1x_neg_082321_053,[Ions] iWAT_03_1x_neg_082321_064,[Ions] iWAT_04_1x_neg_082321_056,[Ions] iWAT_05_1x_neg_082321_052,[Ions] iWAT_06_1x_neg_082321_065,[Ions] iWAT_07_1x_neg_082321_050,[Ions] iWAT_08_1x_neg_082321_058,[Ions] iWAT_09_1x_neg_082321_062,[Ions] iWAT_10_1x_neg_082321_059,[Ions] iWAT_11_1x_neg_082321_068,[Ions] iWAT_12_1x_neg_082321_057,[Ions] iWAT_PB_1x_neg_082321_025,
FA 18:2,C18 H32 O2,280.2404,0.17,0,3.80,0.007,2526170,12,1,99.9,0.1,9,12,280.2403,280.2404,280.2404,280.2404,280.2403,280.2405,280.2404,280.2403,280.2404,280.2404,280.2403,280.2404,,3.795,3.797,3.798,3.793,3.795,3.797,3.791,3.792,3.796,3.793,3.797,3.796,,1755039,2194917,1672828,1862265,2654622,2140596,3059948,2414279,3139553,3051812,3608371,2759813,,,,,,,,,,,,,,,99.92,99.82,99.83,99.86,99.83,99.69,99.87,99.70,99.81,99.58,99.78,99.65,,10,10,10,10,12,11,11,10,12,10,9,9,,
PI 18:0_20:4,C47 H83 O13 P,886.5577,0.29,0,7.57,0.009,2671494,12,1,99.8,0.3,7,16,886.5574,886.5579,886.5577,886.5573,886.5577,886.5580,886.5575,886.5577,886.5575,886.5576,886.5582,886.5578,,7.573,7.576,7.570,7.576,7.574,7.568,7.578,7.570,7.570,7.572,7.571,7.575,,987462,2951972,1970333,1302889,1095543,4233801,3212236,2019503,2829643,991223,5782729,4680600,,,,,,,,,,,,,,,99.73,99.50,99.48,99.51,99.57,99.03,99.81,99.45,99.58,99.58,98.89,99.55,,13,8,9,16,7,11,11,9,10,14,9,9,,
FA 18:1,C18 H34 O2,282.2560,0.14,0,4.33,0.029,1938682,13,0,99.9,10.0,2,11,282.2560,282.2561,282.2559,282.2560,282.2561,282.2560,282.2560,282.2560,282.2560,282.2560,282.2561,282.2561,282.2560,4.332,4.334,4.335,4.335,4.332,4.336,4.332,4.335,4.333,4.334,4.332,4.333,4.361,1325779,1783383,1112879,1409291,2013519,1579446,2627336,2083505,2916810,2639593,3172486,2537105,1744,,,,,,,,,,,,,,99.59,99.85,99.23,99.64,99.83,99.83,99.82,99.81,99.83,99.87,99.80,99.67,64.67,9,10,10,8,8,10,11,10,10,7,10,10,2,
PC 18:0_18:2,C44 H84 N O8 P,785.5940,0.18,0,8.52,0.011,3618366,12,1,99.8,0.2,9,17,785.5941,785.5940,785.5937,785.5938,785.5940,785.5940,785.5940,785.5939,785.5942,785.5941,785.5941,785.5942,,8.522,8.524,8.518,8.525,8.522,8.522,8.517,8.513,8.517,8.521,8.518,8.524,,3406027,3060860,2263842,3438689,5413147,4039006,3323518,2397388,3423969,3237885,4881404,4534668,,,,,,,,,,,,,,,99.31,99.35,99.79,99.38,99.36,99.38,99.65,99.80,99.47,99.36,99.51,99.15,,10,10,10,13,17,9,14,10,12,12,13,13,,
PC 16:0_18:2,C42 H80 N O8 P,757.5629,1.39,0,7.58,0.039,1611757,13,0,99.8,13.1,1,12,757.5624,757.5626,757.5625,757.5624,757.5628,757.5626,757.5624,757.5626,757.5624,757.5627,757.5628,757.5626,757.5663,7.579,7.584,7.593,7.583,7.581,7.580,7.582,7.582,7.580,7.583,7.585,7.584,7.554,1886894,1230621,1241057,1815093,2907726,1588352,1504756,1181604,1694681,2018249,2204631,1676000,3187,,,,,,,,,,,,,,99.79,99.52,99.08,99.70,99.51,99.64,99.67,99.71,99.79,99.52,99.36,99.54,54.22,9,7,7,9,10,8,6,9,10,12,12,9,1,
EtherPE 18:1e_20:4,C43 H78 N O7 P,751.5510,4.36,0,8.97,0.153,1364221,13,0,99.8,25.0,2,17,751.5517,751.5519,751.5516,751.5519,751.5522,751.5519,751.5518,751.5518,751.5519,751.5519,751.5521,751.5521,751.5401,8.969,8.969,8.969,8.973,8.968,8.968,8.968,8.971,8.963,8.968,8.969,8.971,9.116,915149,725830,394011,1087221,2131955,1195570,1725894,941278,2411823,1641178,2761198,1801211,2564,,,,,,,,,,,,,,99.76,99.68,98.60,99.67,99.51,99.65,99.70,99.78,99.51,99.63,99.65,99.59,15.70,14,14,13,17,15,14,15,16,15,15,14,15,2,
PE 18:0_18:2,C41 H78 N O8 P,743.5468,0.17,0,8.74,0.006,1326055,12,1,99.9,0.1,13,18,743.5469,743.5466,743.5468,743.5467,743.5468,743.5468,743.5468,743.5467,743.5466,743.5469,743.5470,743.5467,,8.741,8.741,8.741,8.744,8.739,8.745,8.740,8.742,8.740,8.742,8.743,8.744,,988282,1169388,883263,1072556,1946081,1478186,1201736,830552,1392994,1084707,2123332,1741584,,,,,,,,,,,,,,,99.78,99.90,99.87,99.92,99.84,99.74,99.82,99.89,99.84,99.81,99.71,99.82,,13,15,13,14,18,14,17,14,15,17,18,14,,
PE 18:0_20:4,C43 H78 N O8 P,767.5463,2.68,0,8.55,0.049,1190282,13,0,99.8,17.4,1,17,767.5469,767.5467,767.5465,767.5468,767.5470,767.5469,767.5468,767.5468,767.5470,767.5468,767.5471,767.5471,767.5395,8.539,8.544,8.541,8.547,8.549,8.545,8.539,8.558,8.549,8.548,8.549,8.546,8.588,1273656,1001902,660232,1269602,2402073,1565706,1035462,524155,1058790,976487,1978489,1724201,2923,,,,,,,,,,,,,,99.62,99.83,99.65,99.84,99.71,99.71,99.63,99.50,99.77,99.84,99.66,99.65,39.95,14,15,12,14,14,15,15,14,15,12,17,12,1,
EtherPE 16:1e_22:6,C43 H74 N O7 P,747.5207,0.18,0,7.73,0.008,1293925,12,1,99.4,1.1,9,13,747.5205,747.5206,747.5207,747.5209,747.5205,747.5208,747.5206,747.5206,747.5208,747.5207,747.5209,747.5206,,7.733,7.732,7.732,7.732,7.736,7.730,7.738,7.732,7.736,7.734,7.738,7.737,,1292041,988573,946644,1294986,2071422,1459219,1124397,784853,1372866,1108016,1687806,1396281,,,,,,,,,,,,,,,99.31,98.53,99.39,98.78,96.35,98.39,98.66,99.11,98.48,99.19,96.16,97.44,,12,9,11,13,9,11,9,9,10,10,11,11,,
EtherPE 18:2e_18:1,C41 H78 N O7 P,727.5518,0.24,0,9.05,0.024,1443936,12,1,99.9,0.2,15,19,727.5516,727.5517,727.5514,727.5519,727.5521,727.5517,727.5517,727.5518,727.5520,727.5519,727.5517,727.5519,,9.052,9.047,9.053,9.060,9.057,9.052,9.041,9.043,9.041,9.046,9.036,9.048,,639908,473106,229967,1660221,1928944,668476,1830817,1339693,2709052,2722400,1434684,1689976,,,,,,,,,,,,,,,99.80,99.83,99.71,99.33,99.38,99.59,99.68,99.85,99.64,99.76,99.61,99.79,,18,17,15,15,15,17,17,16,19,18,17,18,,
