#Compound List: 12 found
#
Show/Hide,Label,Mass,RT,Width,Height,Area,Score,Base Peak,Ions,Saturated,Algorithm,ID Source,FV,CE,MS/MS Count,File,Volume,Formula,Precursor,Score (Lib),Flags,Lib/DB,Cpd,Name,Hit Count,CAS ID,Notes,Diff (ppm),Score (Tgt),Flags (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),Source,Score (MFG),Relative Mass Difference (MFG),Tgt MFG Hit,Vol %,Std Dev,Score (MFE),Score (DB),RT Diff,Relative Reference Mass difference,Purity Value,Purity Comments,TIC% Area,EIC/TIC% Area,UVA% Area,ADC% Area
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.058,710.5602,8.058,0.07,2097,9790,63.09,663.454,1,,Find by Formula,FBF,,,,eWAT_01_150x_pos_082121_031.d,,C38 H67 D7 N O8 P,711.5675,,,,1,PE 15:0_18:1(d7),1,,,1.54,63.09,,-0.012,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.066,710.5612,8.066,0.065,2255,10337,68.3,663.4546,2,,Find by Formula,FBF,,,,eWAT_02_150x_pos_082121_034.d,,C38 H67 D7 N O8 P,711.5701,,,,1,PE 15:0_18:1(d7),1,,,2.9,68.3,,-0.004,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.070,710.5593,8.07,0.076,1642,7244,64.48,663.455,1,,Find by Formula,FBF,,,,eWAT_03_150x_pos_082121_026.d,,C38 H67 D7 N O8 P,711.5666,,,,1,PE 15:0_18:1(d7),1,,,0.29,64.48,,0,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.070,710.5613,8.07,0.075,1501,5580,66.97,663.4555,2,,Find by Formula,FBF,,,,eWAT_04_150x_pos_082121_21.d,,C38 H67 D7 N O8 P,711.571,,,,1,PE 15:0_18:1(d7),1,,,3.1,66.97,,0,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.072,710.5574,8.072,0.063,2570,10508,79.28,663.4542,4,,Find by Formula,FBF,,,,eWAT_05_150x_pos_082121_027.d,,C38 H67 D7 N O8 P,711.5646,,,,1,PE 15:0_18:1(d7),1,,,-2.52,79.28,,0.002,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.068,710.5605,8.068,0.081,1606,8999,66.47,663.4552,2,,Find by Formula,FBF,,,,eWAT_06_150x_pos_082121_19.d,,C38 H67 D7 N O8 P,711.5731,,,,1,PE 15:0_18:1(d7),1,,,1.95,66.47,,-0.002,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.061,710.561,8.061,0.037,2345,8820,75.26,663.4555,2,,Find by Formula,FBF,,,,eWAT_07_150x_pos_082121_032.d,,C38 H67 D7 N O8 P,711.5681,,,,1,PE 15:0_18:1(d7),1,,,2.63,75.26,,-0.009,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.068,710.5549,8.068,0.136,1271,8962,51.76,663.4544,1,,Find by Formula,FBF,,,,eWAT_08_150x_pos_082121_025.d,,C38 H67 D7 N O8 P,711.5622,,,,1,PE 15:0_18:1(d7),1,,,-5.97,51.76,,-0.002,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.078,710.5616,8.078,0.085,1404,6215,59.54,663.4552,1,,Find by Formula,FBF,,,,eWAT_09_150x_pos_082121_22.d,,C38 H67 D7 N O8 P,711.5688,,,,1,PE 15:0_18:1(d7),1,,,3.39,59.54,,0.008,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.065,710.5584,8.065,0.076,1747,8559,64.38,663.4546,2,,Find by Formula,FBF,,,,eWAT_10_150x_pos_082121_037.d,,C38 H67 D7 N O8 P,728.5927,,,,1,PE 15:0_18:1(d7),1,,,-1.02,64.38,,-0.005,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.065,710.5634,8.065,0.042,2605,7503,51.56,663.4544,1,,Find by Formula,FBF,,,,eWAT_11_150x_pos_082121_033.d,,C38 H67 D7 N O8 P,711.5707,,,,1,PE 15:0_18:1(d7),1,,,6.02,51.56,,-0.005,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.082,710.5609,8.082,0.077,1554,7093,66.36,663.4538,2,,Find by Formula,FBF,,,,eWAT_12_150x_pos_082121_028.d,,C38 H67 D7 N O8 P,711.5662,,,,1,PE 15:0_18:1(d7),1,,,2.41,66.36,,0.012,,,,,,,,,,,,,,,,,,,,,
