#Compound List: 12 found
#
Show/Hide,Label,Mass,RT,Width,Height,Area,Score,Base Peak,Ions,Saturated,Algorithm,ID Source,FV,CE,MS/MS Count,File,Volume,Formula,Precursor,Score (Lib),Flags,Lib/DB,Cpd,Name,Hit Count,CAS ID,Notes,Diff (ppm),Score (Tgt),Flags (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),Source,Score (MFG),Relative Mass Difference (MFG),Tgt MFG Hit,Vol %,Std Dev,Score (MFE),Score (DB),RT Diff,Relative Reference Mass difference,Purity Value,Purity Comments,TIC% Area,EIC/TIC% Area,UVA% Area,ADC% Area
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.053,710.5585,8.053,0.086,1020,3862,63.36,663.4554,1,,Find by Formula,FBF,,,,iWAT_01_150x_pos_082121_065.d,,C38 H67 D7 N O8 P,711.5657,,,,1,PE 15:0_18:1(d7),1,,,-0.97,63.36,,-0.017,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.076,710.5604,8.076,0.058,1619,7115,72.91,663.4549,2,,Find by Formula,FBF,,,,iWAT_02_150x_pos_082121_057.d,,C38 H67 D7 N O8 P,711.5709,,,,1,PE 15:0_18:1(d7),1,,,1.82,72.91,,0.006,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.077,710.5586,8.077,0.064,1311,4868,64.12,663.4558,1,,Find by Formula,FBF,,,,iWAT_03_150x_pos_082121_051.d,,C38 H67 D7 N O8 P,711.5659,,,,1,PE 15:0_18:1(d7),1,,,-0.77,64.12,,0.007,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.072,710.5545,8.072,0.048,1230,4532,49.83,663.4553,1,,Find by Formula,FBF,,,,iWAT_04_150x_pos_082121_054.d,,C38 H67 D7 N O8 P,711.5618,,,,1,PE 15:0_18:1(d7),1,,,-6.56,49.83,,0.002,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.076,710.558,8.076,0.074,1355,5713,64.02,663.4542,2,,Find by Formula,FBF,,,,iWAT_05_150x_pos_082121_066.d,,C38 H67 D7 N O8 P,728.5936,,,,1,PE 15:0_18:1(d7),1,,,-1.55,64.02,,0.006,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.078,710.5542,8.078,0.065,914,4738,48.48,663.4554,1,,Find by Formula,FBF,,,,iWAT_06_150x_pos_082121_063.d,,C38 H67 D7 N O8 P,711.5615,,,,1,PE 15:0_18:1(d7),1,,,-6.94,48.48,,0.008,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.086,710.5562,8.086,0.068,1251,3929,67.9,663.4539,2,,Find by Formula,FBF,,,,iWAT_07_150x_pos_082121_058.d,,C38 H67 D7 N O8 P,711.5643,,,,1,PE 15:0_18:1(d7),1,,,-4.17,67.9,,0.016,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.086,710.5561,8.086,0.075,1571,7152,62.24,663.4528,2,,Find by Formula,FBF,,,,iWAT_08_150x_pos_082121_059.d,,C38 H67 D7 N O8 P,711.559,,,,1,PE 15:0_18:1(d7),1,,,-4.33,62.24,,0.016,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.079,710.5656,8.079,0.087,1722,8934,42.09,663.4545,1,,Find by Formula,FBF,,,,iWAT_09_150x_pos_082121_052.d,,C38 H67 D7 N O8 P,711.5729,,,,1,PE 15:0_18:1(d7),1,,,9.11,42.09,,0.009,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.069,710.5534,8.069,0.084,1404,6792,54.99,663.455,3,,Find by Formula,FBF,,,,iWAT_10_150x_pos_082121_069.d,,C38 H67 D7 N O8 P,711.5618,,,,1,PE 15:0_18:1(d7),1,,,-8.05,54.99,,-0.001,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.082,710.5576,8.082,0.075,1003,5028,62.14,663.454,1,,Find by Formula,FBF,,,,iWAT_11_150x_pos_082121_053.d,,C38 H67 D7 N O8 P,711.5649,,,,1,PE 15:0_18:1(d7),1,,,-2.15,62.14,,0.012,,,,,,,,,,,,,,,,,,,,,
True,Cpd 1: PE 15:0_18:1(d7); C38 H67 D7 N O8 P; 8.062,710.5591,8.062,0.086,2005,9737,74.49,663.4552,3,,Find by Formula,FBF,,,,iWAT_12_150x_pos_082121_070.d,,C38 H67 D7 N O8 P,711.5636,,,,1,PE 15:0_18:1(d7),1,,,-0.04,74.49,,-0.008,,,,,,,,,,,,,,,,,,,,,
